User Query,Keywords,Extracted Sentences,Chunk Context,Page,Heading,Document,MoR Fused Score,Cross Encoder Score,Final MoR Score,Contributing Retrievers,Sentence Similarity,Ultimate Score,Rank,Retriever Contributions
What is the nature and focus of the organization's 'Purpose'?,3Ps; Aim; CSR; Core purpose; ERROR; Goal; Intention; Mission; Objective; Organizational purpose; Reason for being; Vision; business; care; client-centric; client-focused; client-oriented; company; corporate social responsibility; corporation; customer centric; customer-focused; customer-oriented; development; eco-friendly practices; ecology; economic value; employees; enterprise; environment; environmental responsibility; environmental stewardship; environmental value; financial achievements; financial gain; financial outcomes; financial performance; financial results; financial success; firm; future; green initiatives; growth; holistic value; integrated value; management; natural resources; organization; people; planet; profit; prosperity; protection; revenue; social value; stakeholder value; stewardship; success; sustainability; sustainable development; triple bottom line; value creation; workforce,"Purpose  
Our purpose is to reimagine medicine to improve and extend people’s lives.","07
Novartis in Society  
Integrated Report 2024
About Novartis
Strategy and business model
Business review  
Appendix
Sustainability matters
Corporate governance, risk 
management and compensation
Purpose Our purpose is to reimagine 
medicine to improve and extend 
people’s lives. Organization
Vision  
Our vision is to become the 
most valued and trusted 
medicines company in the world. PURPOSE AND VISION 
ORGANIZATION U
S
  
  
   
  
  
  
  
  
   
  
  
  
  
  
  
  
  
   
  
  
  
  
  
  
  
   
 
G
l
o
b
a
l 
f
u
n
c
t
i
o
n
s
   
   
  
   
   
  
   
   
  
   
   
  
   
  
   
   
  
   
  
   
   
  
   
   
 I
n
t
e
r
n
a
ti
o
n
al
  
  
  
  
  
  
  
  
  
 
  
  
  
  
  
  
  
  
 
O
p
e
r
a
ti
o
n
s
Research and 
development
Research and development 
Operations and global functions 
•	 Operations manufactures and delivers 
our medicines to customers, while 
also overseeing IT, procurement, real 
estate and other support services. Novartis operates 33 manufacturing 
",7,,page7_chunk000,0.3345,-4.997,-3.3975,5,0.5945,-4.0035,1,bm25:1.000; tfidf:1.000; bge:0.753; dpr:0.343; minilm:0.081
What is the nature and focus of the organization's 'Purpose'?,3Ps; Aim; CSR; Core purpose; ERROR; Goal; Intention; Mission; Objective; Organizational purpose; Reason for being; Vision; business; care; client-centric; client-focused; client-oriented; company; corporate social responsibility; corporation; customer centric; customer-focused; customer-oriented; development; eco-friendly practices; ecology; economic value; employees; enterprise; environment; environmental responsibility; environmental stewardship; environmental value; financial achievements; financial gain; financial outcomes; financial performance; financial results; financial success; firm; future; green initiatives; growth; holistic value; integrated value; management; natural resources; organization; people; planet; profit; prosperity; protection; revenue; social value; stakeholder value; stewardship; success; sustainability; sustainable development; triple bottom line; value creation; workforce,"We have begun assessing and evaluating 
nature-related risks and opportunities in 
our operations and upstream supply chain 
using the LEAP approach (Locate, 
Evaluate, Assess and Prepare) developed 
by the Taskforce on Nature-related 
Financial Disclosures (TNFD). We are 
assessing the role of biodiversity to 
complement water and waste as nature-
related pillars of our environmental 
sustainability strategy as our 
understanding of impacts, risk and 
dependencies matures.

We set minimum, mandatory requirements 
for the management of water, waste, 
wastewater and pharmaceuticals in the 
environment.","We have begun assessing and evaluating 
nature-related risks and opportunities in 
our operations and upstream supply chain 
using the LEAP approach (Locate, 
Evaluate, Assess and Prepare) developed 
by the Taskforce on Nature-related 
Financial Disclosures (TNFD). We are 
assessing the role of biodiversity to 
complement water and waste as nature-
related pillars of our environmental 
sustainability strategy as our 
understanding of impacts, risk and 
dependencies matures. Main policies
We set minimum, mandatory requirements 
for the management of water, waste, 
wastewater and pharmaceuticals in the 
environment. Each part of the organization 
1	 Assessed for water stress, cyclones, flooding, and drought
2	 Using the University of Notre Dame Global Adaptation Initiative (ND-GAIN, 2023) Country Index and an asset tangibility indicator from the OECD (2021) to proxy sector-level vulnerability to physical hazards based on industries’ dependence on physical assets
3	 Based on 2023 data
 
A",30,,page30_chunk002,0.1009,-5.2217,-3.6249,2,0.654,-4.3362,2,bm25:0.017; bge:0.275
What is the nature and focus of the organization's 'Purpose'?,3Ps; Aim; CSR; Core purpose; ERROR; Goal; Intention; Mission; Objective; Organizational purpose; Reason for being; Vision; business; care; client-centric; client-focused; client-oriented; company; corporate social responsibility; corporation; customer centric; customer-focused; customer-oriented; development; eco-friendly practices; ecology; economic value; employees; enterprise; environment; environmental responsibility; environmental stewardship; environmental value; financial achievements; financial gain; financial outcomes; financial performance; financial results; financial success; firm; future; green initiatives; growth; holistic value; integrated value; management; natural resources; organization; people; planet; profit; prosperity; protection; revenue; social value; stakeholder value; stewardship; success; sustainability; sustainable development; triple bottom line; value creation; workforce,"• Environmental sustainability: recognizing the connection between planetary and patient health, we strive to minimize our environmental impact by working toward ambitious targets in climate and nature.

• Ethical standards: we uphold high ethical standards, effectively manage risks, and ensure compliance with applicable laws and regulations to meet societal expectations.

Our ESG strategy is designed to align with our corporate purpose, embedding sustainability into our operations and decision-making processes to create value for both society and the company.","•	 Environmental sustainability: recognizing 
the connection between planetary and 
patient health, we strive to minimize our 
environmental impact by working toward 
ambitious targets in climate and nature. •	 Ethical standards: we uphold high 
ethical standards, effectively manage 
risks, and ensure compliance with 
applicable laws and regulations to meet 
societal expectations. Our ESG strategy is designed to align with 
our corporate purpose, embedding 
sustainability into our operations and 
decision-making processes to create 
value for both society and the company.",14,,page14_chunk002,0.7542,-6.3844,-4.2428,6,0.7076,-5.1434,3,bm25:0.292; tfidf:0.144; bge:1.000; dpr:0.651; mpnet:0.832; minilm:0.419
What is the nature and focus of the organization's 'Purpose'?,3Ps; Aim; CSR; Core purpose; ERROR; Goal; Intention; Mission; Objective; Organizational purpose; Reason for being; Vision; business; care; client-centric; client-focused; client-oriented; company; corporate social responsibility; corporation; customer centric; customer-focused; customer-oriented; development; eco-friendly practices; ecology; economic value; employees; enterprise; environment; environmental responsibility; environmental stewardship; environmental value; financial achievements; financial gain; financial outcomes; financial performance; financial results; financial success; firm; future; green initiatives; growth; holistic value; integrated value; management; natural resources; organization; people; planet; profit; prosperity; protection; revenue; social value; stakeholder value; stewardship; success; sustainability; sustainable development; triple bottom line; value creation; workforce,"To do this, we need to have clear strategic objectives, be efficient and set clear priorities, with a focus on projects that have the highest potential.  
We also have a clear AI strategy and are investing in the enabling infrastructure, capabilities, and external partnerships needed to scale our most promising AI use cases across the R&D continuum.  
Building trust with society is part of our corporate strategy.  
We have developed an ESG strategic roadmap with clear targets on material ESG topics.  
We are also taking steps to further strengthen our approach to external partner ESG risk.  
We monitor changes to ESG regulations, particularly regarding new reporting and due diligence requirements.  
In addition, we have policies, controls and internal programs to ensure ESG is embedded in our decision-making.  
We have strengthened our internal organization to streamline and focus decision-making by creating a new Strategy & Growth function, single business development teams, and leadership.","To do this, 
we need to have clear strategic objectives, be efficient and set clear priorities, with a focus on 
projects that have the highest potential. We also have a clear AI strategy and are investing in 
the enabling infrastructure, capabilities, and external partnerships needed to scale our most 
promising AI use cases across the R&D continuum. Building trust with society is part of our corporate strategy. We have developed an ESG 
strategic roadmap with clear targets on material ESG topics. We are also taking steps to further 
strengthen our approach to external partner ESG risk. We monitor changes to ESG regulations, 
particularly regarding new reporting and due diligence requirements. In addition, we have 
policies, controls and internal programs to ensure ESG is embedded in our decision-making. We have strengthened our internal organization to streamline and focus decision-making by 
creating a new Strategy & Growth function, single business development teams, and leadership",54,,page54_chunk002,0.1714,-7.5578,-5.2391,3,0.6438,-6.251,4,bge:0.428; dpr:0.238; minilm:0.020
What is the nature and focus of the organization's 'Purpose'?,3Ps; Aim; CSR; Core purpose; ERROR; Goal; Intention; Mission; Objective; Organizational purpose; Reason for being; Vision; business; care; client-centric; client-focused; client-oriented; company; corporate social responsibility; corporation; customer centric; customer-focused; customer-oriented; development; eco-friendly practices; ecology; economic value; employees; enterprise; environment; environmental responsibility; environmental stewardship; environmental value; financial achievements; financial gain; financial outcomes; financial performance; financial results; financial success; firm; future; green initiatives; growth; holistic value; integrated value; management; natural resources; organization; people; planet; profit; prosperity; protection; revenue; social value; stakeholder value; stewardship; success; sustainability; sustainable development; triple bottom line; value creation; workforce,No relevant sentences found,"This process covers, but is 
not limited to, risks associated with: 
•	 The research, development, manufacturing, marketing 
and sales of products
•	 Finance, taxes, intellectual property, compliance with 
law and regulations, security, product safety, technol-
ogy, human resources, and health, safety and environ-
mental protection
•	 Business objectives and strategies, including mergers 
and acquisitions
•	 External factors (e.g. risk amplifiers) such as the social, 
political and economic environment
The ERM process continued to evolve in 2024. The Cor-
porate ERC team conducted risk workshops and collab-
orated with all risk assurance and monitoring functions 
to identify key risks across the Company. Each Novartis 
unit organized a focused risk workshop including leader-
ship team members. In parallel, risk workshops were held 
in top countries by revenue and in certain focus markets. Once key risks were identified, mitigation action plans 
were created to address them in an effect",132,,page132_chunk002,0.0233,-9.1902,-6.4262,3,0.0,-6.4262,17,bm25:0.159; bge:0.003; dpr:0.528
What is the nature and focus of the organization's 'Purpose'?,3Ps; Aim; CSR; Core purpose; ERROR; Goal; Intention; Mission; Objective; Organizational purpose; Reason for being; Vision; business; care; client-centric; client-focused; client-oriented; company; corporate social responsibility; corporation; customer centric; customer-focused; customer-oriented; development; eco-friendly practices; ecology; economic value; employees; enterprise; environment; environmental responsibility; environmental stewardship; environmental value; financial achievements; financial gain; financial outcomes; financial performance; financial results; financial success; firm; future; green initiatives; growth; holistic value; integrated value; management; natural resources; organization; people; planet; profit; prosperity; protection; revenue; social value; stakeholder value; stewardship; success; sustainability; sustainable development; triple bottom line; value creation; workforce,"""In our first full-year as a pure-play medicines company, Novartis delivered strong results, with double-digit growth in sales and net profit in 2024.  

The performance validates our strategy and gives us confidence that we are well prepared to grow by focusing on our key therapeutic areas and technology platforms.  

The strategic shift from a diversified life sciences company to a focused medicines organization over the last decade has proven to be the right path forward.  

With the divestment of our non-core activities in animal health, vaccines and generics, among others, we were able to free up resources and strengthen our position in fast-growing and highly innovative medical fields such as xRNA, radioligand therapy and gene and cell therapy.  

Our recent breakthroughs in breast cancer and kidney and blood diseases demonstrate that our operational focus strengthens our ability to deliver high-value medicines that allevia""","04
Novartis in Society  
Integrated Report 2024
In our first full-year as a pure-play 
medicines company, Novartis delivered 
strong results, with double-digit growth 
in sales and net profit in 2024. The 
performance validates our strategy 
and gives us confidence that we are 
well prepared to grow by focusing 
on our key therapeutic areas and 
technology platforms. The strategic shift from a diversified life 
sciences company to a focused medicines 
organization over the last decade has 
proven to be the right path forward. With 
the divestment of our non-core activities 
in animal health, vaccines and generics, 
among others, we were able to free up 
resources and strengthen our position in 
fast-growing and highly innovative medical 
fields such as xRNA, radioligand therapy 
and gene and cell therapy. Our recent breakthroughs in breast 
cancer and kidney and blood diseases 
demonstrate that our operational focus 
strengthens our ability to deliver high-value 
medicines that allevia",4,,page4_chunk000,0.0062,-8.0532,-5.6353,2,0.5361,-6.5417,7,bm25:0.364; tfidf:0.127
What is the nature and focus of the organization's 'Purpose'?,3Ps; Aim; CSR; Core purpose; ERROR; Goal; Intention; Mission; Objective; Organizational purpose; Reason for being; Vision; business; care; client-centric; client-focused; client-oriented; company; corporate social responsibility; corporation; customer centric; customer-focused; customer-oriented; development; eco-friendly practices; ecology; economic value; employees; enterprise; environment; environmental responsibility; environmental stewardship; environmental value; financial achievements; financial gain; financial outcomes; financial performance; financial results; financial success; firm; future; green initiatives; growth; holistic value; integrated value; management; natural resources; organization; people; planet; profit; prosperity; protection; revenue; social value; stakeholder value; stewardship; success; sustainability; sustainable development; triple bottom line; value creation; workforce,"Relevant extracted content:  
“Our environmental sustainability strategy has three priorities:  
• Planet: Achieve climate and nature targets, including net-zero greenhouse gas (GHG) emissions by 2040  
• Patients: Develop sustainable products for patients, applying sustainable design principles for new products  
• People and policy: Transform the sustainability mindset across our organization and collaborate with industry partners to influence change in our sector”","25
Novartis in Society  
Integrated Report 2024
About Novartis
Strategy and business model
Business review  
Appendix
Sustainability matters
Corporate governance, risk 
management and compensation
Our environmental sustainability strategy 
has three priorities:
•	 Planet: Achieve climate and nature 
targets, including net-zero greenhouse 
gas (GHG) emissions by 2040
•	 Patients: Develop sustainable products 
for patients, applying sustainable 
design principles for new products
•	 People and policy: Transform the 
sustainability mindset across our 
organization and collaborate with 
industry partners to influence change in 
our sector
Oversight of our environmental 
sustainability strategy, including climate 
and nature topics, ultimately lies with our 
Board of Directors. The Board has delegated 
certain duties and responsibilities to some 
of its committees, who report back to the 
full Board on their activities and findings. At management level, the Chief Executive 
Officer (CEO) is",25,,page25_chunk000,0.3546,-7.9096,-5.4303,4,0.6886,-6.5522,5,bm25:0.420; tfidf:0.311; bge:0.770; minilm:0.224
What is the nature and focus of the organization's 'Purpose'?,3Ps; Aim; CSR; Core purpose; ERROR; Goal; Intention; Mission; Objective; Organizational purpose; Reason for being; Vision; business; care; client-centric; client-focused; client-oriented; company; corporate social responsibility; corporation; customer centric; customer-focused; customer-oriented; development; eco-friendly practices; ecology; economic value; employees; enterprise; environment; environmental responsibility; environmental stewardship; environmental value; financial achievements; financial gain; financial outcomes; financial performance; financial results; financial success; firm; future; green initiatives; growth; holistic value; integrated value; management; natural resources; organization; people; planet; profit; prosperity; protection; revenue; social value; stakeholder value; stewardship; success; sustainability; sustainable development; triple bottom line; value creation; workforce,"""Guided by global principles, we seek to create a fair and inclusive work environment by building an inspired, curious and unbossed culture (see page 10).  
Our People & Organization Commitment Statement supports our commitment to fair and respectful treatment of employees and to their development and growth.  
It also outlines how we support our overall commitment to uphold human rights for employees, to treat them with dignity and respect, and to provide equal opportunities.""","In 
addition, occupational health and safety 
incidents can occur, resulting in negative 
impacts on the workforce in our operations 
or our value chain. Main policies
Talent management
Guided by global principles, we seek to 
create a fair and inclusive work 
environment by building an inspired, 
curious and unbossed culture (see page 10). Our People & Organization Commitment 
Statement supports our commitment to 
fair and respectful treatment of employees 
and to their development and growth. It 
also outlines how we support our overall 
commitment to uphold human rights for 
employees, to treat them with dignity and 
respect, and to provide equal 
opportunities. We measure employee engagement every 
quarter through a voluntary and 
anonymous survey. It is sent to all 
employees and carried out by an external 
vendor to ensure independence. Aggregated results are used to identify 
potential risks and make improvements to 
working conditions, training and 
development, access to suppo",34,,page34_chunk001,0.3242,-8.1055,-5.5766,5,0.6144,-6.6045,6,bm25:0.190; tfidf:0.017; dpr:1.000; mpnet:0.506; minilm:0.482
What is the nature and focus of the organization's 'Purpose'?,3Ps; Aim; CSR; Core purpose; ERROR; Goal; Intention; Mission; Objective; Organizational purpose; Reason for being; Vision; business; care; client-centric; client-focused; client-oriented; company; corporate social responsibility; corporation; customer centric; customer-focused; customer-oriented; development; eco-friendly practices; ecology; economic value; employees; enterprise; environment; environmental responsibility; environmental stewardship; environmental value; financial achievements; financial gain; financial outcomes; financial performance; financial results; financial success; firm; future; green initiatives; growth; holistic value; integrated value; management; natural resources; organization; people; planet; profit; prosperity; protection; revenue; social value; stakeholder value; stewardship; success; sustainability; sustainable development; triple bottom line; value creation; workforce,"Our biggest impact is through driving innovation and access, while performing well as a responsible business.","14
Novartis in Society  
Integrated Report 2024
About Novartis
Strategy and business model
Business review  
Appendix
Sustainability matters
Corporate governance, risk 
management and compensation
Our ESG framework
Our biggest impact is through driving innovation and access, while performing well as a responsible business. Environmental
sustainability
•	 Climate
•	 Nature
Ethical
standards
•	 Ethics
•	 Compliance
•	 Human 
rights
Creating sustainable impact 
Innovation and 
access to medicines
•	 Future-proof pipeline 
addressing unmet need
•	 Enabling access to 
innovative medicines
•	 Dedicated Global 
Health unit
Human 
capital
•	 Culture
•	 Inclusion
•	 Talent
In our manufacturing sites, we are 
expanding capacity in strategic focus 
areas such as biopharmaceuticals and 
advanced technology platforms. For 
example, we are investing to expand our 
platform for RLT, a type of precision 
nuclear medicine that requires quick 
delivery to patients, since the activity of 
the radioisotop",14,,page14_chunk000,0.0913,-8.2552,-5.7513,1,0.5506,-6.7012,9,bge:0.250
What is the nature and focus of the organization's 'Purpose'?,3Ps; Aim; CSR; Core purpose; ERROR; Goal; Intention; Mission; Objective; Organizational purpose; Reason for being; Vision; business; care; client-centric; client-focused; client-oriented; company; corporate social responsibility; corporation; customer centric; customer-focused; customer-oriented; development; eco-friendly practices; ecology; economic value; employees; enterprise; environment; environmental responsibility; environmental stewardship; environmental value; financial achievements; financial gain; financial outcomes; financial performance; financial results; financial success; firm; future; green initiatives; growth; holistic value; integrated value; management; natural resources; organization; people; planet; profit; prosperity; protection; revenue; social value; stakeholder value; stewardship; success; sustainability; sustainable development; triple bottom line; value creation; workforce,"We also focus on life-cycle 
management by enhancing the evidence 
base for key brands. 

We increase our chances of discovering 
new medicines by collaborating with 
outside researchers and biotech 
companies. 

Our network consists of 
academic and industry alliances working 
on joint research and drug discovery. 

Embed operational excellence to 
deliver returns

In an increasingly competitive 
environment, we are simplifying processes 
and reducing costs to become more 
efficient and effective in our decision-
making and to free up resources for 
investment in new medicines. 

Our goal is 
to continue making attractive returns to 
shareholders while creating value for 
patients, healthcare systems and society. 

Core therapeutic areas: 
Cardiovascular, renal and 
metabolic; immunology; 
neuroscience; oncology

Technology platforms: 
Chemistry; biotherapeutics; 
radioligand therapy; xRNA 
therapy; gene and cell therapy

Priority markets: 
US; Germany; China; Japan","We also focus on life-cycle 
management by enhancing the evidence 
base for key brands. We increase our chances of discovering 
new medicines by collaborating with 
outside researchers and biotech 
companies. Our network consists of 
academic and industry alliances working 
on joint research and drug discovery. Embed operational excellence to 
deliver returns
In an increasingly competitive 
environment, we are simplifying processes 
and reducing costs to become more 
efficient and effective in our decision-
making and to free up resources for 
investment in new medicines. Our goal is 
to continue making attractive returns to 
shareholders while creating value for 
patients, healthcare systems and society. Our focus areas
Our priorities
Core therapeutic areas: 
Cardiovascular, renal and 
metabolic; immunology; 
neuroscience; oncology
Technology platforms: 
Chemistry; biotherapeutics; 
radioligand therapy; xRNA 
therapy; gene and cell therapy
Priority markets: 
US; Germany; China; Japan
",13,,page13_chunk001,0.0899,-8.1867,-5.7037,2,0.5905,-6.7142,8,bm25:0.082; bge:0.243
