User Query,Keywords,Extracted Sentences,Chunk Context,Page,Heading,Document,BM25 Score,TF-IDF Score,Combined Lexical Score,Semantic Score,Dense Score,LLM Score,Context Score,Final Enhanced Score,Sentence Similarity,Ultimate Score
To what extent are the organization's products and services information-based or information-enabled?,Instantaneous matching; Algorithms; service integration; product strategy; Data analysis; analytics-driven value proposition; Seamless transactions; information-based production; production; Value generation; Algorithmic processes; Competitive differentiation; information-enabled; data merging; value strategy; Effortless transactions; information-based delivery; Analytics; information integration; Data-enabled; info-enabled; info-enabled services; value proposition; data incorporation; Information-enabled; optimization; Enable differentiation; strategy; Real-time matches; physical products; data-centric value proposition; Customer value creation; data assimilation; products; Information-based; delivery; information-based value proposition; ERROR; Personalized recommendations; Data-driven insights; integration; Customized suggestions; information-based; services; optimize,"We operate in an industry that relies on the collection, processing, analysis and interpretation of large sets of patients’ and other individuals’ personal information, including via social media and mobile technologies. 

The operation of our business requires data to flow to our third-party contractors’ systems and across the borders of numerous countries in which there are different, potentially conflicting, and frequently changing, data privacy laws in effect.","Furthermore, as our prod‑ 
ucts are intended to promote the health of patients, such 
shortages or shutdowns could harm our reputation and 
have led to, and could continue in the future to lead to, 
significant losses of sales revenue, potential litigation or 
allegations that the public health, or the health of indi‑ 
viduals, has been harmed. Noncompliance with personal data protection laws and 
regulations 

We operate in an industry that relies on the collection, 
processing, analysis and interpretation of large sets of 
patients’ and other individuals’ personal information, 
including via social media and mobile technologies. The 
operation of our business requires data to flow to our 
third‑party contractors’ systems and across the borders 
of numerous countries in which there are different, poten‑ 
tially conflicting, and frequently changing, data privacy 

laws in effect. Examples of such laws include: the EU 
General Data Protection Regulation (GDPR); Brazil’s 
General Persona",Unknown,,novartis-annual-report-2024_docx_block0_chunk036,0.3377,0.2918,0.3239,0.5374,0.4734,0.9,0.1,0.7447,0.6083,0.8353
To what extent are the organization's products and services information-based or information-enabled?,Instantaneous matching; Algorithms; service integration; product strategy; Data analysis; analytics-driven value proposition; Seamless transactions; information-based production; production; Value generation; Algorithmic processes; Competitive differentiation; information-enabled; data merging; value strategy; Effortless transactions; information-based delivery; Analytics; information integration; Data-enabled; info-enabled; info-enabled services; value proposition; data incorporation; Information-enabled; optimization; Enable differentiation; strategy; Real-time matches; physical products; data-centric value proposition; Customer value creation; data assimilation; products; Information-based; delivery; information-based value proposition; ERROR; Personalized recommendations; Data-driven insights; integration; Customized suggestions; information-based; services; optimize,"Across the 
pharmaceutical industry, we are beginning to realize 
the benefits of new technologies such as AI in 
mating processes and generating insights that 
help us design new compounds, predict drug safety 
speed up drug discovery. The extent to which compa- 
nies can harness this potential will depend on their 
ity to aggregate and analyze large volumes of 
nymized health data. See “Item 3. Key Information—Item 
3.D Risk factors—Research and development—Failure 
to competitively discover and develop innovative 
medicines in our core therapeutic areas and leverag- 
ing our technology platforms.” • Healthcare systems aim to build climate resilience. Healthcare systems are aiming to build climate 
ience, with 45 countries committing to net-zero carbon 
emissions in their health systems, according to 
WHO. At the same time, climate change and nature 
continue to have adverse effects on human health, 
mainly from malnutrition, malaria, diarrhea and 
stress, with respiratory illnesses","Across the 
pharmaceutical industry, we are beginning to realize 
the benefits of new technologies such as AI in 
mating processes and generating insights that 
help us design new compounds, predict drug safety 
speed up drug discovery. The extent to which compa- 
nies can harness this potential will depend on their 
ity to aggregate and analyze large volumes of 
nymized health data. See “Item 3. Key Information—Item 
3.D Risk factors—Research and development—Failure 
to competitively discover and develop innovative 
medicines in our core therapeutic areas and leverag- 
ing our technology platforms.” • Healthcare systems aim to build climate resilience. Healthcare systems are aiming to build climate 
ience, with 45 countries committing to net-zero carbon 
emissions in their health systems, according to 
WHO. At the same time, climate change and nature 
continue to have adverse effects on human health, 
mainly from malnutrition, malaria, diarrhea and 
stress, with respiratory illnesses ",Unknown,,novartis-annual-report-2024_docx_block0_chunk105,0.5797,0.3385,0.5074,0.5127,0.5111,0.58,0.2,0.5482,0.5127,0.6044
To what extent are the organization's products and services information-based or information-enabled?,Instantaneous matching; Algorithms; service integration; product strategy; Data analysis; analytics-driven value proposition; Seamless transactions; information-based production; production; Value generation; Algorithmic processes; Competitive differentiation; information-enabled; data merging; value strategy; Effortless transactions; information-based delivery; Analytics; information integration; Data-enabled; info-enabled; info-enabled services; value proposition; data incorporation; Information-enabled; optimization; Enable differentiation; strategy; Real-time matches; physical products; data-centric value proposition; Customer value creation; data assimilation; products; Information-based; delivery; information-based value proposition; ERROR; Personalized recommendations; Data-driven insights; integration; Customized suggestions; information-based; services; optimize,"| | | | product for US and Canada. |

As our product portfolio evolves, the Company is adapt- 
ing our manufacturing capacity and capabilities to meet 
our changing needs, shifting from high-volume products 
toward lower-volume, customized and personalized 
medicines. 

As of December 31, 2024, we have closed, 
exited, consolidated or sold 7 Novartis manufacturing 
sites post 2021. 

We continue expanding our capacity 
new technologies such as cell culture, biopharmaceuti- 
cal manufacturing and radioligand therapy, including the 
investment in in-house production of isotopes critical 
production of radioligand therapies. 

We are leveraging 
innovation to increase the reliability and productivity 
our manufacturing network, including using data and dig- 
ital technologies. 

We continue to seek opportunities 
manage our production facilities as efficiently as possi- 
ble, optimize external spend, and simplify and standard- 
ize across our manufacturing network to help us increase","| | | | product for US and Canada. |

As our product portfolio evolves, the Company is adapt‑ 
ing our manufacturing capacity and capabilities to meet 
our changing needs, shifting from high‑volume products 
toward lower‑volume, customized and personalized 
medicines. As of December 31, 2024, we have closed, 
exited, consolidated or sold 7 Novartis manufacturing 
sites post 2021. We continue expanding our capacity 
new technologies such as cell culture, biopharmaceuti‑ 
cal manufacturing and radioligand therapy, including the 
investment in in‑house production of isotopes critical 
production of radioligand therapies. We are leveraging 
innovation to increase the reliability and productivity 
our manufacturing network, including using data and dig‑ 
ital technologies. We continue to seek opportunities 
manage our production facilities as efficiently as possi‑ 
ble, optimize external spend, and simplify and standard‑ 
ize across our manufacturing network to help us increase 

a network ",Unknown,,novartis-annual-report-2024_docx_block0_chunk100,0.56,0.388,0.5084,0.4668,0.4793,0.47,0.1,0.4449,0.462,0.486
To what extent are the organization's products and services information-based or information-enabled?,Instantaneous matching; Algorithms; service integration; product strategy; Data analysis; analytics-driven value proposition; Seamless transactions; information-based production; production; Value generation; Algorithmic processes; Competitive differentiation; information-enabled; data merging; value strategy; Effortless transactions; information-based delivery; Analytics; information integration; Data-enabled; info-enabled; info-enabled services; value proposition; data incorporation; Information-enabled; optimization; Enable differentiation; strategy; Real-time matches; physical products; data-centric value proposition; Customer value creation; data assimilation; products; Information-based; delivery; information-based value proposition; ERROR; Personalized recommendations; Data-driven insights; integration; Customized suggestions; information-based; services; optimize,"A significant information security or other event, 
as a disruption or loss of availability of one or more 
our IT systems, whether managed by us or a third-party 
service provider, has previously and could in the future 
negatively impact important business processes, 
as the conduct of scientific research and clinical trials, 
the submission of data and information to health author- 
ities, our manufacturing and supply chain processes, 
shipments to customers, our compliance with legal 
gations, and communication between employees 
with third parties. In the ordinary course of business, 
collect, store and transmit confidential information 
(including but not limited to intellectual property, propri- 
etary business information and personal information).","A significant information security or other event, 
as a disruption or loss of availability of one or more 
our IT systems, whether managed by us or a third‑party 
service provider, has previously and could in the future 
negatively impact important business processes, 
as the conduct of scientific research and clinical trials, 
the submission of data and information to health author‑ 
ities, our manufacturing and supply chain processes, 
shipments to customers, our compliance with legal 
gations, and communication between employees 
with third parties. In the ordinary course of business, 
collect, store and transmit confidential information 
(including but not limited to intellectual property, propri‑ 
etary business information and personal information). issues have previously led to, and could in the future 
to, the compromise of trade secrets, confidential 
mation or other intellectual property that could be 
and used by competitors to accelerate the development 
or manufacturing o",Unknown,,novartis-annual-report-2024_docx_block0_chunk026,0.7886,0.9133,0.826,0.6301,0.6889,0.36,0.2,0.4298,0.6406,0.4848
To what extent are the organization's products and services information-based or information-enabled?,Instantaneous matching; Algorithms; service integration; product strategy; Data analysis; analytics-driven value proposition; Seamless transactions; information-based production; production; Value generation; Algorithmic processes; Competitive differentiation; information-enabled; data merging; value strategy; Effortless transactions; information-based delivery; Analytics; information integration; Data-enabled; info-enabled; info-enabled services; value proposition; data incorporation; Information-enabled; optimization; Enable differentiation; strategy; Real-time matches; physical products; data-centric value proposition; Customer value creation; data assimilation; products; Information-based; delivery; information-based value proposition; ERROR; Personalized recommendations; Data-driven insights; integration; Customized suggestions; information-based; services; optimize,"The organization’s offering is still dominated by physical products (pharmaceuticals / generics), so its revenue does not come from selling “pure” information goods such as databases or market‐research reports.  Nonetheless, virtually every step in getting those products to market is now information-intensive and therefore information-enabled:

• Research & development  
  – AI/ML models sift huge internal and external data sets (omics, high-throughput screening, imaging, EHRs) to identify new targets and optimize lead compounds.  
  – Cloud-based modeling, bio-informatics pipelines and electronic lab notebooks are core R&D tools.

• Clinical development  
  – Electronic data-capture, eSource, remote patient monitoring and real-world-evidence platforms generate, transmit and analyse terabytes of trial data.  
  – Digital biomarkers and decentralized/virtual-trial technology are used to accelerate recruitment and lower cost.

• Regulatory, quality and pharmacovigilance  
  – Submissions are assembled and submitted electronically (eCTD).  
  – Signal detection relies on advanced analytics applied to global safety databases.

• Manufacturing and supply chain  
  – Plants run on MES, SCADA and IoT sensor networks; predictive-maintenance and advanced-planning systems use real-time data feeds.  
  – Serialization/track-and-trace data are exchanged with wholesalers, pharmacies and authorities.

• Commercial and medical affairs  
  – Omnichannel engagement platforms, CRM and marketing-automation systems drive promotion.  
  – Medical-information portals, AI chatbots and field-force iPad apps deliver content to HCPs.  
  – Patient-support programs often include smartphone apps, wearables integration and analytics dashboards.

• Companion and stand-alone digital products  
  – Several drugs are paired with adherence apps or connected devices.  
  – Pilots are under way in digital therapeutics and algorithm-based dosing support.

• Corporate infrastructure  
  – Finance, HR and procurement run on integrated ERP and SaaS suites.  
  – A large part of the IT stack (including AI services) is outsourced to hyperscale cloud and specialized third-party providers.

Because of this heavy reliance on data and connected systems, the company lists “Cybersecurity breaches, data loss and catastrophic loss of IT systems” among its principal enterprise risks.  That disclosure implies that a material interruption of information systems would significantly disrupt R&D, manufacturing, and commercial supply—evidence that the organization’s products and services are highly information-enabled even though they are not themselves sold as information goods.

Overall assessment  
Information-based: limited (the firm does not sell data or software as its primary revenue stream).  
Information-enabled: very high (digital data and IT are critical enablers across the entire value chain; loss of those capabilities would materially affect operations and revenue).","In particular, if the spin‑off does not qual‑ 
ify as tax neutral for Swiss and US federal income tax 
purposes, our shareholders who received shares 
Sandoz in the spin‑off as part of the separation would 
be subject to tax as if they had received a taxable distri‑ 

Cybersecurity and data protection 

Cybersecurity breaches, data loss and catastrophic loss 
of IT systems 

Context and potential impact 
We are heavily dependent on critical, complex and 
dependent information technology (IT) systems, includ‑ 
ing internet‑based systems to support our business 
cesses. We also outsource significant parts of our 
infrastructure to third‑party providers, including those 
who provide AI services and technology, and currently 
use these providers to perform business‑critical IT 
vices for us. We are therefore vulnerable to cybersecu‑ 
rity attacks and incidents on such networks and systems, 
whether our own or those of the third‑party providers 
that we contract, and we have experienced, an",Unknown,,novartis-annual-report-2024_docx_block0_chunk025,0.4815,0.3281,0.4355,0.5491,0.515,0.38,0.2,0.409,0.6292,0.4605
To what extent are the organization's products and services information-based or information-enabled?,Instantaneous matching; Algorithms; service integration; product strategy; Data analysis; analytics-driven value proposition; Seamless transactions; information-based production; production; Value generation; Algorithmic processes; Competitive differentiation; information-enabled; data merging; value strategy; Effortless transactions; information-based delivery; Analytics; information integration; Data-enabled; info-enabled; info-enabled services; value proposition; data incorporation; Information-enabled; optimization; Enable differentiation; strategy; Real-time matches; physical products; data-centric value proposition; Customer value creation; data assimilation; products; Information-based; delivery; information-based value proposition; ERROR; Personalized recommendations; Data-driven insights; integration; Customized suggestions; information-based; services; optimize,"Novartis is respond­ing by adapting our business practices to engage appropriately with patients, customer groups and other stakeholders, including by delivering innovative solutions to drive education, access and improved patient care. 

Because many of these drugs require special handling and administration, we are rolling out patient support programs across our priority markets that serve as a central resource for onboarding, education and support to help patients navigate their healthcare.","Novartis is respond‑ 
ing by adapting our business practices to engage 
appropriately with patients, customer groups and other 
stakeholders, including by delivering innovative solutions 
to drive education, access and improved patient care. The growing number of so‑called “specialty” drugs 
in our portfolio, such as Cosentyx and Kesimpta, has 
resulted in increased engagement with specialty phar‑ 
macies. Because many of these drugs require special 
handling and administration, we are rolling out patient 
support programs across our priority markets that serve 
as a central resource for onboarding, education and sup‑ 
port to help patients navigate their healthcare. 

port to help patients navigate their healthcare. In the US, the US Centers for Medicare & Medicaid 
Services (CMS) is the largest single payer for healthcare 
services as a result of continuing changes in healthcare 
economics and an aging population. In addition, both 
commercial and government‑sponsored managed care 
o",Unknown,,novartis-annual-report-2024_docx_block0_chunk073,0.4219,0.1591,0.3431,0.5161,0.4642,0.35,0.1,0.3578,0.5493,0.3971
To what extent are the organization's products and services information-based or information-enabled?,Instantaneous matching; Algorithms; service integration; product strategy; Data analysis; analytics-driven value proposition; Seamless transactions; information-based production; production; Value generation; Algorithmic processes; Competitive differentiation; information-enabled; data merging; value strategy; Effortless transactions; information-based delivery; Analytics; information integration; Data-enabled; info-enabled; info-enabled services; value proposition; data incorporation; Information-enabled; optimization; Enable differentiation; strategy; Real-time matches; physical products; data-centric value proposition; Customer value creation; data assimilation; products; Information-based; delivery; information-based value proposition; ERROR; Personalized recommendations; Data-driven insights; integration; Customized suggestions; information-based; services; optimize,"Failure to successfully implement our IT strategy may 
disrupt our core business processes 

We rely on various IT systems to operate our complex 
global business and several of our current IT systems 
reaching the end of their useful life, which could cause 
disruptions to our operational stability. As a result, we 
implementing several companywide IT programs 
replace and consolidate outdated IT systems and to 
plify and standardize our processes, systems and tools, 
and create a unified data marketplace. Implementation 
and operation of these new systems involves certain 
risks, including the potential for a failure of the new 
tems to operate as expected; a failure to properly 
grate new systems with other systems we use; delays 
adopting and scaling new systems; potential loss of 
or information; a failure of, or potential issues with, 
tems related to our payment and procurement processes; 
compliance issues; and cost overruns and d","Key Information 

Failure to successfully implement our IT strategy may 
disrupt our core business processes 

Context and potential impact 
We rely on various IT systems to operate our complex 
global business and several of our current IT systems 
reaching the end of their useful life, which could cause 
disruptions to our operational stability. As a result, we 
implementing several companywide IT programs 
replace and consolidate outdated IT systems and to 
plify and standardize our processes, systems and tools, 
and create a unified data marketplace. Implementation 
and operation of these new systems involves certain 
risks, including the potential for a failure of the new 
tems to operate as expected; a failure to properly 
grate new systems with other systems we use; delays 
adopting and scaling new systems; potential loss of 
or information; a failure of, or potential issues with, 
tems related to our payment and procurement processes; 
compliance issues; and cost overruns and d",Unknown,,novartis-annual-report-2024_docx_block0_chunk029,0.4685,0.3704,0.4391,0.6241,0.5686,0.31,0.1,0.3507,0.5824,0.3916
To what extent are the organization's products and services information-based or information-enabled?,Instantaneous matching; Algorithms; service integration; product strategy; Data analysis; analytics-driven value proposition; Seamless transactions; information-based production; production; Value generation; Algorithmic processes; Competitive differentiation; information-enabled; data merging; value strategy; Effortless transactions; information-based delivery; Analytics; information integration; Data-enabled; info-enabled; info-enabled services; value proposition; data incorporation; Information-enabled; optimization; Enable differentiation; strategy; Real-time matches; physical products; data-centric value proposition; Customer value creation; data assimilation; products; Information-based; delivery; information-based value proposition; ERROR; Personalized recommendations; Data-driven insights; integration; Customized suggestions; information-based; services; optimize,"""We depend on critical, complex and interdependent IT systems, significant parts of which are outsourced to third parties.  
We also collect, store and transmit confidential information in the ordinary course of business, (including but not limited to intellectual property, proprietary business information and personal information).  
Cyberattacks or other IT issues could potentially lead to the unavailability of critical systems and/or the loss of confidential information.""","In addition, we have 
policies, controls and internal programs to ensure ESG is embedded in our decision-making. Cybersecurity and We depend on critical, complex and interdependent IT systems, significant parts of which 
protection are outsourced to third parties. We also collect, store and transmit confidential information in 
the ordinary course of business, (including but not limited to intellectual property, proprietary 
business information and personal information). Cyberattacks or other IT issues could potentially 
lead to the unavailability of critical systems and/or the loss of confidential information. Cybersecurity and 
data protection 

To execute our strategy, we need to attract, develop and retain qualified people — including 
members of our scientific and management teams, R&D specialists and employees with 
key capabilities in key markets. If we are unable to do so, our ability to achieve our business 
objectives may be affected. Talent and 
external workforce 
manageme",Unknown,,novartis-integrated-report-2024_docx_block0_chunk107,0.4471,0.5813,0.4874,0.5899,0.5591,0.3,0.1,0.3418,0.6337,0.3851
To what extent are the organization's products and services information-based or information-enabled?,Instantaneous matching; Algorithms; service integration; product strategy; Data analysis; analytics-driven value proposition; Seamless transactions; information-based production; production; Value generation; Algorithmic processes; Competitive differentiation; information-enabled; data merging; value strategy; Effortless transactions; information-based delivery; Analytics; information integration; Data-enabled; info-enabled; info-enabled services; value proposition; data incorporation; Information-enabled; optimization; Enable differentiation; strategy; Real-time matches; physical products; data-centric value proposition; Customer value creation; data assimilation; products; Information-based; delivery; information-based value proposition; ERROR; Personalized recommendations; Data-driven insights; integration; Customized suggestions; information-based; services; optimize,"To ensure product quality, we maintain a quality management system for our medicines in compliance with requirements from health authorities and other regulators.  

We have made progress in strengthening our culture to attract and retain talent, while developing artificial intelligence capabilities across our value chain and continuing to build trust with stakeholders and society.","To ensure product quality, we maintain a 
quality management system for our 
medicines in compliance with 
requirements from health authorities and 
other regulators. We are also switching 
more of our production to renewable 
energy and reducing the environmental 
footprint of our sites. Strengthen our foundations 
We continue to invest in the foundations of 
our long-term success. We have made 
progress in strengthening our culture to 
attract and retain talent, while developing 
artificial intelligence capabilities across 
our value chain and continuing to build 
trust with stakeholders and society. Our ESG strategy is a fundamental 
component of our purpose to reimagine 
medicine and our strategic imperative 
to build trust with society. This strategy 
is integrated across the company 
to drive long-term sustainable value 
for stakeholders. We aim to be a sector leader, with a focus 
on the areas where we can have the most 
impact through our core business: 
innovation to tackle se",Unknown,,novartis-integrated-report-2024_docx_block0_chunk014,0.3727,0.1896,0.3178,0.5441,0.4762,0.33,0.1,0.3462,0.5361,0.3834
To what extent are the organization's products and services information-based or information-enabled?,Instantaneous matching; Algorithms; service integration; product strategy; Data analysis; analytics-driven value proposition; Seamless transactions; information-based production; production; Value generation; Algorithmic processes; Competitive differentiation; information-enabled; data merging; value strategy; Effortless transactions; information-based delivery; Analytics; information integration; Data-enabled; info-enabled; info-enabled services; value proposition; data incorporation; Information-enabled; optimization; Enable differentiation; strategy; Real-time matches; physical products; data-centric value proposition; Customer value creation; data assimilation; products; Information-based; delivery; information-based value proposition; ERROR; Personalized recommendations; Data-driven insights; integration; Customized suggestions; information-based; services; optimize,"This could be impacted by several factors, including (but not limited to) competitive pressures, changes in the prescribing habits of healthcare professionals, and slower than expected adoption after launch.

Our commercial success depends, among other things, on effective transition of assets from development to launch, and sufficient market insight in pipeline and commercialization decisions.

We operate in competitive and rapidly changing markets and could be adversely affected if we fail to keep pace with technological changes.

R&D is vital to our strategy.

Our ability to grow our business and advance our product pipeline depends in significant part on the success of our R&D efforts.

We may be unable to develop the necessary clinical evidence to achieve the full potential of our assets.

In addition, failure to successfully implement new technologies such as AI may put us at a competitive disadvantage and impact our productivity and pipeline value.","This 
could be impacted by several factors, including (but not limited to) competitive pressures, 
changes in the prescribing habits of healthcare professionals, and slower than expected 
adoption after launch. Our commercial success depends, among other things, on effective 
transition of assets from development to launch, and sufficient market insight in pipeline and 
commercialization decisions. We operate in competitive and rapidly changing markets and 
could be adversely affected if we fail to keep pace with technological changes. R&D is vital to our strategy. Our ability to grow our business and advance our product pipeline 
depends in significant part on the success of our R&D efforts. We may be unable to develop 
the necessary clinical evidence to achieve the full potential of our assets. In addition, failure to 
successfully implement new technologies such as AI may put us at a competitive disadvantage 
and impact our productivity and pipeline value. Increasingly, companies ar",Unknown,,novartis-integrated-report-2024_docx_block0_chunk105,0.4292,0.2734,0.3825,0.5481,0.4984,0.3,0.1,0.3297,0.5483,0.3658
