User Query,Keywords,Extracted Sentences,Chunk Context,Page,Heading,Document,BM25 Score,TF-IDF Score,Combined Lexical Score,Semantic Score,Dense Score,Neural Score,Neural Enhanced Score,Context Score,Final Enhanced Score,Sentence Similarity,Ultimate Score
What is the nature and focus of the organization's 'Purpose'?,guiding principles; value-centric; integrated value; value-driven; supplier satisfaction; direction; objectives; value proposition; vision; value creation; future of prosperity; investor satisfaction; customer satisfaction; value enhancement; green initiatives; customer value; goals; create value; stakeholder satisfaction; organizational purpose; corporate purpose; purpose definition; value generation; undefined purpose; environmental care; customer-focused; prosperity; environmental responsibility; client-centric; eco-friendly practices; prosperous future; purpose alignment; mission; no clear purpose; purpose-driven; customer-oriented; stakeholder value; raison d'être; purpose articulation; value addition; value for customers; value-focused; value optimization; unclear purpose; value delivery; value for employees; financial success; value orientation; long-term vision; economic growth; environmental conservation; reason for being; strategic intent; purpose communication; investor value; sustainable development; employee satisfaction; future planning; comprehensive value; lack of purpose; environmental stewardship; value focus; ecological balance; resource management; wealth creation; identity; sustainability; absence of purpose; purpose statement; customer-centered; core values; value improvement; employee value; value maximization; supplier value; purpose clarity; environmental protection; focus; future-oriented; value for investors; value contribution; overall value; value for suppliers,"We also work through industry associations 
to advocate for policies that support a sustainable ecosystem for innovative medicines. 

We have strengthened our internal organization to streamline and focus decision-making by 
creating a new Strategy & Growth function, single business development teams, and leadership 
teams for each of our core therapeutic areas. 

We have also implemented a single framework for 
portfolio assessment and prioritization. 

We have a clear strategic focus. 

We are aligning our research, development and commercial 
activities around priority assets in our core therapeutic areas and integrating new technologies 
such as AI into our commercial models. 

We are also focusing on priority geographies that 
represent key sources of growth in our industry. 

We are focusing our efforts on core therapeutic areas and shifting more of our portfolio to new 
technology platforms such as cell and gene therapy, radioligand therapy, and xRNA.","We also work through industry associations 
to advocate for policies that support a sustainable ecosystem for innovative medicines. We have strengthened our internal organization to streamline and focus decision-making by 
creating a new Strategy & Growth function, single business development teams, and leadership 
teams for each of our core therapeutic areas. We have also implemented a single framework for 
portfolio assessment and prioritization. We have a clear strategic focus. We are aligning our research, development and commercial 
activities around priority assets in our core therapeutic areas and integrating new technologies 
such as AI into our commercial models. We are also focusing on priority geographies that 
represent key sources of growth in our industry. We are focusing our efforts on core therapeutic areas and shifting more of our portfolio to new 
technology platforms such as cell and gene therapy, radioligand therapy, and xRNA. To do this, 
we need to have clear stra",Unknown,,novartis-integrated-report-2024_docx_block0_chunk106,60.9418,0.137,0.953,0.6155,0.7167,-5.4879,-2.979,0.2,-2.939,0.6257,-3.3069
What is the nature and focus of the organization's 'Purpose'?,guiding principles; value-centric; integrated value; value-driven; supplier satisfaction; direction; objectives; value proposition; vision; value creation; future of prosperity; investor satisfaction; customer satisfaction; value enhancement; green initiatives; customer value; goals; create value; stakeholder satisfaction; organizational purpose; corporate purpose; purpose definition; value generation; undefined purpose; environmental care; customer-focused; prosperity; environmental responsibility; client-centric; eco-friendly practices; prosperous future; purpose alignment; mission; no clear purpose; purpose-driven; customer-oriented; stakeholder value; raison d'être; purpose articulation; value addition; value for customers; value-focused; value optimization; unclear purpose; value delivery; value for employees; financial success; value orientation; long-term vision; economic growth; environmental conservation; reason for being; strategic intent; purpose communication; investor value; sustainable development; employee satisfaction; future planning; comprehensive value; lack of purpose; environmental stewardship; value focus; ecological balance; resource management; wealth creation; identity; sustainability; absence of purpose; purpose statement; customer-centered; core values; value improvement; employee value; value maximization; supplier value; purpose clarity; environmental protection; focus; future-oriented; value for investors; value contribution; overall value; value for suppliers,"The strategic shift from a diversified life 
sciences company to a focused medicines 
organization over the last decade has 
proven to be the right path forward. With 
the divestment of our non-core activities 
in animal health, vaccines and generics, 
among others, we were able to free up 
resources and strengthen our position in 

fast-growing and highly innovative medical 
fields such as xRNA, radioligand therapy 
and gene and cell therapy. Our recent breakthroughs in breast 
cancer and kidney and blood diseases 
demonstrate that our operational focus 
strengthens our ability to deliver high-value 
medicines that alleviate society’s greatest 
disease burdens. As we continue to 
accelerate our research and development 
efforts and strengthen our commercial 
capabilities, we expect to continue to grow 
profitably in the long-term and create 
sustainable shareholder value.","The strategic shift from a diversified life 
sciences company to a focused medicines 
organization over the last decade has 
proven to be the right path forward. With 
the divestment of our non-core activities 
in animal health, vaccines and generics, 
among others, we were able to free up 
resources and strengthen our position in 

fast-growing and highly innovative medical 
fields such as xRNA, radioligand therapy 
and gene and cell therapy. Our recent breakthroughs in breast 
cancer and kidney and blood diseases 
demonstrate that our operational focus 
strengthens our ability to deliver high-value 
medicines that alleviate society’s greatest 
disease burdens. As we continue to 
accelerate our research and development 
efforts and strengthen our commercial 
capabilities, we expect to continue to grow 
profitably in the long-term and create 
sustainable shareholder value. Our efforts to more efficiently align our 
Research, Development and Commercial 

“ Our recent breakthroughs in br",Unknown,,novartis-integrated-report-2024_docx_block0_chunk004,49.6782,0.0853,0.7192,0.5676,0.6131,-5.8597,-3.2584,0.2,-3.2184,0.6081,-3.6099
What is the nature and focus of the organization's 'Purpose'?,guiding principles; value-centric; integrated value; value-driven; supplier satisfaction; direction; objectives; value proposition; vision; value creation; future of prosperity; investor satisfaction; customer satisfaction; value enhancement; green initiatives; customer value; goals; create value; stakeholder satisfaction; organizational purpose; corporate purpose; purpose definition; value generation; undefined purpose; environmental care; customer-focused; prosperity; environmental responsibility; client-centric; eco-friendly practices; prosperous future; purpose alignment; mission; no clear purpose; purpose-driven; customer-oriented; stakeholder value; raison d'être; purpose articulation; value addition; value for customers; value-focused; value optimization; unclear purpose; value delivery; value for employees; financial success; value orientation; long-term vision; economic growth; environmental conservation; reason for being; strategic intent; purpose communication; investor value; sustainable development; employee satisfaction; future planning; comprehensive value; lack of purpose; environmental stewardship; value focus; ecological balance; resource management; wealth creation; identity; sustainability; absence of purpose; purpose statement; customer-centered; core values; value improvement; employee value; value maximization; supplier value; purpose clarity; environmental protection; focus; future-oriented; value for investors; value contribution; overall value; value for suppliers,No relevant sentences found,"The integrated nature of 
worldwide operations can produce conflicting claims 
from tax authorities in different countries as to the 
its to be taxed in the individual countries, including poten‑ 
tial disputes relating to the prices our subsidiaries charge 
one another for intercompany transactions, known 
transfer pricing. Most of the jurisdictions in which 
operate have double tax treaties with other foreign 
dictions, which provide a framework for mitigating 
impact of double taxation on our revenues and capital 
gains. However, mechanisms developed to resolve 
conflicting claims are largely untried and can be expected 
to be very lengthy. Accruals for tax contingencies 
made based on experience, interpretations of tax 
and judgments about potential actions by tax authorities. However, due to the complexity of tax contingencies, 

In 2019, the Organization for Economic Co‑operation 
and Development (OECD) launched a new initiative on 
behalf of the G20 to minimize profit shifting b",Unknown,,novartis-annual-report-2024_docx_block0_chunk042,31.6417,0.0431,0.4334,0.4874,0.4712,-7.3359,-4.2174,0.2,-4.1774,0.0,-4.1774
What is the nature and focus of the organization's 'Purpose'?,guiding principles; value-centric; integrated value; value-driven; supplier satisfaction; direction; objectives; value proposition; vision; value creation; future of prosperity; investor satisfaction; customer satisfaction; value enhancement; green initiatives; customer value; goals; create value; stakeholder satisfaction; organizational purpose; corporate purpose; purpose definition; value generation; undefined purpose; environmental care; customer-focused; prosperity; environmental responsibility; client-centric; eco-friendly practices; prosperous future; purpose alignment; mission; no clear purpose; purpose-driven; customer-oriented; stakeholder value; raison d'être; purpose articulation; value addition; value for customers; value-focused; value optimization; unclear purpose; value delivery; value for employees; financial success; value orientation; long-term vision; economic growth; environmental conservation; reason for being; strategic intent; purpose communication; investor value; sustainable development; employee satisfaction; future planning; comprehensive value; lack of purpose; environmental stewardship; value focus; ecological balance; resource management; wealth creation; identity; sustainability; absence of purpose; purpose statement; customer-centered; core values; value improvement; employee value; value maximization; supplier value; purpose clarity; environmental protection; focus; future-oriented; value for investors; value contribution; overall value; value for suppliers,"""The Board is responsible for the overall direction and oversight of management, and holds the ultimate decision-making authority, with the exception of decisions reserved for shareholders.""","The report 
made several recommendations for the Board’s consid- 
eration, including preparing for the transition to a new 
Board Chair in 2025 and areas where the Board should 
focus its attention in the future. The 2024 self-assessment was conducted internally: 

The Board is responsible for the overall direction 
and oversight of management, and holds the ultimate 
decision-making authority, with the exception of deci- 
sions reserved for shareholders. Board members are 
expected to commit the time and effort required to fulfil 
all their Board and committee responsibilities. The Board has delegated certain duties and respon- 
sibilities to its five committees led by a Board-elected 
committee chair, as set out in the Board Regulations 
(www.novartis.com/investors/company-overview/cor- 
porate-governance). In some cases, these responsibili- 
ties are of an advisory or preparatory nature. In other 
cases, the committee has decision-making power that 
is subject to final Board approva",Unknown,,novartis-annual-report-2024_docx_block0_chunk271,39.2268,0.0584,0.5483,0.5176,0.5268,-6.855,-3.8998,0.2,-3.8598,0.4981,-4.2443
What is the nature and focus of the organization's 'Purpose'?,guiding principles; value-centric; integrated value; value-driven; supplier satisfaction; direction; objectives; value proposition; vision; value creation; future of prosperity; investor satisfaction; customer satisfaction; value enhancement; green initiatives; customer value; goals; create value; stakeholder satisfaction; organizational purpose; corporate purpose; purpose definition; value generation; undefined purpose; environmental care; customer-focused; prosperity; environmental responsibility; client-centric; eco-friendly practices; prosperous future; purpose alignment; mission; no clear purpose; purpose-driven; customer-oriented; stakeholder value; raison d'être; purpose articulation; value addition; value for customers; value-focused; value optimization; unclear purpose; value delivery; value for employees; financial success; value orientation; long-term vision; economic growth; environmental conservation; reason for being; strategic intent; purpose communication; investor value; sustainable development; employee satisfaction; future planning; comprehensive value; lack of purpose; environmental stewardship; value focus; ecological balance; resource management; wealth creation; identity; sustainability; absence of purpose; purpose statement; customer-centered; core values; value improvement; employee value; value maximization; supplier value; purpose clarity; environmental protection; focus; future-oriented; value for investors; value contribution; overall value; value for suppliers,"“In our first full-year as a pure-play medicines company,  
Novartis delivered strong results, with double-digit  
growth in sales and net profit in 2024. The performance  
validates our strategy and gives us confidence that we  
are well prepared to grow by focusing on our key thera-  
peutic areas and technology platforms.  

The strategic shift from a diversified life sciences com-  
pany to a focused medicines organization over the last  
decade has proven to be the right path forward. With the  
divestment of our non-core activities in animal health,  
vaccines and generics, among others, we were able to  
free up resources and strengthen our position in  
fast-growing and highly innovative medical fields such as  
xRNA, radioligand therapy and gene and cell therapy.  

Our recent breakthroughs in breast cancer and kidney  
and blood diseases demonstrate that our operational  
focus strengthens our ability to deliver high-value  
medicines that alleviate society’s greatest disease bur-  
dens.”","In our first full-year as a pure-play medicines company, 
Novartis delivered strong results, with double-digit 
growth in sales and net profit in 2024. The performance 
validates our strategy and gives us confidence that we 
are well prepared to grow by focusing on our key thera- 
peutic areas and technology platforms. The strategic shift from a diversified life sciences com- 
pany to a focused medicines organization over the last 
decade has proven to be the right path forward. With the 
divestment of our non-core activities in animal health, 
vaccines and generics, among others, we were able to 
free up resources and strengthen our position in 
fast-growing and highly innovative medical fields such as 
xRNA, radioligand therapy and gene and cell therapy. Our recent breakthroughs in breast cancer and kidney 
and blood diseases demonstrate that our operational 
focus strengthens our ability to deliver high-value 
medicines that alleviate society’s greatest disease bur- 
dens. As we con",Unknown,,novartis-annual-report-2024_docx_block0_chunk000,39.3564,0.0813,0.5997,0.5103,0.5371,-7.5014,-4.2788,0.2,-4.2388,0.4969,-4.6601
What is the nature and focus of the organization's 'Purpose'?,guiding principles; value-centric; integrated value; value-driven; supplier satisfaction; direction; objectives; value proposition; vision; value creation; future of prosperity; investor satisfaction; customer satisfaction; value enhancement; green initiatives; customer value; goals; create value; stakeholder satisfaction; organizational purpose; corporate purpose; purpose definition; value generation; undefined purpose; environmental care; customer-focused; prosperity; environmental responsibility; client-centric; eco-friendly practices; prosperous future; purpose alignment; mission; no clear purpose; purpose-driven; customer-oriented; stakeholder value; raison d'être; purpose articulation; value addition; value for customers; value-focused; value optimization; unclear purpose; value delivery; value for employees; financial success; value orientation; long-term vision; economic growth; environmental conservation; reason for being; strategic intent; purpose communication; investor value; sustainable development; employee satisfaction; future planning; comprehensive value; lack of purpose; environmental stewardship; value focus; ecological balance; resource management; wealth creation; identity; sustainability; absence of purpose; purpose statement; customer-centered; core values; value improvement; employee value; value maximization; supplier value; purpose clarity; environmental protection; focus; future-oriented; value for investors; value contribution; overall value; value for suppliers,"Our research and early development program is con­ducted by our Biomedical Research organizational unit, which is the innovation engine of Novartis.  
This unit is responsible for the discovery and first clinical evaluation of new medicines that bring value for patients and the Company.  
This requires hiring and retaining highly tal­ented employees, focusing on fundamental disease mechanisms that are relevant across different disease areas, continuously improving technologies for drug dis­covery and potential therapies, working with patients to understand their diseases and the potential benefits of therapies, forming close alliances with clinical and com­mercial colleagues, and establishing strategic external","These include the medical indications for which 
is being developed, the number, sequence and timing 
indications being pursued, whether the therapeutic can‑ 
didate is of a chemical or biological nature, the stage 
development, and the level of evidence necessary 

Our research and early development program is con‑ 
ducted by our Biomedical Research organizational unit, 
which is the innovation engine of Novartis. This unit is 
responsible for the discovery and first clinical evaluation 
of new medicines that bring value for patients and the 
Company. This requires hiring and retaining highly tal‑ 
ented employees, focusing on fundamental disease 
mechanisms that are relevant across different disease 
areas, continuously improving technologies for drug dis‑ 
covery and potential therapies, working with patients to 
understand their diseases and the potential benefits of 
therapies, forming close alliances with clinical and com‑ 
mercial colleagues, and establishing strategic external ",Unknown,,novartis-annual-report-2024_docx_block0_chunk076,35.8135,0.0563,0.5071,0.5649,0.5476,-7.478,-4.2724,0.2,-4.2324,0.5605,-4.7069
What is the nature and focus of the organization's 'Purpose'?,guiding principles; value-centric; integrated value; value-driven; supplier satisfaction; direction; objectives; value proposition; vision; value creation; future of prosperity; investor satisfaction; customer satisfaction; value enhancement; green initiatives; customer value; goals; create value; stakeholder satisfaction; organizational purpose; corporate purpose; purpose definition; value generation; undefined purpose; environmental care; customer-focused; prosperity; environmental responsibility; client-centric; eco-friendly practices; prosperous future; purpose alignment; mission; no clear purpose; purpose-driven; customer-oriented; stakeholder value; raison d'être; purpose articulation; value addition; value for customers; value-focused; value optimization; unclear purpose; value delivery; value for employees; financial success; value orientation; long-term vision; economic growth; environmental conservation; reason for being; strategic intent; purpose communication; investor value; sustainable development; employee satisfaction; future planning; comprehensive value; lack of purpose; environmental stewardship; value focus; ecological balance; resource management; wealth creation; identity; sustainability; absence of purpose; purpose statement; customer-centered; core values; value improvement; employee value; value maximization; supplier value; purpose clarity; environmental protection; focus; future-oriented; value for investors; value contribution; overall value; value for suppliers,"We are investing to build a strong data, 
digital and IT foundation for our company. As part of our overall strategy, we focus 
on priority projects that can be scaled 
globally and have the highest impact. One focus area is implementing artificial 
intelligence (AI) use cases across our 
business. For example, through our 
strategic research collaboration with 
Isomorphic Labs, we have developed an 
AI model predicting protein folding to 

reshape drug design. We are also 
exploring how AI can automate parts of 
clinical trial report writing. As part of our AI strategy, we are 
empowering employees to leverage 
AI-powered tools effectively and securely 
to enhance productivity and decision- 
making. In 2024, we launched an 
enterprise-wide AI upskilling campaign 
for employees, which includes 
supporting the adoption of Microsoft 
Copilot. We also established a ‘Data 
Science Academy’ for data scientists and 
other employees. 22 Novartis in Society About Novartis Strategy and business","We are investing to build a strong data, 
digital and IT foundation for our company. As part of our overall strategy, we focus 
on priority projects that can be scaled 
globally and have the highest impact. One focus area is implementing artificial 
intelligence (AI) use cases across our 
business. For example, through our 
strategic research collaboration with 
Isomorphic Labs, we have developed an 
AI model predicting protein folding to 

reshape drug design. We are also 
exploring how AI can automate parts of 
clinical trial report writing. As part of our AI strategy, we are 
empowering employees to leverage 
AI-powered tools effectively and securely 
to enhance productivity and decision- 
making. In 2024, we launched an 
enterprise-wide AI upskilling campaign 
for employees, which includes 
supporting the adoption of Microsoft 
Copilot. We also established a ‘Data 
Science Academy’ for data scientists and 
other employees. 22 Novartis in Society About Novartis Strategy and business",Unknown,,novartis-integrated-report-2024_docx_block0_chunk027,25.448,0.0483,0.3785,0.5222,0.4791,-7.4849,-4.3108,0.1,-4.2908,0.5222,-4.7389
What is the nature and focus of the organization's 'Purpose'?,guiding principles; value-centric; integrated value; value-driven; supplier satisfaction; direction; objectives; value proposition; vision; value creation; future of prosperity; investor satisfaction; customer satisfaction; value enhancement; green initiatives; customer value; goals; create value; stakeholder satisfaction; organizational purpose; corporate purpose; purpose definition; value generation; undefined purpose; environmental care; customer-focused; prosperity; environmental responsibility; client-centric; eco-friendly practices; prosperous future; purpose alignment; mission; no clear purpose; purpose-driven; customer-oriented; stakeholder value; raison d'être; purpose articulation; value addition; value for customers; value-focused; value optimization; unclear purpose; value delivery; value for employees; financial success; value orientation; long-term vision; economic growth; environmental conservation; reason for being; strategic intent; purpose communication; investor value; sustainable development; employee satisfaction; future planning; comprehensive value; lack of purpose; environmental stewardship; value focus; ecological balance; resource management; wealth creation; identity; sustainability; absence of purpose; purpose statement; customer-centered; core values; value improvement; employee value; value maximization; supplier value; purpose clarity; environmental protection; focus; future-oriented; value for investors; value contribution; overall value; value for suppliers,"""This focus enables us to build depth in these therapeutic areas, leveraging our scientific expertise to find new ways to treat and cure disease, intervene earlier in disease pathophysiology, and improve quality of life for patients.""

""We focus our exploratory research work on these core therapeutic areas but also look beyond them, recognizing that cultivating a robust pipeline and remaining on the leading edge of scientific discovery requires a slightly wider aperture in early research.""

""We are investing in technology platforms that we expect will deliver future high-value medicines.""

""We focus on two established platforms (chemistry and biotherapeutics) plus three advanced platforms (radioligand therapy (RLT), xRNA, and gene and cell therapy) that will play an important role in delivering transformative new medicines.""

""We focus on priority markets — US, Germany, China and Japan — which together account for most of the expected growth in global healthcare spending ov""","This focus 
enables us to build depth in these 
therapeutic areas, leveraging our 
scientific expertise to find new ways to 
treat and cure disease, intervene earlier in 
disease pathophysiology, and improve 
quality of life for patients. We focus our exploratory research work 
on these core therapeutic areas but also 
look beyond them, recognizing that 
cultivating a robust pipeline and remaining 
on the leading edge of scientific 
discovery requires a slightly wider 
aperture in early research. We are investing in technology platforms 
that we expect will deliver future high- 
value medicines. We focus on two 
established platforms (chemistry and 
biotherapeutics) plus three advanced 

platforms (radioligand therapy (RLT), 
xRNA, and gene and cell therapy) that will 
play an important role in delivering 
transformative new medicines. We focus on priority markets — US, 
Germany, China and Japan — which 
together account for most of the expected 
growth in global healthcare spending ov",Unknown,,novartis-integrated-report-2024_docx_block0_chunk012,29.3113,0.0773,0.4834,0.5357,0.52,-7.5093,-4.3018,0.1,-4.2818,0.5428,-4.7466
What is the nature and focus of the organization's 'Purpose'?,guiding principles; value-centric; integrated value; value-driven; supplier satisfaction; direction; objectives; value proposition; vision; value creation; future of prosperity; investor satisfaction; customer satisfaction; value enhancement; green initiatives; customer value; goals; create value; stakeholder satisfaction; organizational purpose; corporate purpose; purpose definition; value generation; undefined purpose; environmental care; customer-focused; prosperity; environmental responsibility; client-centric; eco-friendly practices; prosperous future; purpose alignment; mission; no clear purpose; purpose-driven; customer-oriented; stakeholder value; raison d'être; purpose articulation; value addition; value for customers; value-focused; value optimization; unclear purpose; value delivery; value for employees; financial success; value orientation; long-term vision; economic growth; environmental conservation; reason for being; strategic intent; purpose communication; investor value; sustainable development; employee satisfaction; future planning; comprehensive value; lack of purpose; environmental stewardship; value focus; ecological balance; resource management; wealth creation; identity; sustainability; absence of purpose; purpose statement; customer-centered; core values; value improvement; employee value; value maximization; supplier value; purpose clarity; environmental protection; focus; future-oriented; value for investors; value contribution; overall value; value for suppliers,"Our environmental sustainability strategy has three priorities: 

• Planet: Achieve climate and nature targets, including net-zero greenhouse gas (GHG) emissions by 2040 

• Patients: Develop sustainable products for patients, applying sustainable design principles for new products 

• People and policy: Transform the sustainability mindset across our organization and collaborate with industry partners to influence change in our sector","I T T T Phase II TT T Phase III TTT Submitted for regulatory approval Our environmental sustainability strategy 
has three priorities: 

• Planet: Achieve climate and nature 
targets, including net-zero greenhouse 
gas (GHG) emissions by 2040 
• Patients: Develop sustainable products 
for patients, applying sustainable 
design principles for new products 
• People and policy: Transform the 
sustainability mindset across our 
organization and collaborate with 
industry partners to influence change in 
our sector 

• Patients: Develop sustainable products 
for patients, applying sustainable 
design principles for new products 

• People and policy: Transform the 
sustainability mindset across our 
organization and collaborate with 
industry partners to influence change in 
our sector 

Oversight of our environmental 
sustainability strategy, including climate 
and nature topics, ultimately lies with our 
Board of Directors. The Board has delegated 
certain duties and responsibilities to ",Unknown,,novartis-integrated-report-2024_docx_block0_chunk034,51.1129,0.0996,0.7658,0.5793,0.6353,-7.6661,-4.3307,0.2,-4.2907,0.5854,-4.793
What is the nature and focus of the organization's 'Purpose'?,guiding principles; value-centric; integrated value; value-driven; supplier satisfaction; direction; objectives; value proposition; vision; value creation; future of prosperity; investor satisfaction; customer satisfaction; value enhancement; green initiatives; customer value; goals; create value; stakeholder satisfaction; organizational purpose; corporate purpose; purpose definition; value generation; undefined purpose; environmental care; customer-focused; prosperity; environmental responsibility; client-centric; eco-friendly practices; prosperous future; purpose alignment; mission; no clear purpose; purpose-driven; customer-oriented; stakeholder value; raison d'être; purpose articulation; value addition; value for customers; value-focused; value optimization; unclear purpose; value delivery; value for employees; financial success; value orientation; long-term vision; economic growth; environmental conservation; reason for being; strategic intent; purpose communication; investor value; sustainable development; employee satisfaction; future planning; comprehensive value; lack of purpose; environmental stewardship; value focus; ecological balance; resource management; wealth creation; identity; sustainability; absence of purpose; purpose statement; customer-centered; core values; value improvement; employee value; value maximization; supplier value; purpose clarity; environmental protection; focus; future-oriented; value for investors; value contribution; overall value; value for suppliers,"Novartis is an innovative medicines company engaged 
in the research, development, manufacturing, distribu- 
tion, marketing and sale of a broad range of innovative 
pharmaceutical medicines. Our purpose is to reimagine 
medicine to improve and extend people’s lives by lever- 
aging our scientific expertise to find new ways to treat 
and cure disease.","Oper- 
ating and Financial Review and Prospects — 5.A. Oper- 
ating results — Results of operations – Financial year 
2023 compared with 2022” of our Annual Report on 
Form 20-F filed on January 31, 2024. Novartis is an innovative medicines company engaged 
in the research, development, manufacturing, distribu- 
tion, marketing and sale of a broad range of innovative 
pharmaceutical medicines. Our purpose is to reimagine 
medicine to improve and extend people’s lives by lever- 
aging our scientific expertise to find new ways to treat 
and cure disease. Our operations are organized into five 
organizational units: Biomedical Research, Development, 
Operations, and two commercial units US and Interna- 
tional. Global functions support these organizational 
units in the execution of their work. We focus on four 
core therapeutic areas with strong growth potential and 
high unmet patient needs—cardiovascular, renal and 
metabolic; immunology; neuroscience; and oncology. For 
more informati",Unknown,,novartis-annual-report-2024_docx_block0_chunk102,37.6108,0.0642,0.5436,0.5328,0.536,-7.8347,-4.4856,0.2,-4.4456,0.5326,-4.9191
