User Query,Keywords,Extracted Sentences,Chunk Context,Page,Heading,Document,BM25 Score,TF-IDF Score,Combined Lexical Score,Semantic Score,Dense Score,Neural Score,Neural Enhanced Score,Context Score,Final Enhanced Score,Sentence Similarity,Ultimate Score
To what extent does the organization use gamification and/or incentive competitions?,Advocacy; Brand advocacy; Brand loyalty; Coding competitions; Corporate platforms; Customer loyalty; Customer quests; Digital platforms; Employee advocacy; Employee platforms; Engagement; Game mechanics; Game-based learning; Gamification; Hackathons; Incentives; Innovation events; Involvement; Learning innovation; Loyalty; Motivators; Participation; Rewards; User challenges; alignment; business; business processes; challenges; clients; company; competition-based incentives; competitive elements; consistency; constituents; contests; core processes; corporation; customer loyalty; customers; effectiveness; efficiency; embedding; employee incentives; employees; enterprise; game elements; game mechanics; game-based learning; game-based strategies; game-based systems; gamification; gamification initiatives; gamified performance systems; implementation; incentive competitions; incentive contests; incentives; incorporating; innovation competitions; innovation contests; integrating; integration; leaderboards; loyalty programs; motivation programs; operational efficiency; optimal effectiveness; optimal efficiency; optimization; organization; partners; performance effectiveness; process integration; ranking systems; referral competitions; referral programs; reward-based competitions; rewards; scalability; scalable initiatives; scalable solutions; staff; staff rewards; stakeholders; strategic integration; strategy; supplier ratings; suppliers; vendor evaluations; vendors; workforce,"""The Compensation Committee may appoint individuals who are new to a role on an annual base salary (and/or incentives) that is below the market level, with a view to increase this toward market level over a period of three to four years as an individual develops in the role.""

""If the scope of an existing Executive Committee member’s role changes significantly during the year, the Compensation Committee may make adjustments to the individual’s base salary (and/or incentives) in consideration of the benchmark of the new role and the Executive Committee appointments compensation policy.""

""Annual base salary""

""This prudent approach ensures pay levels are merit-based, with increases dependent on strong performance and proven ability in the role over a sustained period.""

""Incentives""

""The compensation package will normally include the key compensation elements and incentive opportunities in line with those offered to current Executive Committee members.""

""In exceptional circumstances, higher incen""","The Compensation Committee may appoint individuals who are new to a role on an annual base salary 
(and/or incentives) that is below the market level, with a view to increase this toward market level over a 
period of three to four years as an individual develops in the role. If the scope of an existing Executive Committee member’s role changes significantly during the year, the 
Compensation Committee may make adjustments to the individual’s base salary (and/or incentives) in 
consideration of the benchmark of the new role and the Executive Committee appointments compensation 
policy. Annual base salary
This prudent approach ensures pay levels are merit-based, with increases dependent on strong 
performance and proven ability in the role over a sustained period. Incentives
The compensation package will normally include the key compensation elements and incentive 
opportunities in line with those offered to current Executive Committee members. In exceptional circumstances, higher incen",88,,page88_chunk001,48.3375,0.2088,0.8058,0.5166,0.6033,-7.7686,-4.3967,0.2,-4.3567,0.5303,-4.8188
To what extent does the organization use gamification and/or incentive competitions?,Advocacy; Brand advocacy; Brand loyalty; Coding competitions; Corporate platforms; Customer loyalty; Customer quests; Digital platforms; Employee advocacy; Employee platforms; Engagement; Game mechanics; Game-based learning; Gamification; Hackathons; Incentives; Innovation events; Involvement; Learning innovation; Loyalty; Motivators; Participation; Rewards; User challenges; alignment; business; business processes; challenges; clients; company; competition-based incentives; competitive elements; consistency; constituents; contests; core processes; corporation; customer loyalty; customers; effectiveness; efficiency; embedding; employee incentives; employees; enterprise; game elements; game mechanics; game-based learning; game-based strategies; game-based systems; gamification; gamification initiatives; gamified performance systems; implementation; incentive competitions; incentive contests; incentives; incorporating; innovation competitions; innovation contests; integrating; integration; leaderboards; loyalty programs; motivation programs; operational efficiency; optimal effectiveness; optimal efficiency; optimization; organization; partners; performance effectiveness; process integration; ranking systems; referral competitions; referral programs; reward-based competitions; rewards; scalability; scalable initiatives; scalable solutions; staff; staff rewards; stakeholders; strategic integration; strategy; supplier ratings; suppliers; vendor evaluations; vendors; workforce,"Variable 
consideration is recognized when it is highly probable 
that a significant reversal will not occur. The most com-
mon elements of variable consideration are listed below. •	 Rebates and discounts granted to wholesalers, retail-
ers, government agencies (including US Medicaid and 
US Federal Medicare programs), government sup-
ported healthcare systems, private health systems, 
pharmacy benefit managers, managed healthcare 
organizations, purchasing organizations and other 
direct and indirect customers, as well as chargebacks 
are provisioned and recorded as revenue deductions 
at the time the related revenues are recorded, or when 
the incentives are offered. The provision represents 
estimates of the related obligations, requiring the use 
of judgment when estimating the effect of these reve-
nue deductions. These rebates and discounts, applied 
using provision rates, are estimated based on the terms 
and conditions in the individual government agencies, 
states, plans and","Variable 
consideration is recognized when it is highly probable 
that a significant reversal will not occur. The most com-
mon elements of variable consideration are listed below. •	 Rebates and discounts granted to wholesalers, retail-
ers, government agencies (including US Medicaid and 
US Federal Medicare programs), government sup-
ported healthcare systems, private health systems, 
pharmacy benefit managers, managed healthcare 
organizations, purchasing organizations and other 
direct and indirect customers, as well as chargebacks 
are provisioned and recorded as revenue deductions 
at the time the related revenues are recorded, or when 
the incentives are offered. The provision represents 
estimates of the related obligations, requiring the use 
of judgment when estimating the effect of these reve-
nue deductions. These rebates and discounts, applied 
using provision rates, are estimated based on the terms 
and conditions in the individual government agencies, 
states, plans and ",181,,page181_chunk003,51.9123,0.059,0.6279,0.4855,0.5282,-9.1917,-5.2923,0.3,-5.2323,0.4855,-5.7404
To what extent does the organization use gamification and/or incentive competitions?,Advocacy; Brand advocacy; Brand loyalty; Coding competitions; Corporate platforms; Customer loyalty; Customer quests; Digital platforms; Employee advocacy; Employee platforms; Engagement; Game mechanics; Game-based learning; Gamification; Hackathons; Incentives; Innovation events; Involvement; Learning innovation; Loyalty; Motivators; Participation; Rewards; User challenges; alignment; business; business processes; challenges; clients; company; competition-based incentives; competitive elements; consistency; constituents; contests; core processes; corporation; customer loyalty; customers; effectiveness; efficiency; embedding; employee incentives; employees; enterprise; game elements; game mechanics; game-based learning; game-based strategies; game-based systems; gamification; gamification initiatives; gamified performance systems; implementation; incentive competitions; incentive contests; incentives; incorporating; innovation competitions; innovation contests; integrating; integration; leaderboards; loyalty programs; motivation programs; operational efficiency; optimal effectiveness; optimal efficiency; optimization; organization; partners; performance effectiveness; process integration; ranking systems; referral competitions; referral programs; reward-based competitions; rewards; scalability; scalable initiatives; scalable solutions; staff; staff rewards; stakeholders; strategic integration; strategy; supplier ratings; suppliers; vendor evaluations; vendors; workforce,"Retirement, termination by 
the Company for reasons 
other than performance or 
conduct, and change of 
control
 
  
  
Voluntary  
resignation
  
  
Termination by the  
Company for misconduct or 
poor performance
 
  
  
Death or  
long-term disability

Annual Incentive for period 
between start of notice and 
termination date
Pro-rata Annual Incentive is 
paid to reflect the portion of 
the year the individual was 
employed. Annual Incentive is fully forfeited. Pro-rata Annual Incentive is 
paid to reflect the portion of 
the year the individual was 
employed. 

Unvested equity: mandatory 
deferral of Annual Incentive 
into restricted shares/ 
restricted share units (RSUs)
Awards are released on the 
original blocking end date. Is 
subject to forfeiture in the 
event that a leaver joins a 
competitor company before 
the original vesting date. 

Unvested restricted shares and restricted share units 
(RSUs) are forfeited. Accelerated vesting is 
applied. 

Unvested equity: voluntary","Elements
Retirement, termination by 
the Company for reasons 
other than performance or 
conduct, and change of 
control
 
  
  
Voluntary  
resignation
  
  
Termination by the  
Company for misconduct or 
poor performance
 
  
  
Death or  
long-term disability
Annual Incentive for period 
between start of notice and 
termination date
Pro-rata Annual Incentive is 
paid to reflect the portion of 
the year the individual was 
employed. Annual Incentive is fully forfeited. Pro-rata Annual Incentive is 
paid to reflect the portion of 
the year the individual was 
employed. Unvested equity: mandatory 
deferral of Annual Incentive 
into restricted shares/ 
restricted share units (RSUs)
Awards are released on the 
original blocking end date. Is 
subject to forfeiture in the 
event that a leaver joins a 
competitor company before 
the original vesting date. Unvested restricted shares and restricted share units 
(RSUs) are forfeited. Accelerated vesting is 
applied. Unvested equity: voluntary",89,,page89_chunk000,32.8784,0.0591,0.429,0.5516,0.5148,-9.0758,-5.2494,0.1,-5.2294,0.5508,-5.8055
To what extent does the organization use gamification and/or incentive competitions?,Advocacy; Brand advocacy; Brand loyalty; Coding competitions; Corporate platforms; Customer loyalty; Customer quests; Digital platforms; Employee advocacy; Employee platforms; Engagement; Game mechanics; Game-based learning; Gamification; Hackathons; Incentives; Innovation events; Involvement; Learning innovation; Loyalty; Motivators; Participation; Rewards; User challenges; alignment; business; business processes; challenges; clients; company; competition-based incentives; competitive elements; consistency; constituents; contests; core processes; corporation; customer loyalty; customers; effectiveness; efficiency; embedding; employee incentives; employees; enterprise; game elements; game mechanics; game-based learning; game-based strategies; game-based systems; gamification; gamification initiatives; gamified performance systems; implementation; incentive competitions; incentive contests; incentives; incorporating; innovation competitions; innovation contests; integrating; integration; leaderboards; loyalty programs; motivation programs; operational efficiency; optimal effectiveness; optimal efficiency; optimization; organization; partners; performance effectiveness; process integration; ranking systems; referral competitions; referral programs; reward-based competitions; rewards; scalability; scalable initiatives; scalable solutions; staff; staff rewards; stakeholders; strategic integration; strategy; supplier ratings; suppliers; vendor evaluations; vendors; workforce,"Pay for performance • Variable compensation is tied directly to the achievement of strategic Company targets  
Shareholder alignment • Our incentives are significantly weighted toward long-term equity-based plans • Measures under the Long-Term Incentive plans are calibrated to promote the creation of shareholder value • Executive Committee members are expected to build and maintain substantial shareholdings  
Balanced rewards • Balanced set of measures to create sustainable value • Mix of targets based on financial metrics, strategic objectives, and performance versus our competitors  
Business ethics • The Novartis Values and Behaviors are an integral part of our compensation system • They underpin the assessment of overall performance for the Annual Incentive  
Competitive compensation • Total compensation must be sufficient to attract and retain key global talent • Overarching emphasis on pay for performance","Pay for performance • Variable compensation is tied directly to the achievement of strategic Company targets Shareholder alignment • Our incentives are significantly weighted toward long-term equity-based plans • Measures under the Long-Term Incentive plans are calibrated to promote the creation of shareholder value • Executive Committee members are expected to build and maintain substantial shareholdings Balanced rewards • Balanced set of measures to create sustainable value • Mix of targets based on financial metrics, strategic objectives, and performance versus our competitors Business ethics • The Novartis Values and Behaviors are an integral part of our compensation system • They underpin the assessment of overall performance for the Annual Incentive Competitive compensation • Total compensation must be sufficient to attract and retain key global talent • Overarching emphasis on pay for performance Item 6. Directors, Senior Management and Employees
﻿
81
CEO and Executive Committee",85,,page85_chunk000,48.3669,0.075,0.6139,0.5983,0.603,-9.0808,-5.206,0.1,-5.186,0.6066,-5.8152
To what extent does the organization use gamification and/or incentive competitions?,Advocacy; Brand advocacy; Brand loyalty; Coding competitions; Corporate platforms; Customer loyalty; Customer quests; Digital platforms; Employee advocacy; Employee platforms; Engagement; Game mechanics; Game-based learning; Gamification; Hackathons; Incentives; Innovation events; Involvement; Learning innovation; Loyalty; Motivators; Participation; Rewards; User challenges; alignment; business; business processes; challenges; clients; company; competition-based incentives; competitive elements; consistency; constituents; contests; core processes; corporation; customer loyalty; customers; effectiveness; efficiency; embedding; employee incentives; employees; enterprise; game elements; game mechanics; game-based learning; game-based strategies; game-based systems; gamification; gamification initiatives; gamified performance systems; implementation; incentive competitions; incentive contests; incentives; incorporating; innovation competitions; innovation contests; integrating; integration; leaderboards; loyalty programs; motivation programs; operational efficiency; optimal effectiveness; optimal efficiency; optimization; organization; partners; performance effectiveness; process integration; ranking systems; referral competitions; referral programs; reward-based competitions; rewards; scalability; scalable initiatives; scalable solutions; staff; staff rewards; stakeholders; strategic integration; strategy; supplier ratings; suppliers; vendor evaluations; vendors; workforce,"""This means that the Board of Directors for the CEO, and 
the Compensation Committee for the other Executive 
Committee members, may decide – subject to applica-
ble law – to retain any unpaid or unvested incentive com-
pensation (malus), or to recover incentive compensation 
that has been paid or vested in the past (clawback). This 
applies in cases where the payout has resulted from a 
violation of laws or conflicts with internal management 
standards, including Company and accounting policies, 
as well as with US Securities and Exchange Commission 
(SEC) Rule requirements. This principle applies to both the short-term Annual 
Incentive and all long-term incentive plans.""","This means that the Board of Directors for the CEO, and 
the Compensation Committee for the other Executive 
Committee members, may decide – subject to applica-
ble law – to retain any unpaid or unvested incentive com-
pensation (malus), or to recover incentive compensation 
that has been paid or vested in the past (clawback). This 
applies in cases where the payout has resulted from a 
violation of laws or conflicts with internal management 
standards, including Company and accounting policies, 
as well as with US Securities and Exchange Commission 
(SEC) Rule requirements. This principle applies to both the short-term Annual 
Incentive and all long-term incentive plans.",89,,page89_chunk002,23.6192,0.065,0.3405,0.5326,0.475,-9.1477,-5.314,0.1,-5.294,0.5319,-5.8572
To what extent does the organization use gamification and/or incentive competitions?,Advocacy; Brand advocacy; Brand loyalty; Coding competitions; Corporate platforms; Customer loyalty; Customer quests; Digital platforms; Employee advocacy; Employee platforms; Engagement; Game mechanics; Game-based learning; Gamification; Hackathons; Incentives; Innovation events; Involvement; Learning innovation; Loyalty; Motivators; Participation; Rewards; User challenges; alignment; business; business processes; challenges; clients; company; competition-based incentives; competitive elements; consistency; constituents; contests; core processes; corporation; customer loyalty; customers; effectiveness; efficiency; embedding; employee incentives; employees; enterprise; game elements; game mechanics; game-based learning; game-based strategies; game-based systems; gamification; gamification initiatives; gamified performance systems; implementation; incentive competitions; incentive contests; incentives; incorporating; innovation competitions; innovation contests; integrating; integration; leaderboards; loyalty programs; motivation programs; operational efficiency; optimal effectiveness; optimal efficiency; optimization; organization; partners; performance effectiveness; process integration; ranking systems; referral competitions; referral programs; reward-based competitions; rewards; scalability; scalable initiatives; scalable solutions; staff; staff rewards; stakeholders; strategic integration; strategy; supplier ratings; suppliers; vendor evaluations; vendors; workforce,No relevant sentences found,"Describe the organization’s processes for managing 
climate-related risks. Describe how processes for identifying, assessing and 
managing climate-related 
risks are integrated into the organization’s overall risk 
management. p. 25, 29, 
30, 65
p. 25–29 p. 25, 29, 
30, 53
Metrics and targets
Disclose the metrics and targets used to 
assess and manage relevant climate-
related risks and opportunities where 
such information is material. Disclose the metrics used by the organization to assess 
climate-related risks and opportunities in line with its 
strategy and risk management process. Disclose Scope 1, Scope 2 and, if appropriate, Scope 3 
greenhouse gas (GHG) emissions, and the related risks. Describe the targets used by the organization to manage 
climate-related risks and opportunities and performance 
against targets. p. 27, 28, 
30, 65
p. 27, 28, 
30, 65
p. 25–28
 
The following sections comprise our disclosure in accordance with the Swiss Ordinance on Climate Disclosures under ",64,,page64_chunk001,28.0831,0.0451,0.3586,0.5066,0.4622,-10.3364,-6.0288,0.1,-6.0088,0.0,-6.0088
To what extent does the organization use gamification and/or incentive competitions?,Advocacy; Brand advocacy; Brand loyalty; Coding competitions; Corporate platforms; Customer loyalty; Customer quests; Digital platforms; Employee advocacy; Employee platforms; Engagement; Game mechanics; Game-based learning; Gamification; Hackathons; Incentives; Innovation events; Involvement; Learning innovation; Loyalty; Motivators; Participation; Rewards; User challenges; alignment; business; business processes; challenges; clients; company; competition-based incentives; competitive elements; consistency; constituents; contests; core processes; corporation; customer loyalty; customers; effectiveness; efficiency; embedding; employee incentives; employees; enterprise; game elements; game mechanics; game-based learning; game-based strategies; game-based systems; gamification; gamification initiatives; gamified performance systems; implementation; incentive competitions; incentive contests; incentives; incorporating; innovation competitions; innovation contests; integrating; integration; leaderboards; loyalty programs; motivation programs; operational efficiency; optimal effectiveness; optimal efficiency; optimization; organization; partners; performance effectiveness; process integration; ranking systems; referral competitions; referral programs; reward-based competitions; rewards; scalability; scalable initiatives; scalable solutions; staff; staff rewards; stakeholders; strategic integration; strategy; supplier ratings; suppliers; vendor evaluations; vendors; workforce,"•	 The payout schedule for the Annual Incentive incorporates performance against financial and strategic 
objectives. The payout range is 0% to 200% of on-target opportunity based on performance, as shown 
below:
PERFORMANCE	
PAYOUT (% of on-target) Outstanding	
170% – 200%
Exceeds expectations	
130% – 160%
Meets expectations	
80% – 120%
Partially meets expectations	
40% – 70%
Below expectations	
0%
  
Payout vehicle
•	 At the end of the performance period, 50% is paid in cash, and the remaining 50% is delivered in Novartis 
equity (restricted shares or RSUs) deferred for three years. If the shareholding requirement is met, the 
portion of the Annual Incentive that is mandatorily deferred in equity is reduced to 30%. •	 Executives may choose to receive all or part of the cash portion of their Annual Incentive in Novartis shares 
or American Depositary Receipts (ADRs; US only) that will not be subject to forfeiture conditions.","Payout ranges
•	 The payout schedule for the Annual Incentive incorporates performance against financial and strategic 
objectives. The payout range is 0% to 200% of on-target opportunity based on performance, as shown 
below:
PERFORMANCE	
PAYOUT (% of on-target) Outstanding	
170% – 200%
Exceeds expectations	
130% – 160%
Meets expectations	
80% – 120%
Partially meets expectations	
40% – 70%
Below expectations	
0%
  
Payout formula
Payout vehicle
•	 At the end of the performance period, 50% is paid in cash, and the remaining 50% is delivered in Novartis 
equity (restricted shares or RSUs) deferred for three years. If the shareholding requirement is met, the 
portion of the Annual Incentive that is mandatorily deferred in equity is reduced to 30%. •	 Executives may choose to receive all or part of the cash portion of their Annual Incentive in Novartis shares 
or American Depositary Receipts (ADRs; US only) that will not be subject to forfeiture conditions. In the US, 
awards may also be ",86,,page86_chunk001,30.3811,0.0471,0.3856,0.5436,0.4962,-9.6329,-5.5939,0.1,-5.5739,0.5472,-6.1838
To what extent does the organization use gamification and/or incentive competitions?,Advocacy; Brand advocacy; Brand loyalty; Coding competitions; Corporate platforms; Customer loyalty; Customer quests; Digital platforms; Employee advocacy; Employee platforms; Engagement; Game mechanics; Game-based learning; Gamification; Hackathons; Incentives; Innovation events; Involvement; Learning innovation; Loyalty; Motivators; Participation; Rewards; User challenges; alignment; business; business processes; challenges; clients; company; competition-based incentives; competitive elements; consistency; constituents; contests; core processes; corporation; customer loyalty; customers; effectiveness; efficiency; embedding; employee incentives; employees; enterprise; game elements; game mechanics; game-based learning; game-based strategies; game-based systems; gamification; gamification initiatives; gamified performance systems; implementation; incentive competitions; incentive contests; incentives; incorporating; innovation competitions; innovation contests; integrating; integration; leaderboards; loyalty programs; motivation programs; operational efficiency; optimal effectiveness; optimal efficiency; optimization; organization; partners; performance effectiveness; process integration; ranking systems; referral competitions; referral programs; reward-based competitions; rewards; scalability; scalable initiatives; scalable solutions; staff; staff rewards; stakeholders; strategic integration; strategy; supplier ratings; suppliers; vendor evaluations; vendors; workforce,"• Made decisions relating to Executive Committee and wider employee compensation during the year  
• Determined the critical performance measures (including financial, strategic, operational, innovation and ESG) to be considered in Executive incentive plan targets  
• Assessed the achievement of incentive plan targets for Executive Committee members  
• Reviewed shareholder and proxy advisor feedback related to Novartis compensation practices and disclosures, in addition to those of peer companies  
• Reviewed disclosures in the Novartis Compensation Report  
• Proposed appropriate peer companies for comparisons of board and executive committee compensation, and assessed the Company’s level of compensation against the peer group  
• Reviewed incentive plan rules to secure pay-for-performance alignment while preserving market competitiveness  
• Reflected on the effectiveness of the Company’s compensation programs in view of becoming a pure-play innovative medicines company","** Key activities in 2024 • Made decisions relating to Executive Committee and wider employee compensation during the year • Determined the critical performance measures (including financial, strategic, operational, innovation and ESG) to be considered in Executive incentive plan targets • Assessed the achievement of incentive plan targets for Executive Committee members • Reviewed shareholder and proxy advisor feedback related to Novartis compensation practices and disclosures, in addition to those of peer companies • Reviewed disclosures in the Novartis Compensation Report • Proposed appropriate peer companies for comparisons of board and executive committee compensation, and assessed the Company’s level of compensation against the peer group • Reviewed incentive plan rules to secure pay-for-performance alignment while preserving market competitiveness • Reflected on the effectiveness of the Company’s compensation programs in view of becoming a pure-play innovative medicines company ",121,,page121_chunk001,46.3205,0.0647,0.5777,0.5503,0.5585,-9.7671,-5.6346,0.1,-5.6146,0.5521,-6.2346
To what extent does the organization use gamification and/or incentive competitions?,Advocacy; Brand advocacy; Brand loyalty; Coding competitions; Corporate platforms; Customer loyalty; Customer quests; Digital platforms; Employee advocacy; Employee platforms; Engagement; Game mechanics; Game-based learning; Gamification; Hackathons; Incentives; Innovation events; Involvement; Learning innovation; Loyalty; Motivators; Participation; Rewards; User challenges; alignment; business; business processes; challenges; clients; company; competition-based incentives; competitive elements; consistency; constituents; contests; core processes; corporation; customer loyalty; customers; effectiveness; efficiency; embedding; employee incentives; employees; enterprise; game elements; game mechanics; game-based learning; game-based strategies; game-based systems; gamification; gamification initiatives; gamified performance systems; implementation; incentive competitions; incentive contests; incentives; incorporating; innovation competitions; innovation contests; integrating; integration; leaderboards; loyalty programs; motivation programs; operational efficiency; optimal effectiveness; optimal efficiency; optimization; organization; partners; performance effectiveness; process integration; ranking systems; referral competitions; referral programs; reward-based competitions; rewards; scalability; scalable initiatives; scalable solutions; staff; staff rewards; stakeholders; strategic integration; strategy; supplier ratings; suppliers; vendor evaluations; vendors; workforce,No relevant sentences found,"We have an Ethical use of Data & 
Technology Policy that, together with the 
AI Risk & Compliance Management 
Framework, contributes to the responsible 
use of AI across Novartis. Anti-corruption and anti-bribery
Novartis does not tolerate any form of 
bribery, undue influence and/or corruption. Our Doing Business Ethically and Conflict 
of Interest policies outline these 
expectations for all employees. We also 
clearly set out our standards in our Code 
of Ethics. Our Doing Business Ethically policy and its 
supporting handbooks comprise a risk 
framework covering four requirements: (a) 
define clear objectives; (b) identify and 
assess the risk; (c) act appropriately; and 
(d) monitor, reconcile and learn. To support implementation across our 
organization, the process requirements 
outlined in the supporting activity 
handbooks have been embedded within 
our BeSure system platform. This 
approach ensures that policy, processes 
and systems are integrated and can 
be monitored. Brib",42,,page42_chunk002,66.8948,0.1075,0.8544,0.5332,0.6296,-10.9895,-6.3162,0.3,-6.2562,0.0,-6.2562
To what extent does the organization use gamification and/or incentive competitions?,Advocacy; Brand advocacy; Brand loyalty; Coding competitions; Corporate platforms; Customer loyalty; Customer quests; Digital platforms; Employee advocacy; Employee platforms; Engagement; Game mechanics; Game-based learning; Gamification; Hackathons; Incentives; Innovation events; Involvement; Learning innovation; Loyalty; Motivators; Participation; Rewards; User challenges; alignment; business; business processes; challenges; clients; company; competition-based incentives; competitive elements; consistency; constituents; contests; core processes; corporation; customer loyalty; customers; effectiveness; efficiency; embedding; employee incentives; employees; enterprise; game elements; game mechanics; game-based learning; game-based strategies; game-based systems; gamification; gamification initiatives; gamified performance systems; implementation; incentive competitions; incentive contests; incentives; incorporating; innovation competitions; innovation contests; integrating; integration; leaderboards; loyalty programs; motivation programs; operational efficiency; optimal effectiveness; optimal efficiency; optimization; organization; partners; performance effectiveness; process integration; ranking systems; referral competitions; referral programs; reward-based competitions; rewards; scalability; scalable initiatives; scalable solutions; staff; staff rewards; stakeholders; strategic integration; strategy; supplier ratings; suppliers; vendor evaluations; vendors; workforce,"Rewards performance 
against short-term 
financial and strategic 
objectives, and Values 
and Behaviors2

Rewards long-term 
shareholder value 
­creation and innovation 
in line with our strategy

Balanced scorecard 
comprising:
•	Financial measures 
(60%)5
•	Strategic objectives 
(40%)6
•	Third-party sales 
CAGR (25%)7
•	Core operating 
income CAGR (25%)
•	Innovation (25%) •	Relative TSR (25%)8
–

1	 LTPP = Long-Term Performance Plan 

2	 The Novartis Values and Behaviors are also a key component of the Annual Incentive and are embedded in our culture. As such, 
members of the Executive Committee are expected to demonstrate these to the highest standard

3	 Executive Committee members may elect to receive up to 100% of their Annual Incentive in equity instead of cash. The Annual 
Incentive deferred in equity is granted under the Deferred Share Bonus Plan (DSBP) with 50% equity deferred for three years (or 
70% cash and 30% equity deferred if the shareholding requirement is met before perfo","Rewards performance 
against short-term 
financial and strategic 
objectives, and Values 
and Behaviors2
Rewards long-term 
shareholder value 
­creation and innovation 
in line with our strategy
Balanced scorecard 
comprising:
•	Financial measures 
(60%)5
•	Strategic objectives 
(40%)6
•	Third-party sales 
CAGR (25%)7
•	Core operating 
income CAGR (25%)
•	Innovation (25%) •	Relative TSR (25%)8
–
1	 LTPP = Long-Term Performance Plan 
2	 The Novartis Values and Behaviors are also a key component of the Annual Incentive and are embedded in our culture. As such, 
members of the Executive Committee are expected to demonstrate these to the highest standard
3	 Executive Committee members may elect to receive up to 100% of their Annual Incentive in equity instead of cash. The Annual 
Incentive deferred in equity is granted under the Deferred Share Bonus Plan (DSBP) with 50% equity deferred for three years (or 
70% cash and 30% equity deferred if the shareholding requirement is met before perfo",57,,page57_chunk002,45.1225,0.0779,0.5842,0.5926,0.5901,-9.8498,-5.6745,0.1,-5.6545,0.5926,-6.3247
