User Query,Keywords,Extracted Sentences,Chunk Context,Page,Heading,Document,BM25 Score,TF-IDF Score,Combined Lexical Score,Semantic Score,Dense Score,Neural Score,Neural Enhanced Score,Context Score,Final Enhanced Score,Sentence Similarity,Ultimate Score
To what extent does the organization use gamification and/or incentive competitions?,Advocacy; Brand advocacy; Brand loyalty; Coding competitions; Corporate platforms; Customer loyalty; Customer quests; Digital platforms; Employee advocacy; Employee platforms; Engagement; Game mechanics; Game-based learning; Gamification; Hackathons; Incentives; Innovation events; Involvement; Learning innovation; Loyalty; Motivators; Participation; Rewards; User challenges; alignment; business; business processes; challenges; clients; company; competition-based incentives; competitive elements; consistency; constituents; contests; core processes; corporation; customer loyalty; customers; effectiveness; efficiency; embedding; employee incentives; employees; enterprise; game elements; game mechanics; game-based learning; game-based strategies; game-based systems; gamification; gamification initiatives; gamified performance systems; implementation; incentive competitions; incentive contests; incentives; incorporating; innovation competitions; innovation contests; integrating; integration; leaderboards; loyalty programs; motivation programs; operational efficiency; optimal effectiveness; optimal efficiency; optimization; organization; partners; performance effectiveness; process integration; ranking systems; referral competitions; referral programs; reward-based competitions; rewards; scalability; scalable initiatives; scalable solutions; staff; staff rewards; stakeholders; strategic integration; strategy; supplier ratings; suppliers; vendor evaluations; vendors; workforce,"Following a strong performance, a further four Executive Committee members, who assumed their role in the last four years, will receive an increase in annual base salary between 1.6-6.0%, and/or a 10 ppts increase in their Annual Incentive and/or LTPP target, as a percentage of annual base salary. 

All other Executive Committee members, including the CEO, will receive ordinary base salary increases received by other employees in their country of employment (1.6% for Switzerland and 3.5% for US), effective March 1, 2025. Their Annual Incentive and LTPP targets remain unchanged.","Following a strong performance, a further four Executive Committee members, who assumed their role in the last 
four years, will receive an increase in annual base salary between 1.6-6.0%, and/or a 10 ppts increase in their Annual 
Incentive and/or LTPP target, as a percentage of annual base salary. All other Executive Committee members, including the CEO, will receive ordinary base salary increases received 
by other employees in their country of employment (1.6% for Switzerland and 3.5% for US), effective March 1, 2025. Their Annual Incentive and LTPP targets remain unchanged. Pay practice for other employees
The Board of Directors is committed to ensuring fair and competitive compensation practices across the entire 
organization. Recent such examples include an approved global budget of over USD 384 million for salary adjust-
ments during 2025, maintaining our existing Equal Pay International Coalition (EPIC) and Living Wage commitments 
globally, starting a new global program to i",91,,page91_chunk001,57.5985,0.1498,1.0,0.4989,0.6492,-8.6602,-4.8963,0.3,-4.8363,0.473,-5.2939
To what extent does the organization use gamification and/or incentive competitions?,Advocacy; Brand advocacy; Brand loyalty; Coding competitions; Corporate platforms; Customer loyalty; Customer quests; Digital platforms; Employee advocacy; Employee platforms; Engagement; Game mechanics; Game-based learning; Gamification; Hackathons; Incentives; Innovation events; Involvement; Learning innovation; Loyalty; Motivators; Participation; Rewards; User challenges; alignment; business; business processes; challenges; clients; company; competition-based incentives; competitive elements; consistency; constituents; contests; core processes; corporation; customer loyalty; customers; effectiveness; efficiency; embedding; employee incentives; employees; enterprise; game elements; game mechanics; game-based learning; game-based strategies; game-based systems; gamification; gamification initiatives; gamified performance systems; implementation; incentive competitions; incentive contests; incentives; incorporating; innovation competitions; innovation contests; integrating; integration; leaderboards; loyalty programs; motivation programs; operational efficiency; optimal effectiveness; optimal efficiency; optimization; organization; partners; performance effectiveness; process integration; ranking systems; referral competitions; referral programs; reward-based competitions; rewards; scalability; scalable initiatives; scalable solutions; staff; staff rewards; stakeholders; strategic integration; strategy; supplier ratings; suppliers; vendor evaluations; vendors; workforce,"If the scope of an existing Executive Committee member’s role changes significantly during the year, the Compensation Committee may make adjustments to the individual’s base salary (and/or incentives) in consideration of the benchmark of the new role and the Executive Committee appointments compensation policy.  

This prudent approach ensures pay levels are merit-based, with increases dependent on strong performance and proven ability in the role over a sustained period.  

The compensation package will normally include the key compensation elements and incentive opportunities in line with those offered to current Executive Committee members.  

In exceptional circumstances, higher incentive opportunities than those offered to current Executive Committee members may be provided at the Compensation Committee’s discretion.  

Performance measures may include business-specific measures tailored to the specific role.","If the scope of an existing Executive Committee member’s role changes significantly during the year, the 
Compensation Committee may make adjustments to the individual’s base salary (and/or incentives) in 
consideration of the benchmark of the new role and the Executive Committee appointments compensation 
policy. Annual base salary
This prudent approach ensures pay levels are merit-based, with increases dependent on strong 
performance and proven ability in the role over a sustained period. Incentives
The compensation package will normally include the key compensation elements and incentive 
opportunities in line with those offered to current Executive Committee members. In exceptional circumstances, higher incentive opportunities than those offered to current Executive 
Committee members may be provided at the Compensation Committee’s discretion. Performance measures may include business-specific measures tailored to the specific role. Pension and other benefits
Newly appointed Execu",88,,page88_chunk001,43.2703,0.1368,0.7999,0.5179,0.6025,-8.7403,-4.9807,0.2,-4.9407,0.5267,-5.4611
To what extent does the organization use gamification and/or incentive competitions?,Advocacy; Brand advocacy; Brand loyalty; Coding competitions; Corporate platforms; Customer loyalty; Customer quests; Digital platforms; Employee advocacy; Employee platforms; Engagement; Game mechanics; Game-based learning; Gamification; Hackathons; Incentives; Innovation events; Involvement; Learning innovation; Loyalty; Motivators; Participation; Rewards; User challenges; alignment; business; business processes; challenges; clients; company; competition-based incentives; competitive elements; consistency; constituents; contests; core processes; corporation; customer loyalty; customers; effectiveness; efficiency; embedding; employee incentives; employees; enterprise; game elements; game mechanics; game-based learning; game-based strategies; game-based systems; gamification; gamification initiatives; gamified performance systems; implementation; incentive competitions; incentive contests; incentives; incorporating; innovation competitions; innovation contests; integrating; integration; leaderboards; loyalty programs; motivation programs; operational efficiency; optimal effectiveness; optimal efficiency; optimization; organization; partners; performance effectiveness; process integration; ranking systems; referral competitions; referral programs; reward-based competitions; rewards; scalability; scalable initiatives; scalable solutions; staff; staff rewards; stakeholders; strategic integration; strategy; supplier ratings; suppliers; vendor evaluations; vendors; workforce,"Retirement, termination by 
the Company for reasons 
other than performance or 
conduct, and change of 
control
 
  
  
Voluntary  
resignation
  
  
Termination by the  
Company for misconduct or 
poor performance
 
  
  
Death or  
long-term disability
Annual Incentive for period 
between start of notice and 
termination date
Pro-rata Annual Incentive is 
paid to reflect the portion of 
the year the individual was 
employed. Annual Incentive is fully forfeited. Pro-rata Annual Incentive is 
paid to reflect the portion of 
the year the individual was 
employed. Unvested equity: mandatory 
deferral of Annual Incentive 
into restricted shares/ 
restricted share units (RSUs)
Awards are released on the 
original blocking end date. Is 
subject to forfeiture in the 
event that a leaver joins a 
competitor company before 
the original vesting date. Unvested restricted shares and restricted share units 
(RSUs) are forfeited. Accelerated vesting is 
applied. Unvested equity: voluntary","Elements
Retirement, termination by 
the Company for reasons 
other than performance or 
conduct, and change of 
control
 
  
  
Voluntary  
resignation
  
  
Termination by the  
Company for misconduct or 
poor performance
 
  
  
Death or  
long-term disability
Annual Incentive for period 
between start of notice and 
termination date
Pro-rata Annual Incentive is 
paid to reflect the portion of 
the year the individual was 
employed. Annual Incentive is fully forfeited. Pro-rata Annual Incentive is 
paid to reflect the portion of 
the year the individual was 
employed. Unvested equity: mandatory 
deferral of Annual Incentive 
into restricted shares/ 
restricted share units (RSUs)
Awards are released on the 
original blocking end date. Is 
subject to forfeiture in the 
event that a leaver joins a 
competitor company before 
the original vesting date. Unvested restricted shares and restricted share units 
(RSUs) are forfeited. Accelerated vesting is 
applied. Unvested equity: voluntary",89,,page89_chunk000,32.5047,0.0615,0.5183,0.5516,0.5416,-9.0758,-5.2315,0.1,-5.2115,0.5508,-5.7856
To what extent does the organization use gamification and/or incentive competitions?,Advocacy; Brand advocacy; Brand loyalty; Coding competitions; Corporate platforms; Customer loyalty; Customer quests; Digital platforms; Employee advocacy; Employee platforms; Engagement; Game mechanics; Game-based learning; Gamification; Hackathons; Incentives; Innovation events; Involvement; Learning innovation; Loyalty; Motivators; Participation; Rewards; User challenges; alignment; business; business processes; challenges; clients; company; competition-based incentives; competitive elements; consistency; constituents; contests; core processes; corporation; customer loyalty; customers; effectiveness; efficiency; embedding; employee incentives; employees; enterprise; game elements; game mechanics; game-based learning; game-based strategies; game-based systems; gamification; gamification initiatives; gamified performance systems; implementation; incentive competitions; incentive contests; incentives; incorporating; innovation competitions; innovation contests; integrating; integration; leaderboards; loyalty programs; motivation programs; operational efficiency; optimal effectiveness; optimal efficiency; optimization; organization; partners; performance effectiveness; process integration; ranking systems; referral competitions; referral programs; reward-based competitions; rewards; scalability; scalable initiatives; scalable solutions; staff; staff rewards; stakeholders; strategic integration; strategy; supplier ratings; suppliers; vendor evaluations; vendors; workforce,"Pay for performance • Variable compensation is tied directly to the achievement of strategic Company targets  
Shareholder alignment • Our incentives are significantly weighted toward long-term equity-based plans • Measures under the Long-Term Incentive plans are calibrated to promote the creation of shareholder value • Executive Committee members are expected to build and maintain substantial shareholdings  
Balanced rewards • Balanced set of measures to create sustainable value • Mix of targets based on financial metrics, strategic objectives, and performance versus our competitors  
Business ethics • The Novartis Values and Behaviors are an integral part of our compensation system • They underpin the assessment of overall performance for the Annual Incentive  
Competitive compensation • Total compensation must be sufficient to attract and retain key global talent • Overarching emphasis on pay for performance","Pay for performance • Variable compensation is tied directly to the achievement of strategic Company targets Shareholder alignment • Our incentives are significantly weighted toward long-term equity-based plans • Measures under the Long-Term Incentive plans are calibrated to promote the creation of shareholder value • Executive Committee members are expected to build and maintain substantial shareholdings Balanced rewards • Balanced set of measures to create sustainable value • Mix of targets based on financial metrics, strategic objectives, and performance versus our competitors Business ethics • The Novartis Values and Behaviors are an integral part of our compensation system • They underpin the assessment of overall performance for the Annual Incentive Competitive compensation • Total compensation must be sufficient to attract and retain key global talent • Overarching emphasis on pay for performance Item 6. Directors, Senior Management and Employees
﻿
81
CEO and Executive Committee",85,,page85_chunk000,47.6537,0.0771,0.7336,0.5983,0.6389,-9.0808,-5.1821,0.1,-5.1621,0.6066,-5.7883
To what extent does the organization use gamification and/or incentive competitions?,Advocacy; Brand advocacy; Brand loyalty; Coding competitions; Corporate platforms; Customer loyalty; Customer quests; Digital platforms; Employee advocacy; Employee platforms; Engagement; Game mechanics; Game-based learning; Gamification; Hackathons; Incentives; Innovation events; Involvement; Learning innovation; Loyalty; Motivators; Participation; Rewards; User challenges; alignment; business; business processes; challenges; clients; company; competition-based incentives; competitive elements; consistency; constituents; contests; core processes; corporation; customer loyalty; customers; effectiveness; efficiency; embedding; employee incentives; employees; enterprise; game elements; game mechanics; game-based learning; game-based strategies; game-based systems; gamification; gamification initiatives; gamified performance systems; implementation; incentive competitions; incentive contests; incentives; incorporating; innovation competitions; innovation contests; integrating; integration; leaderboards; loyalty programs; motivation programs; operational efficiency; optimal effectiveness; optimal efficiency; optimization; organization; partners; performance effectiveness; process integration; ranking systems; referral competitions; referral programs; reward-based competitions; rewards; scalability; scalable initiatives; scalable solutions; staff; staff rewards; stakeholders; strategic integration; strategy; supplier ratings; suppliers; vendor evaluations; vendors; workforce,No relevant sentences found,"“Other reve-
nue” also includes revenue from activities such as man-
ufacturing or other services rendered, to the extent such 
revenue is not recorded under net sales, and is recog-
nized when control transfers to the third party and our 
performance obligations are satisfied. Research and development
Internal research and development (R&D) costs are fully 
charged to “Research and development” in the consol-
idated income statement in the period in which they are 
incurred. The Company considers that regulatory and 
other uncertainties inherent in the development of new 
products preclude the capitalization of internal develop-
ment expenses as an intangible asset until marketing 
approval from a regulatory authority is obtained in a 
major market such as the United States, the European 
Union, Switzerland, China or Japan. Payments made to third parties such as contract 
research and development organizations in compensa-
tion for subcontracted R&D, that are deemed not to 
transfer i",182,,page182_chunk002,27.2147,0.0324,0.3957,0.517,0.4806,-10.2591,-5.9729,0.2,-5.9329,0.0,-5.9329
To what extent does the organization use gamification and/or incentive competitions?,Advocacy; Brand advocacy; Brand loyalty; Coding competitions; Corporate platforms; Customer loyalty; Customer quests; Digital platforms; Employee advocacy; Employee platforms; Engagement; Game mechanics; Game-based learning; Gamification; Hackathons; Incentives; Innovation events; Involvement; Learning innovation; Loyalty; Motivators; Participation; Rewards; User challenges; alignment; business; business processes; challenges; clients; company; competition-based incentives; competitive elements; consistency; constituents; contests; core processes; corporation; customer loyalty; customers; effectiveness; efficiency; embedding; employee incentives; employees; enterprise; game elements; game mechanics; game-based learning; game-based strategies; game-based systems; gamification; gamification initiatives; gamified performance systems; implementation; incentive competitions; incentive contests; incentives; incorporating; innovation competitions; innovation contests; integrating; integration; leaderboards; loyalty programs; motivation programs; operational efficiency; optimal effectiveness; optimal efficiency; optimization; organization; partners; performance effectiveness; process integration; ranking systems; referral competitions; referral programs; reward-based competitions; rewards; scalability; scalable initiatives; scalable solutions; staff; staff rewards; stakeholders; strategic integration; strategy; supplier ratings; suppliers; vendor evaluations; vendors; workforce,"""The Board of Directors reviewed the overall 2024 incentive outcomes against the performance of the company, acknowledging the period of uncertainty at the time the targets were set, and decided that pay and performance are well aligned.  
As with prior years, it decided that no adjustments were required and did not apply any discretion to the 2022-2024 LTPP payout.""","The Board of Directors reviewed the overall 2024 incentive outcomes against the performance of the company, 
acknowledging the period of uncertainty at the time the targets were set, and decided that pay and performance 
are well aligned. As with prior years, it decided that no adjustments were required and did not apply any discretion 
to the 2022-2024 LTPP payout.",80,,page80_chunk001,20.8502,0.031,0.3154,0.4991,0.444,-9.3877,-5.4697,0.1,-5.4497,0.5024,-5.9973
To what extent does the organization use gamification and/or incentive competitions?,Advocacy; Brand advocacy; Brand loyalty; Coding competitions; Corporate platforms; Customer loyalty; Customer quests; Digital platforms; Employee advocacy; Employee platforms; Engagement; Game mechanics; Game-based learning; Gamification; Hackathons; Incentives; Innovation events; Involvement; Learning innovation; Loyalty; Motivators; Participation; Rewards; User challenges; alignment; business; business processes; challenges; clients; company; competition-based incentives; competitive elements; consistency; constituents; contests; core processes; corporation; customer loyalty; customers; effectiveness; efficiency; embedding; employee incentives; employees; enterprise; game elements; game mechanics; game-based learning; game-based strategies; game-based systems; gamification; gamification initiatives; gamified performance systems; implementation; incentive competitions; incentive contests; incentives; incorporating; innovation competitions; innovation contests; integrating; integration; leaderboards; loyalty programs; motivation programs; operational efficiency; optimal effectiveness; optimal efficiency; optimization; organization; partners; performance effectiveness; process integration; ranking systems; referral competitions; referral programs; reward-based competitions; rewards; scalability; scalable initiatives; scalable solutions; staff; staff rewards; stakeholders; strategic integration; strategy; supplier ratings; suppliers; vendor evaluations; vendors; workforce,"The focus on innovative medicines and simplification of our operations after the organizational restructuring are having a visible impact across the company. The Research and Development units performed in line with our plan with targeted project timelines acceleration across R&D, and complementary BD&L/M&A deals were signed to bolster the company’s pipeline, although the Morphosys acquisition resulted in some unexpected challenges. In view of these achievements, the Board of Directors decided on an Annual Incentive payout for the CEO amounting to CHF 4 494 788, which is 160% of target, within the range of 0-200%.","The focus on innovative medicines and simplification of our opera-
tions after the organizational restructuring are having a visible impact across the company. The Research and Devel-
opment units performed in line with our plan with targeted project timelines acceleration across R&D, and comple-
mentary BD&L/M&A deals were signed to bolster the company’s pipeline, although the Morphosys acquisition 
resulted in some unexpected challenges. In view of these achievements, the Board of Directors decided on an 
Annual Incentive payout for the CEO amounting to CHF 4 494 788, which is 160% of target, within the range of 
0‑200%.",76,,page76_chunk003,19.9986,0.0238,0.2907,0.5503,0.4724,-9.3694,-5.4534,0.1,-5.4334,0.5481,-6.0291
To what extent does the organization use gamification and/or incentive competitions?,Advocacy; Brand advocacy; Brand loyalty; Coding competitions; Corporate platforms; Customer loyalty; Customer quests; Digital platforms; Employee advocacy; Employee platforms; Engagement; Game mechanics; Game-based learning; Gamification; Hackathons; Incentives; Innovation events; Involvement; Learning innovation; Loyalty; Motivators; Participation; Rewards; User challenges; alignment; business; business processes; challenges; clients; company; competition-based incentives; competitive elements; consistency; constituents; contests; core processes; corporation; customer loyalty; customers; effectiveness; efficiency; embedding; employee incentives; employees; enterprise; game elements; game mechanics; game-based learning; game-based strategies; game-based systems; gamification; gamification initiatives; gamified performance systems; implementation; incentive competitions; incentive contests; incentives; incorporating; innovation competitions; innovation contests; integrating; integration; leaderboards; loyalty programs; motivation programs; operational efficiency; optimal effectiveness; optimal efficiency; optimization; organization; partners; performance effectiveness; process integration; ranking systems; referral competitions; referral programs; reward-based competitions; rewards; scalability; scalable initiatives; scalable solutions; staff; staff rewards; stakeholders; strategic integration; strategy; supplier ratings; suppliers; vendor evaluations; vendors; workforce,No relevant sentences found,"Novartis is a member of the International 
Labour Organization Global Business and 
Disability Network and the Valuable 500, 
promoting inclusion for people with 
disabilities in the workplace. We also 
collaborate with international partners, 
such as Disability:IN, Purple Space and 
Business Disability Forum, to identify and 
develop best practice solutions to enable 
people with disabilities to participate as 
equal members of our organization. Examples of this work include increasing 
physical and digital accessibility while 
integrating disability perspectives in 
relevant standards and practices. In accordance with the UN Standards of 
Conduct for Business, we also strive to 
tackle discrimination against employees 
who are lesbian, gay, bisexual, 
transgender, queer and intersex (LGBTQI). More than 80 employee resource groups 
for business-related and cultural topics, 
which are open to all employees from all 
backgrounds, create a sense of belonging 
while offering members an o",35,,page35_chunk001,33.5022,0.0424,0.4921,0.5321,0.5201,-10.4945,-6.0919,0.1,-6.0719,0.0,-6.0719
To what extent does the organization use gamification and/or incentive competitions?,Advocacy; Brand advocacy; Brand loyalty; Coding competitions; Corporate platforms; Customer loyalty; Customer quests; Digital platforms; Employee advocacy; Employee platforms; Engagement; Game mechanics; Game-based learning; Gamification; Hackathons; Incentives; Innovation events; Involvement; Learning innovation; Loyalty; Motivators; Participation; Rewards; User challenges; alignment; business; business processes; challenges; clients; company; competition-based incentives; competitive elements; consistency; constituents; contests; core processes; corporation; customer loyalty; customers; effectiveness; efficiency; embedding; employee incentives; employees; enterprise; game elements; game mechanics; game-based learning; game-based strategies; game-based systems; gamification; gamification initiatives; gamified performance systems; implementation; incentive competitions; incentive contests; incentives; incorporating; innovation competitions; innovation contests; integrating; integration; leaderboards; loyalty programs; motivation programs; operational efficiency; optimal effectiveness; optimal efficiency; optimization; organization; partners; performance effectiveness; process integration; ranking systems; referral competitions; referral programs; reward-based competitions; rewards; scalability; scalable initiatives; scalable solutions; staff; staff rewards; stakeholders; strategic integration; strategy; supplier ratings; suppliers; vendor evaluations; vendors; workforce,No relevant sentences found,"Describe how processes for identifying, assessing and 
managing climate-related 
risks are integrated into the organization’s overall risk 
management. p. 25, 29, 
30, 65
p. 25–29 p. 25, 29, 
30, 53
Metrics and targets
Disclose the metrics and targets used to 
assess and manage relevant climate-
related risks and opportunities where 
such information is material. Disclose the metrics used by the organization to assess 
climate-related risks and opportunities in line with its 
strategy and risk management process. Disclose Scope 1, Scope 2 and, if appropriate, Scope 3 
greenhouse gas (GHG) emissions, and the related risks. Describe the targets used by the organization to manage 
climate-related risks and opportunities and performance 
against targets. p. 27, 28, 
30, 65
p. 27, 28, 
30, 65
p. 25–28
 
The following sections comprise our disclosure in accordance with the Swiss Ordinance on Climate Disclosures under Art. 964b. Our disclosure is based on the report “Recommendations of the Ta",64,,page64_chunk001,25.8978,0.0361,0.387,0.4947,0.4624,-10.4489,-6.093,0.1,-6.073,0.0,-6.073
To what extent does the organization use gamification and/or incentive competitions?,Advocacy; Brand advocacy; Brand loyalty; Coding competitions; Corporate platforms; Customer loyalty; Customer quests; Digital platforms; Employee advocacy; Employee platforms; Engagement; Game mechanics; Game-based learning; Gamification; Hackathons; Incentives; Innovation events; Involvement; Learning innovation; Loyalty; Motivators; Participation; Rewards; User challenges; alignment; business; business processes; challenges; clients; company; competition-based incentives; competitive elements; consistency; constituents; contests; core processes; corporation; customer loyalty; customers; effectiveness; efficiency; embedding; employee incentives; employees; enterprise; game elements; game mechanics; game-based learning; game-based strategies; game-based systems; gamification; gamification initiatives; gamified performance systems; implementation; incentive competitions; incentive contests; incentives; incorporating; innovation competitions; innovation contests; integrating; integration; leaderboards; loyalty programs; motivation programs; operational efficiency; optimal effectiveness; optimal efficiency; optimization; organization; partners; performance effectiveness; process integration; ranking systems; referral competitions; referral programs; reward-based competitions; rewards; scalability; scalable initiatives; scalable solutions; staff; staff rewards; stakeholders; strategic integration; strategy; supplier ratings; suppliers; vendor evaluations; vendors; workforce,No relevant sentences found,"To the extent the amount of a distribution by us 
exceeds our current and accumulated earnings and prof-
its, such excess will first be treated as a tax‑free return 
of capital to the extent of a US Holder’s tax basis in the 
shares or ADRs (with a corresponding reduction in such 
tax basis), and thereafter will be treated as capital gain, 
which will be long‑term capital gain if the US Holder held 
our shares or ADRs for more than one year. Under the 
Code, dividend payments by us on the shares or ADRs 
are not eligible for the dividends received deduction gen-
erally allowed to corporate shareholders. Dividend income in respect of our shares or ADRs 
will constitute income from sources outside the US for 
US foreign tax credit purposes. Subject to the limitations 
and conditions provided in the Code, US Holders gener-
ally may claim as a credit against their US federal income 
tax liability, any Withholding Tax withheld from a dividend. The rules governing the foreign tax credit are ",148,,page148_chunk003,23.143,0.0351,0.3516,0.4204,0.3998,-10.6863,-6.2574,0.1,-6.2374,0.0,-6.2374
