User Query,Keywords,Extracted Sentences,Chunk Context,Page,Heading,Document,BM25 Score,TF-IDF Score,Combined Lexical Score,Semantic Score,Dense Score,Neural Score,Neural Enhanced Score,Context Score,Final Enhanced Score,Sentence Similarity,Ultimate Score
"To what extent does the organization use technologies for knowledge-sharing, communication, and workflow management?",knowledge-sharing; workflow tools; organizational communication; collaborative software; electronic mail; fragmented access; external access; non-existent systems; communication tools; external stakeholders; workflow; stakeholder engagement; Yammer; technology deployment; external entities; digital communication solutions; Discord; team communication software; knowledge sharing tools; telephone; non-existent tools; external integration; email; emails; integrated systems; workflow technologies; information-sharing platforms; communication technologies; advanced communication tools; knowledge management systems; phone; Notion; advanced tools; communication platforms; internal communication tools; extensive deployment; project management software; workflow management tools; enterprise social networks; workflow management systems; fragmented systems; knowledge-sharing tools; ERROR; knowledge sharing technologies; collaboration platforms; knowledge management tools; basic communication tools; integration; fragmented tools; communication systems; Slack,"We are heavily dependent on critical, complex and interdependent information technology (IT) systems, including internet-based systems to support our business processes.  
We also outsource significant parts of our IT infrastructure to third-party providers, including those who provide AI services and technology, and currently use these providers to perform business-critical IT services for us.  
We are therefore vulnerable to cybersecurity attacks and incidents on such networks and systems, whether our own or those of the third-party providers that we contract, and we have experienced, and may in the future experience, such cybersecurity threats and attacks.  
Cybersecurity threats and attacks take many forms, and the size, age and complexity of our IT systems make them potentially vulnerable to external and internal security threats; outages; malicious intrusions and attacks; cybercrimes, including state-sponsored cybercrimes; malware; ransomware; misplaced data, lost data or data errors; programming or human errors; or other similar events.  
We may not be able to anticipate all types of security threats, and we may not be able to implement preventive measures effective against all such security threats.  
The risk of such threats and attacks has increased, in part due to the rise of AI, and as virtual and remote working have become more common, and sensitive data is accessed by employees working in less secure, home-based environments.  
In addition, due to  
our reliance on third-party providers, we have experienced, and may in the future experience, interruptions, delays or outages in IT service availability due to a variety of factors outside of our control, including technical failures, natural disasters, fraud, or security attacks experienced by or caused by third-party providers.  
Interruptions in the service provided by these third parties could affect our ability to perform critical tasks.  
A significant information security or other event, such as a disruption or loss of availability of one or more of our IT systems, whether managed by us or a third-party service provider, has previously and could in the future negatively impact important business processes, such as the conduct of scientific research and clinical trials, the submission of data and information to health authorities, our manufacturing and supply chain processes, our shipments to customers, our compliance with legal obligations, and communication between employees and with third parties.  
In the ordinary course of business, we collect, store and transmit confidential information (including but not limited to intellectual property, proprietary business information and personal information).","We are heavily dependent on critical, complex and interdependent information technology (IT) systems, including internet-based systems to support our business processes. We also outsource significant parts of our IT infrastructure to third-party providers, including those who provide AI services and technology, and currently use these providers to perform business-critical IT services for us. We are therefore vulnerable to cybersecurity attacks and incidents on such networks and systems, whether our own or those of the third-party providers that we contract, and we have experienced, and may in the future experience, such cybersecurity threats and attacks. Cybersecurity threats and attacks take many forms, and the size, age and complexity of our IT systems make them potentially vulnerable to external and internal security threats; outages; malicious intrusions and attacks; cybercrimes, including state-sponsored cybercrimes; malware; ransomware; misplaced data, lost data or data errors; programming or human errors; or other similar events. We may not be able to anticipate all types of security threats, and we may not be able to implement preventive measures effective against all such security threats. The risk of such threats and attacks has increased, in part due to the rise of AI, and as virtual and remote working have become more common, and sensitive data is accessed by employees working in less secure, home-based environments. In addition, due to
### Page 17 ###
our reliance on third-party providers, we have experienced, and may in the future experience, interruptions, delays or outages in IT service availability due to a variety of factors outside of our control, including technical failures, natural disasters, fraud, or security attacks experienced by or caused by third-party providers. Interruptions in the service provided by these third parties could affect our ability to perform critical tasks. A significant information security or other event, such as a disruption or loss of availability of one or more of our IT systems, whether managed by us or a third-party service provider, has previously and could in the future negatively impact important business processes, such as the conduct of scientific research and clinical trials, the submission of data and information to health authorities, our manufacturing and supply chain processes, our shipments to customers, our compliance with legal obligations, and communication between employees and with third parties. In the ordinary course of business, we collect, store and transmit confidential information (including but not limited to intellectual property, proprietary business information and personal information).",16,Context and potential impact,combined_novartis_chunk_0039,40.8703,0.0499,0.7584,0.5909,0.6411,-6.4273,-3.5865,0.3,-3.5265,0.5877,-4.5627
"To what extent does the organization use technologies for knowledge-sharing, communication, and workflow management?",knowledge-sharing; workflow tools; organizational communication; collaborative software; electronic mail; fragmented access; external access; non-existent systems; communication tools; external stakeholders; workflow; stakeholder engagement; Yammer; technology deployment; external entities; digital communication solutions; Discord; team communication software; knowledge sharing tools; telephone; non-existent tools; external integration; email; emails; integrated systems; workflow technologies; information-sharing platforms; communication technologies; advanced communication tools; knowledge management systems; phone; Notion; advanced tools; communication platforms; internal communication tools; extensive deployment; project management software; workflow management tools; enterprise social networks; workflow management systems; fragmented systems; knowledge-sharing tools; ERROR; knowledge sharing technologies; collaboration platforms; knowledge management tools; basic communication tools; integration; fragmented tools; communication systems; Slack,No relevant sentences found,"Our Enterprise Risk Management (ERM) framework is designed to generate a holistic view of risks for our company and drive a culture of informed risk-taking that advances our strategy.
Our annual ERM process is based on three main steps: understanding and adapting to the rapidly changing dynamics of our external environment; identifying, assessing and analyzing potential risks to the success of our strategy; and setting a clear risk appetite for each risk and taking actions to achieve our target risk exposure.
Throughout the year, we hold risk workshops with business leaders from countries, organizational units and global functions. This helps us integrate risk management into our activities and better understand our risk exposure through transparency on how key risks and opportunities are evolving.
Risk exposure is rated on a four-point scale - very high, high, medium, and low - based on likelihood and potential impact, using the 'most-probable worst-case' scenarios for each risk as reference points. We create mitigation plans and monitor each risk to achieve our target risk exposure.
Overall, our 2024 risk portfolio was similar to 2023. We continued to take mitigation measures to reduce our net risk exposure while updating our ERM framework and risk definitions to reflect changes in our strategic priorities and business environment taking into account risk amplifiers such as geostrategy, technology acceleration, climate change and evolving societal expectations.",53,Our approach,combined_novartis_chunk_1008,25.1509,0.0255,0.4447,0.5337,0.507,-9.5771,-5.5506,0.2,-5.5106,0.0,-5.5106
"To what extent does the organization use technologies for knowledge-sharing, communication, and workflow management?",knowledge-sharing; workflow tools; organizational communication; collaborative software; electronic mail; fragmented access; external access; non-existent systems; communication tools; external stakeholders; workflow; stakeholder engagement; Yammer; technology deployment; external entities; digital communication solutions; Discord; team communication software; knowledge sharing tools; telephone; non-existent tools; external integration; email; emails; integrated systems; workflow technologies; information-sharing platforms; communication technologies; advanced communication tools; knowledge management systems; phone; Notion; advanced tools; communication platforms; internal communication tools; extensive deployment; project management software; workflow management tools; enterprise social networks; workflow management systems; fragmented systems; knowledge-sharing tools; ERROR; knowledge sharing technologies; collaboration platforms; knowledge management tools; basic communication tools; integration; fragmented tools; communication systems; Slack,No relevant sentences found,"Therefore, a holistic effort — focused on patient-centered solutions, regulatory innovation, and shared accountability — is essential to bridging the gap between innovation and accessibility. |  Access target | 2024 | 2023 | 2022  |
| --- | --- | --- | --- |
|  Implement a global access strategy for all new medicines launched (%)^{1} | 100 | 100 | 100  |
- A data in scope for external limited assurance
- ^{1} Excluding cell, gene, and radioligand therapies (RLT) These systemic barriers also extend to the complex process of registering and distributing medicines globally. To bring a pharmaceutical product to market, a registration dossier containing evidence of the product's safety, efficacy, and quality must be submitted to regulatory authorities. Depending on the country, this process can take months or even years, influenced by the efficiency of the regulatory body and nature of the product. Furthermore, the negotiation of selling prices or reimbursement levels with regulators and payers often delays availability, while cost-containment measures — such as government-imposed price reductions and reference pricing systems — can further limit access to medicines. Failure to tackle these challenges collectively risks not only delaying access to medicines for patients but also impacting public trust, reputation, and business sustainability. Therefore, a holistic effort — focused on patient-centered solutions, regulatory innovation, and shared accountability — is essential to bridging the gap between innovation and accessibility. |  Access to medicines performance indicators | 2024 | 2023 | 2022  |
| --- | --- | --- | --- |
| Patients reached (millions) |  |  |   |
|  Patients reached^{1} | 296 | 284 | 267  |
|  Innovation |  |  |   |
|  Submissions (US, EU, Japan, China)^{2} | 29 | 18 | 24  |
|  Approvals (US, EU, Japan, China)^{3} | 20 | 22 | 23  |
|  New molecular entity (NME) approvals^{3} | 0 | 1 | 1  |
^{1} Patients reached via third-party sales with the exclusion of contract manufacturing organization and contract manufacturing. ^{2} Sandor brands, radioligand therapy brands, and volumes for patients reached through donations, patient support programs, access foundations, and samples. ^{3} Includes small molecules or biologics; new fixed-dose combinations of existing active pharmaceutical ingredients (APIs); and new target indications, defined as new disease or new line of treatment (e.g., first line vs. second line).",39,Falsified medicines,combined_novartis_chunk_0973,19.1601,0.0245,0.3605,0.5245,0.4753,-9.519,-5.5344,0.1,-5.5144,0.0,-5.5144
"To what extent does the organization use technologies for knowledge-sharing, communication, and workflow management?",knowledge-sharing; workflow tools; organizational communication; collaborative software; electronic mail; fragmented access; external access; non-existent systems; communication tools; external stakeholders; workflow; stakeholder engagement; Yammer; technology deployment; external entities; digital communication solutions; Discord; team communication software; knowledge sharing tools; telephone; non-existent tools; external integration; email; emails; integrated systems; workflow technologies; information-sharing platforms; communication technologies; advanced communication tools; knowledge management systems; phone; Notion; advanced tools; communication platforms; internal communication tools; extensive deployment; project management software; workflow management tools; enterprise social networks; workflow management systems; fragmented systems; knowledge-sharing tools; ERROR; knowledge sharing technologies; collaboration platforms; knowledge management tools; basic communication tools; integration; fragmented tools; communication systems; Slack,"In July 2024, we introduced the Anti-Fraud Policy to reinforce our commitment not to tolerate any form of fraud.  
This policy follows the Committee of Sponsoring Organizations of the Treadway Commission (COSO) Fraud Risk Management Guide that has a broad approach to fraud.  
In November 2024, we introduced the Ethical use of Data & Technology Policy with a communication campaign and mandatory training.  
In 2024, Novartis did not experience any material cybersecurity incidents.  
An update of our Business Continuity Management (BCM) and Novartis Emergency Management (NEM) Handbook provides our employees with additional details and guidance on how to implement BCM and NEM across Novartis.  
It helps us to ensure an uninterrupted supply of key products and services and to secure our key assets and business processes.  
In 2024, we updated the Internal Review Committee Handbook, the Investigations Handbook and the SpeakUp Guidance.","In July 2024, we introduced the Anti-Fraud Policy to reinforce our commitment not to tolerate any form of fraud. This policy follows the Committee of Sponsoring Organizations of the Treadway Commission (COSO) Fraud Risk Management Guide that has a broad approach to fraud. In November 2024, we introduced the Ethical use of Data \& Technology Policy with a communication campaign and mandatory training. In 2024, Novartis did not experience any material cybersecurity incidents. An update of our Business Continuity Management (BCM) and Novartis Emergency Management (NEM) Handbook provides our employees with additional details and guidance on how to implement BCM and NEM across Novartis. It helps us to ensure an uninterrupted supply of key products and services and to secure our key assets and business processes. In 2024, we updated the Internal Review Committee Handbook, the Investigations Handbook and the SpeakUp Guidance. [^0]: ${ }^{1}$ ""Higher-risk allegations substantiated"" include all",44,Main activities in 2024,combined_novartis_chunk_1432,52.4648,0.0564,0.9408,0.477,0.6162,-8.1039,-4.5788,0.4,-4.4988,0.4734,-5.5637
"To what extent does the organization use technologies for knowledge-sharing, communication, and workflow management?",knowledge-sharing; workflow tools; organizational communication; collaborative software; electronic mail; fragmented access; external access; non-existent systems; communication tools; external stakeholders; workflow; stakeholder engagement; Yammer; technology deployment; external entities; digital communication solutions; Discord; team communication software; knowledge sharing tools; telephone; non-existent tools; external integration; email; emails; integrated systems; workflow technologies; information-sharing platforms; communication technologies; advanced communication tools; knowledge management systems; phone; Notion; advanced tools; communication platforms; internal communication tools; extensive deployment; project management software; workflow management tools; enterprise social networks; workflow management systems; fragmented systems; knowledge-sharing tools; ERROR; knowledge sharing technologies; collaboration platforms; knowledge management tools; basic communication tools; integration; fragmented tools; communication systems; Slack,No relevant sentences found,"Describe the resilience of the organization's strategy, taking into consideration different climate-related scenarios, including a $2^{\circ} \mathrm{C}$ or lower scenario. | p. 25, 26, 65
p. 27, 29, 30, 65
p. 25, 26, 27, 29  |
|  Risk management
Disclose how the organization identifies, assesses, and manages climate-related risks. | Describe the organization's processes for identifying and assessing climate-related risks. Describe the organization's processes for managing climate-related risks. Describe how processes for identifying, assessing and managing climate-related risks are integrated into the organization's overall risk management. | p. 25, 29, 30, 65
p. 25-29
p. 25, 29, 30, 53  |
|  Metrics and targets
Disclose the metrics and targets used to assess and manage relevant climate-related risks and opportunities where such information is material. | Disclose the metrics used by the organization to assess climate-related risks and opportunities in line with its strategy and risk ",64,Task Force on Climate-related Financial Disclosures (TCFD) index,combined_novartis_chunk_1517,29.3252,0.055,0.6262,0.5419,0.5672,-9.7334,-5.6064,0.2,-5.5664,0.0,-5.5664
"To what extent does the organization use technologies for knowledge-sharing, communication, and workflow management?",knowledge-sharing; workflow tools; organizational communication; collaborative software; electronic mail; fragmented access; external access; non-existent systems; communication tools; external stakeholders; workflow; stakeholder engagement; Yammer; technology deployment; external entities; digital communication solutions; Discord; team communication software; knowledge sharing tools; telephone; non-existent tools; external integration; email; emails; integrated systems; workflow technologies; information-sharing platforms; communication technologies; advanced communication tools; knowledge management systems; phone; Notion; advanced tools; communication platforms; internal communication tools; extensive deployment; project management software; workflow management tools; enterprise social networks; workflow management systems; fragmented systems; knowledge-sharing tools; ERROR; knowledge sharing technologies; collaboration platforms; knowledge management tools; basic communication tools; integration; fragmented tools; communication systems; Slack,"""In 2024, the annual Code of Ethics training achieved a completion rate of $98.3 \%$.""

""Mandatory compliance training topics during the year included external partner risk management; anti-bribery; conflicts of interest; ethical use of data and technology; antitrust and fair competition; insider trading; adverse events reporting, and; inclusion and belonging.""

""In early 2024, we launched our updated Trade Sanctions and Export Controls Guideline and implemented associated internal controls.""

""The Guideline helps Novartis employees, contractors and other third parties better understand where breaches of export controls and trade sanctions might arise.""

""It also supports employees in making the right decisions for our patients, our people and society.""

""In July 2024, we introduced the Anti-Fraud Policy to reinforce our commitment not to tolerate any form of fraud.""

""In November 2024, we introduced the Ethical use of Data \& Technology Policy with a communication campaign and mandatory training.""

""An update of our Business Continuity Management (BCM) and Novartis Emergency Management (NEM) Handbook provides our employees with additional details and guidance on how to implement BCM and NEM across Novartis.""

""In 2024, we updated the Internal Review Committee Handbook, the Investigations Handbook and the SpeakUp Guidance.""

""In 2024, Novartis did not experience any material cybersecurity incidents.""","In 2024, the annual Code of Ethics training achieved a completion rate of $98.3 \%$.
Mandatory compliance training topics during the year included external partner risk management; anti-bribery; conflicts of interest; ethical use of data and technology; antitrust and fair competition; insider
|  Grievance indicators ${ }^{1}$ | 2024 | 2023 | 2022  |
| --- | --- | --- | --- |
|  Total allegations | 1607 | 2059 | 1384  |
|  Higher-risk allegations ${ }^{2}$ | 946 | 717 | 533  |
|  Higher-risk allegations substantiated | 921 | 447 | 239  | [^0]trading; adverse events reporting, and; inclusion and belonging. In 2024, the evaluation of our compliance management system confirmed it to be mature and well designed. We also updated our Antitrust and Fair Competition Policy to ensure we continue to engage in fair competition and comply with antitrust and competition laws worldwide. In early 2024, we launched our updated Trade Sanctions and Export Controls Guideline and implemented associated internal controls. The Guideline helps Novartis employees, contractors and other third parties better understand where breaches of export controls and trade sanctions might arise. It also supports employees in making the right decisions for our patients, our people and society. We published our second anti-bribery report in early 2024. See ""Supply chain management"" on page 46 for more information on assessments of suppliers in 2024 as part of our External Partner Risk Management process. In July 2024, we introduced the Anti-Fraud Policy to reinforce our commitment not to tolerate any form of fraud. This policy follows the Committee of Sponsoring Organizations of the Treadway Commission (COSO) Fraud Risk Management Guide that has a broad approach to fraud. In November 2024, we introduced the Ethical use of Data \& Technology Policy with a communication campaign and mandatory training. In 2024, Novartis did not experience any material cybersecurity incidents. An update of our Business Continuity Management (BCM) and Novartis Emergency Management (NEM) Handbook provides our employees with additional details and guidance on how to implement BCM and NEM across Novartis. It helps us to ensure an uninterrupted supply of key products and services and to secure our key assets and business processes. In 2024, we updated the Internal Review Committee Handbook, the Investigations Handbook and the SpeakUp Guidance.",44,Main activities in 2024,combined_novartis_chunk_0986,46.9781,0.065,0.9045,0.4715,0.6014,-8.2582,-4.6797,0.4,-4.5997,0.4482,-5.6304
"To what extent does the organization use technologies for knowledge-sharing, communication, and workflow management?",knowledge-sharing; workflow tools; organizational communication; collaborative software; electronic mail; fragmented access; external access; non-existent systems; communication tools; external stakeholders; workflow; stakeholder engagement; Yammer; technology deployment; external entities; digital communication solutions; Discord; team communication software; knowledge sharing tools; telephone; non-existent tools; external integration; email; emails; integrated systems; workflow technologies; information-sharing platforms; communication technologies; advanced communication tools; knowledge management systems; phone; Notion; advanced tools; communication platforms; internal communication tools; extensive deployment; project management software; workflow management tools; enterprise social networks; workflow management systems; fragmented systems; knowledge-sharing tools; ERROR; knowledge sharing technologies; collaboration platforms; knowledge management tools; basic communication tools; integration; fragmented tools; communication systems; Slack,"We operate in an industry that relies on the collection, processing, analysis and interpretation of large sets of patients' and other individuals' personal information, including via social media and mobile technologies.

The operation of our business requires data to flow to our third-party contractors' systems and across the borders of numerous countries in which there are different, potentially conflicting, and frequently changing, data privacy laws in effect.

Such events could also lead to restrictions on our ability to use personal information and/or transfer personal information across country borders, which could interfere with critical business operations.

This divergence may increase compliance costs, constrain the implementation of global business processes and may lead to different approaches on the use of health data for scientific research, which may have a negative impact on our business and operations.","We operate in an industry that relies on the collection, processing, analysis and interpretation of large sets of patients' and other individuals' personal information, including via social media and mobile technologies. The operation of our business requires data to flow to our third-party contractors' systems and across the borders of numerous countries in which there are different, potentially conflicting, and frequently changing, data privacy
laws in effect. Examples of such laws include: the EU General Data Protection Regulation (GDPR); Brazil's General Personal Data Protection Law; the Personal Information Protection Law in China; and different comprehensive consumer privacy laws in multiple US states. Such laws impose stringent requirements on how we and third parties with whom we contract collect, share, export, protect or otherwise process personal information, and provide for significant penalties for noncompliance. Security breaches of our systems or those of our third-party contractors, or other failures to protect the data we collect from misuse or breach by third parties, could expose such personal information to unauthorized persons which could result in legal claims or proceedings, liability under applicable data privacy laws and significant regulatory penalties, and which could disrupt our operations and have a negative impact on our reputation.
Events involving the substantial loss or unlawful access or disclosure of personal information, use of personal information without a legal basis, or other privacy violations could give rise to significant liability, reputational harm, damaged relationships with business partners, and potentially substantial monetary penalties and other sanctions under laws enacted or being enacted around the world. Such events could also lead to restrictions on our ability to use personal information and/or transfer personal information across country borders, which could interfere with critical business operations. In addition, there is a trend of increasing divergence of data privacy legal frameworks, not only across these frameworks but also within individual legal frameworks themselves. This divergence may increase compliance costs, constrain the implementation of global business processes and may lead to different approaches on the use of health data for scientific research, which may have a negative impact on our business and operations.",20,Context and potential impact,combined_novartis_chunk_0056,24.3234,0.0333,0.4668,0.5727,0.5409,-7.6043,-4.3547,0.2,-4.3147,0.6205,-5.6533
"To what extent does the organization use technologies for knowledge-sharing, communication, and workflow management?",knowledge-sharing; workflow tools; organizational communication; collaborative software; electronic mail; fragmented access; external access; non-existent systems; communication tools; external stakeholders; workflow; stakeholder engagement; Yammer; technology deployment; external entities; digital communication solutions; Discord; team communication software; knowledge sharing tools; telephone; non-existent tools; external integration; email; emails; integrated systems; workflow technologies; information-sharing platforms; communication technologies; advanced communication tools; knowledge management systems; phone; Notion; advanced tools; communication platforms; internal communication tools; extensive deployment; project management software; workflow management tools; enterprise social networks; workflow management systems; fragmented systems; knowledge-sharing tools; ERROR; knowledge sharing technologies; collaboration platforms; knowledge management tools; basic communication tools; integration; fragmented tools; communication systems; Slack,"Across the biopharmaceutical industry, we are beginning to realize the benefits of new technologies such as AI in automating processes and generating insights that could help us design new compounds, predict drug safety, or speed up drug discovery. The extent to which companies can harness this potential will depend on their ability to aggregate and analyze large volumes of anonymized health data.","Across the biopharmaceutical industry, we are beginning to realize the benefits of new technologies such as AI in automating processes and generating insights that could help us design new compounds, predict drug safety, or speed up drug discovery. The extent to which companies can harness this potential will depend on their ability to aggregate and analyze large volumes of anonymized health data.",12,AI is poised to reshape the industry,combined_novartis_chunk_1221,29.4071,0.0446,0.5827,0.5803,0.581,-7.8211,-4.46,0.2,-4.42,0.5803,-5.7025
"To what extent does the organization use technologies for knowledge-sharing, communication, and workflow management?",knowledge-sharing; workflow tools; organizational communication; collaborative software; electronic mail; fragmented access; external access; non-existent systems; communication tools; external stakeholders; workflow; stakeholder engagement; Yammer; technology deployment; external entities; digital communication solutions; Discord; team communication software; knowledge sharing tools; telephone; non-existent tools; external integration; email; emails; integrated systems; workflow technologies; information-sharing platforms; communication technologies; advanced communication tools; knowledge management systems; phone; Notion; advanced tools; communication platforms; internal communication tools; extensive deployment; project management software; workflow management tools; enterprise social networks; workflow management systems; fragmented systems; knowledge-sharing tools; ERROR; knowledge sharing technologies; collaboration platforms; knowledge management tools; basic communication tools; integration; fragmented tools; communication systems; Slack,No relevant sentences found,"Cybersecurity and data protection Cybersecurity breaches, data loss and catastrophic loss of IT systems Talent and external workforce management Inability to identify, attract, develop and retain qualified talent for critical roles or to effectively manage our external workforce could hinder our growth and result in increased information security, data and legal compliance risks Strategic technology programs implementation Failure to successfully implement our IT strategy may disrupt our core business processes Legal, regulatory, ethics and compliance Challenges posed by evolving regulatory requirements, innovative and disruptive technologies, and societal expectations regarding ethical behavior Alliances, acquisitions and integration Failure to identify, execute and/or realize the expected benefits from our external business opportunities Environmental, social and governance matters Failure to meet rapidly evolving environmental, social and governance expectations",53,Operational risks,combined_novartis_chunk_1472,37.2772,0.0495,0.7089,0.6227,0.6485,-10.0405,-5.758,0.2,-5.718,0.0,-5.718
"To what extent does the organization use technologies for knowledge-sharing, communication, and workflow management?",knowledge-sharing; workflow tools; organizational communication; collaborative software; electronic mail; fragmented access; external access; non-existent systems; communication tools; external stakeholders; workflow; stakeholder engagement; Yammer; technology deployment; external entities; digital communication solutions; Discord; team communication software; knowledge sharing tools; telephone; non-existent tools; external integration; email; emails; integrated systems; workflow technologies; information-sharing platforms; communication technologies; advanced communication tools; knowledge management systems; phone; Notion; advanced tools; communication platforms; internal communication tools; extensive deployment; project management software; workflow management tools; enterprise social networks; workflow management systems; fragmented systems; knowledge-sharing tools; ERROR; knowledge sharing technologies; collaboration platforms; knowledge management tools; basic communication tools; integration; fragmented tools; communication systems; Slack,"""We operate in competitive and rapidly changing markets and could be adversely affected if we fail to keep pace with technological changes.""  

""The continual development and usage of advanced technologies for new products and product enhancements is an important way in which we deliver our key commercial priorities and remain competitive.""  

""If we fail to keep pace with technological changes in our industry, including through the use of new and disruptive technologies such as artificial intelligence (AI), we may experience lower revenues and lower margins.""  

""Furthermore, from time to time, we reassess how our business is organized to help ensure that we have the optimal structure with which to execute our strategy.""  

""An inability to successfully implement new organizational structures and operating models could have a material adverse effect on our results of operations and financial condition.""","Our ability to maintain and grow our business and to replace revenue and income lost to generic, biosimilar and other competition depends heavily on the commercial success of our new or existing key products. The commercial success of these products could be impacted at any time by a number of factors, including pressure from new or existing competitive products, changes in the prescribing habits of healthcare professionals, slower than expected post-launch adoption, unexpected side effects or safety signals, supply chain issues or other product shortages, pricing pressure, regulatory proceedings, changes in labeling, loss of intellectual property protection, and global pandemics. In addition, our revenue and margins could be significantly impacted by the timing and rate of commercial acceptance of new products.
We operate in competitive and rapidly changing markets and could be adversely affected if we fail to keep pace with technological changes. Healthcare professionals, patients and payers may choose competitor products instead of ours for various reasons, including if they perceive them to be better in terms of efficacy, safety, cost, convenience or other reasons. The commercial success of our key products and launches in the face of increasing competition requires significant attention, management focus and resource allocation. Such competition could significantly affect the revenue from our products and our results of operations. This impact could also be compounded to the extent that such competition results in us making significant additional investments in research and development, marketing or sales. The continual development and usage of advanced technologies for new products and product enhancements is an important way in which we deliver our key commercial priorities and remain competitive. If we fail to keep pace with technological changes in our industry, including through the use of new and disruptive technologies such as artificial intelligence (AI), we may experience lower revenues and lower margins.
Furthermore, from time to time, we reassess how our business is organized to help ensure that we have the optimal structure with which to execute our strategy. An inability to successfully implement new organizational structures and operating models could have a material adverse effect on our results of operations and financial condition.",13,Context and potential impact,combined_novartis_chunk_0022,29.7287,0.0343,0.5431,0.5427,0.5428,-8.0232,-4.5967,0.4,-4.5167,0.61,-5.8944
