User Query,Subqueries,Extracted Sentences,Chunk Context,Page,Document,Methods,Subqueries Used,Fused Score,Semantic Similarity,Final Score,Original Score,Context Score
What is the organization’s purpose/vision/mission?,What is the organization's vision statement? | What is the organization's mission statement? | What are the core values of the organization?,"- To be the most admired and successful retail company in India that enhances the quality of life of every Indian.
- Provide millions of customers with unlimited choice, outstanding value proposition, superior quality and unmatched experience across the full spectrum of products and services.
- Serve the entire spectrum of Indian society i.e. from households, kiranas and merchants, to small and medium enterprises and institutions.
- Reach the length and breadth of the country through our physical and digital distribution platforms.
- Be the partner of choice and enable win-win opportunities for producers, small and medium enterprises, brand companies and global suppliers.
- Generate direct and indirect employment opportunities with skill transformation and talent development on an unprecedented scale.","## VISION

To be the most admired and successful retail company in India that enhances the quality of life of every Indian. ## MISSION

- Provide millions of customers with unlimited choice, outstanding value proposition, superior quality and unmatched experience across the full spectrum of products and services.
- Serve the entire spectrum of Indian society i.e. from households, kiranas and merchants, to small and medium enterprises and institutions.
- Reach the length and breadth of the country through our physical and digital distribution platforms.
- Be the partner of choice and enable win-win opportunities for producers, small and medium enterprises, brand companies and global suppliers.
- Generate direct and indirect employment opportunities with skill transformation and talent development on an unprecedented scale. ## COMPETITIVE MOAT

Largest consumer
touchpoints through an integrated network of Stores, Digital and New Commerce platforms. Best in class technology, adoption driving operational efficiencies. $\mathrm{AI} / \mathrm{ML}$ driven decision-making models help in improving customer experience. Reliable and efficient supply chain network spread across the length and breadth of the country. Deep understanding of evolving consumer taste and preferences. Wide supplier network involving MSMEs, regional, national and international suppliers and manufacturers providing high quality products of best value that enhances customer proposition. Diverse retail concepts serving greater than $90 \%$ daily needs of Indian households. A nurturing, inclusive and high-growth work environment that enables its employees to serve customers and communities better. Partner of choice for international brands with a portfolio of global brands straddling across premium, bridge to luxury, luxury and Indian designer wear. Straddling the value chain to offer best value to all stakeholders. ## Reliance Retail's operating model straddles across the retail value chain to unlock significant value for all the stakeholders. | Trusted Partners | Analytics | Vendor Development |
| :--: | :--: | :--: |
| Helping merchants thrive across the consumption baskets of electronics, fashion, grocery and pharmacy with supply of products at competitive prices, tech solutions and ancillary revenues. | Leveraging customer insights and design expertise to build strong brands and deliver exceptional customer experience. | Creating an inclusive ecosystem by nurturing a network of producers, MSMEs, local manufacturers, and regional/national brands. |

! [img-81.jpeg](img-81.jpeg)",27,ril_pdf_pages_semantic_p27_c0,"BM25, TF-IDF","SQ1, SQ2, SQ3",0.05605901120869826,0.6884779930114746,0.0946544067358706,2.267186238140045,1
What is the organization’s purpose/vision/mission?,What is the organization's vision statement? | What is the organization's mission statement? | What are the core values of the organization?,"- To be the most admired and successful retail company in India that enhances the quality of life of every Indian.
- Provide millions of customers with unlimited choice, outstanding value proposition, superior quality and unmatched experience across the full spectrum of products and services.
- Serve the entire spectrum of Indian society i.e. from households, kiranas and merchants, to small and medium enterprises and institutions.
- Reach the length and breadth of the country through our physical and digital distribution platforms.
- Be the partner of choice and enable win-win opportunities for producers, small and medium enterprises, brand companies and global suppliers.
- Generate direct and indirect employment opportunities with skill transformation and talent development on an unprecedented scale.","## VISION

To be the most admired and successful retail company in India that enhances the quality of life of every Indian. ## MISSION

- Provide millions of customers with unlimited choice, outstanding value proposition, superior quality and unmatched experience across the full spectrum of products and services.
- Serve the entire spectrum of Indian society i.e. from households, kiranas and merchants, to small and medium enterprises and institutions.
- Reach the length and breadth of the country through our physical and digital distribution platforms.
- Be the partner of choice and enable win-win opportunities for producers, small and medium enterprises, brand companies and global suppliers.
- Generate direct and indirect employment opportunities with skill transformation and talent development on an unprecedented scale. ## COMPETITIVE MOAT

Largest consumer
touchpoints through an integrated network of Stores, Digital and New Commerce platforms. Best in class technology, adoption driving operational efficiencies. $\mathrm{AI} / \mathrm{ML}$ driven decision-making models help in improving customer experience. Reliable and efficient supply chain network spread across the length and breadth of the country. Deep understanding of evolving consumer taste and preferences. Wide supplier network involving MSMEs, regional, national and international suppliers and manufacturers providing high quality products of best value that enhances customer proposition. Diverse retail concepts serving greater than $90 \%$ daily needs of Indian households. A nurturing, inclusive and high-growth work environment that enables its employees to serve customers and communities better. Partner of choice for international brands with a portfolio of global brands straddling across premium, bridge to luxury, luxury and Indian designer wear. Straddling the value chain to offer best value to all stakeholders. ## Reliance Retail's operating model straddles across the retail value chain to unlock significant value for all the stakeholders. | Trusted Partners | Analytics | Vendor Development |
| :--: | :--: | :--: |
| Helping merchants thrive across the consumption baskets of electronics, fashion, grocery and pharmacy with supply of products at competitive prices, tech solutions and ancillary revenues. | Leveraging customer insights and design expertise to build strong brands and deliver exceptional customer experience. | Creating an inclusive ecosystem by nurturing a network of producers, MSMEs, local manufacturers, and regional/national brands. |

! [img-81.jpeg](img-81.jpeg)",27,ril_pdf_pages,Dense,"SQ1, SQ2, SQ3",0.04510830206070182,0.6884779930114746,0.07616437533160918,0.28407907485961914,1
What is the organization’s purpose/vision/mission?,What is the organization's vision statement? | What is the organization's mission statement? | What are the core values of the organization?,"We are dedicated to serving India with care, empathy, and humility, aligning our efforts with environmental and social considerations, guided by good governance principles. | Recognising the power of collaboration, we believe that joining forces with diverse stakeholders creates a collective force for positive change. | Through partnerships and shared expertise, we aim to amplify our sustainability impact and co-create innovative solutions for complex societal and environmental challenges.","# Collaboration as a Catalyst for Change 

We are dedicated to serving India with care, empathy, and humility, aligning our efforts with environmental and social considerations, guided by good governance principles. Recognising the power of collaboration, we believe that joining forces with diverse stakeholders creates a collective force for positive change. Through partnerships and shared expertise, we aim to amplify our sustainability impact and co-create innovative solutions for complex societal and environmental challenges. Embracing double materiality, we integrate stakeholder concerns into our strategies, evaluating the cross-impact of material issues on the environment, society, and our business. This holistic assessment enhances transparency and enriches our ESG disclosures. ## INCREASE IN RENEWABLE ENERGY

## CONSUMPTION

115\%

## INDIA'S LARGEST CORPORATE

CSR PROGRAMME
$\$ 1,271$ CRORE

## INDEPENDENT DIRECTORS

7

## Driving Decarbonisation for a Greener World

Recognising climate change as a global threat, our aim is to achieve Net Carbon Zero by 2035. We are developing solutions for decarbonisation and harnessing innovative technologies to combat it. By investing in renewables and alternative energy, we are reshaping our operations in the renewable energy sector. Our goal is to provide affordable green energy while prioritising the collective well-being of humanity. ## 2035

## RIL's net

carbon zero target

## 2030

To enable and establish 100 GW solar energy target

Collaborative Sustainable Transportation
Through 3o-bp, we have established multiple partnerships with global leaders to advance the ecosystem of batteries and charging infrastructure

## Empowering Communities Through Upskilling

Our social initiatives, led by Reliance Foundation, are empowering communities. We are ensuring equal opportunities for all through digital inclusion. Consumer empowerment lies at the heart of our efforts, championing fair practices and customer-centricity. Our focus on energy access is lighting up lives, fuelling progress, and paving a brighter future. Together, we are rewriting the script of social change. ## Enriching Lives

Through 'We Care' Our 'We Care' initiative ensures a nurturing and supportive environment for our employees and their families. It encompasses physical, mental, social, spiritual, and financial wellness.
! [img-69.jpeg](img-69.jpeg)

## Building Success Through Governance

Robust corporate governance forms the foundation of our operations, ensuring transparency, accountability, and effective risk management. By adhering to rigorous governance practices, we are well-equipped to navigate challenges and seize emerging opportunities. Our proactive risk management strategies enable us to identify and mitigate potential risks while capitalising on new avenues for growth.",17,ril_pdf_pages,Dense,"SQ1, SQ2, SQ3",0.03857653001488618,0.6659923195838928,0.0642682027209979,0.19190853834152222,0
What is the organization’s purpose/vision/mission?,What is the organization's vision statement? | What is the organization's mission statement? | What are the core values of the organization?,"Our mission is to maximise stakeholders' value by finding, producing and marketing hydrocarbons and to provide sustainable growth while catering to the needs of customers, partners, employees and the local communities in which we do business. | We will conduct our business in a manner that protects the environment as well as the health and safety of our employees, contractors and the local communities in which we do business.","## VISION

To be a major contributor to India's Gas based economy supplying $\sim 30 \%$ of India's production. ## MISSION

Our mission is to maximise stakeholders' value by finding, producing and marketing hydrocarbons and to provide sustainable growth while catering to the needs of customers, partners, employees and the local communities in which we do business. We will conduct our business in a manner that protects the environment as well as the health and safety of our employees, contractors and the local communities in which we do business.
! [img-166.jpeg](img-166.jpeg)

E\&P LIFE CYCLE AND PORTFOLIO
! [img-167.jpeg](img-167.jpeg)

## PORTFOLIO

| Block | Country | Partner | RIL Stake | TV Average <br> (a/year) | Status |
| :--: | :--: | :--: | :--: | :--: | :--: |
| Conventional |  |  |  |  |  |
| KG-0WN-98/3 | India | bp-33.33\% | 66.67\% | 2,90,230 | R Cluster Field Producing from December 2020 |
|  | |  |  |  | Satellite Cluster: Producing from April 2021 |
|  |  |  |  |  | MJ Field: Development activities underway |
| NEC-OSN-97/2 | India | bp-33.33\% | 66.67\% | 2,05,520 | FDP submitted; under review with Go |
| KG-UDWHP-2018/1 | India | bp-40.00\% | 60.00\% | 3,74,093 | Exploration activities ongoing |
| Unconventional |  |  |  |  |  |
| SPEEast-CBM-2001/1 | India | - | 100.00\% | 1,22,317 | Development ongoing |
| SPEWest-CBM-2001/1 | India | - | 100.00\% | 1,23,552 | Producing |

## PERFORMANCE UPDATE

Revenues and EBITDA were up '20.3\% and 149.0\% respectively. This was mainly due to higher price realisation along with increase in the gas production as compared to FY 2021-22. ## INDUSTRY OVERVIEW

2022 was another volatile year for global oil markets on account of unprecedented challenges. At the start of the year, strong oil demand growth was expected as the economy continued its recovery from the global pandemic. However, Russia-Ukraine conflict introduced huge geopolitical uncertainties and caused energy prices to soar. Global oil demand in CY 2022 grew over 2 million tz/d from 2021 but remained below pre-pandemic levels.",60,ril_pdf_pages_semantic_p60_c0,"BM25, TF-IDF","SQ1, SQ2",0.046931593428444114,0.6624612808227539,0.07802195692210394,2.5702565719110932,1
What is the organization’s purpose/vision/mission?,What is the organization's vision statement? | What is the organization's mission statement? | What are the core values of the organization?,"Our mission is to maximise stakeholders' value by finding, producing and marketing hydrocarbons and to provide sustainable growth while catering to the needs of customers, partners, employees and the local communities in which we do business. | We will conduct our business in a manner that protects the environment as well as the health and safety of our employees, contractors and the local communities in which we do business.","## VISION

To be a major contributor to India's Gas based economy supplying $\sim 30 \%$ of India's production. ## MISSION

Our mission is to maximise stakeholders' value by finding, producing and marketing hydrocarbons and to provide sustainable growth while catering to the needs of customers, partners, employees and the local communities in which we do business. We will conduct our business in a manner that protects the environment as well as the health and safety of our employees, contractors and the local communities in which we do business.
! [img-166.jpeg](img-166.jpeg)

E\&P LIFE CYCLE AND PORTFOLIO
! [img-167.jpeg](img-167.jpeg)

## PORTFOLIO

| Block | Country | Partner | RIL Stake | TV Average <br> (a/year) | Status |
| :--: | :--: | :--: | :--: | :--: | :--: |
| Conventional |  |  |  |  |  |
| KG-0WN-98/3 | India | bp-33.33\% | 66.67\% | 2,90,230 | R Cluster Field Producing from December 2020 |
|  | |  |  |  | Satellite Cluster: Producing from April 2021 |
|  |  |  |  |  | MJ Field: Development activities underway |
| NEC-OSN-97/2 | India | bp-33.33\% | 66.67\% | 2,05,520 | FDP submitted; under review with Go |
| KG-UDWHP-2018/1 | India | bp-40.00\% | 60.00\% | 3,74,093 | Exploration activities ongoing |
| Unconventional |  |  |  |  |  |
| SPEEast-CBM-2001/1 | India | - | 100.00\% | 1,22,317 | Development ongoing |
| SPEWest-CBM-2001/1 | India | - | 100.00\% | 1,23,552 | Producing |

## PERFORMANCE UPDATE

Revenues and EBITDA were up '20.3\% and 149.0\% respectively. This was mainly due to higher price realisation along with increase in the gas production as compared to FY 2021-22. ## INDUSTRY OVERVIEW

2022 was another volatile year for global oil markets on account of unprecedented challenges. At the start of the year, strong oil demand growth was expected as the economy continued its recovery from the global pandemic. However, Russia-Ukraine conflict introduced huge geopolitical uncertainties and caused energy prices to soar. Global oil demand in CY 2022 grew over 2 million tz/d from 2021 but remained below pre-pandemic levels.",60,ril_pdf_pages,Dense,"SQ1, SQ2, SQ3",0.037508712802430615,0.6624612808227539,0.062356782727541624,0.21411889791488647,1
What is the organization’s purpose/vision/mission?,What is the organization's vision statement? | What is the organization's mission statement? | What are the core values of the organization?,Our aim is to achieve Net Carbon Zero by 2035 through decarbonisation and New Energy. | To build one of the world's leading New Energy and New Materials business with the aim of bridging the green energy divide in India and globally.,"We Energise

## New Energy

## Together for a greener future led by our NEW ENERGY business. Our aim is to achieve Net Carbon Zero by 2035 through decarbonisation and New Energy. We are actively investing in and collaborating with partners to build a scalable and enabling energy ecosystem. Vision and Mission
To build one of the world's leading New Energy and New Materials business with the aim of bridging the green energy divide in India and globally. ## 6,700

CRORE
INVESTMENTS / ACQUISITIONS MADE

## Building core competencies and sustainable advantage

- Full integration across the New Energy value chain
- Optimum large-scale facilities that maximise benefits supported by Artificial Intelligence, Machine Learning and Robotics
- Collective knowledge gained from various strategic partnerships across different verticals
- Leveraging internal project execution capabilities and partner skills to set up New Energy projects at record pace
- Modular approach to dovetail and integrate new technologies
- Significant captive demand for Green Energy across different businesses of Reliance

Improving the efficiency, performance and life cycle of our assets and operations to optimise total system and economics. ## Full integration across

the New Energy value chain
(Photon 6 Electrons (Molecules)
! [img-175.jpeg](img-175.jpeg)

Integrated PV manufacturing from sand to PV modules including ecosystem of ancillary units
! [img-176.jpeg](img-176.jpeg)

Reliance is awarded with Integrated Solar Manufacturing (PolySilicon Wafer - Cell - Module) for 10GW / year capacity under Solar PLI Scheme and 5GWh / year capacity for manufacturing of batteries under Advanced Chemistry Cell (ACC) PLI Scheme.

Successfully engineered and commissioned first pilot Hydrogen Refuelling Station (HRS) at Jammagar. It is built on vendor agnostic approach integrated with latest safety technologies and energy efficient design

Commenced work related to the development of Renewable Energy Park on land allocated by Govt. of Gujarat

Completed acquisition / investment in Sensehawk, Lithium Werks and Caelux",64,ril_pdf_pages_semantic_p64_c0,"BM25, TF-IDF","SQ1, SQ2, SQ3",0.0625139534988596,0.6350285410881042,0.10221209818689,2.4341827575713326,1
What is the organization’s purpose/vision/mission?,What is the organization's vision statement? | What is the organization's mission statement? | What are the core values of the organization?,"The Board is committed to the goal of sustainably elevating the Company's value creation. | The Company has defined guidelines and an established framework for the meetings of the Board and its Committees. | The Board comprises qualified and experienced members who possess required skills, expertise and competencies that allow them to make effective contributions to the Board and its Committees.","The Board's actions and decisions are aligned with the Company's best interests. The Board is committed to the goal of sustainably elevating the Company's value creation. The Company has defined guidelines and an established framework for the
meetings of the Board and its Committees. These guidelines seek to systematise the decision-making process at the meetings of the Board and Committees in an informed and efficient manner. ## Board Composition and category of Directors

The Company's policy is to maintain an optimum combination of Executive and Non-Executive Directors. ## Composition Analysis

| Independence |  | Diversity (Gondar) |  | Diversity (Nationality) |  |
| :--: | :--: | :--: | :--: | :--: | :--: |
| Category | \% | Category | \% | Category | \% |
| Independent Directors | 53.85 | Women | 15.38 | Indian | 76.92 |
| Non-Independent <br> Directors | 46.15 | Men | 84.62 | Foreign | 23.08 |

## Core skills / expertise / competencies available with the Board

The Board comprises qualified and experienced members who possess required skills, expertise and competencies that allow them to make effective contributions to the Board and its Committees. The following skills / expertise / competencies have been identified for the effective functioning of the Company and are currently available with the Board:

- Leadership / Operational experience
- Strategic Planning
- Industry Experience, Research \& Development and Innovation
- Global Business
- Financial, Regulatory / Legal \& Risk Management
- Corporate Governance

While all the Board members possess the skills identified, their area of core expertise is given in their respective profiles below. ## Brief Profile of Directors

Brief profile of Directors of the Company including their category, shareholding in the Company, number of other Directorships including name of listed entities where he / she is a director alongwith the category of their directorships , committee positions held by them in other companies as a Member or Chairperson, area of expertise and other details are given below:
! [img-258.jpeg](img-258.jpeg)",117,ril_pdf_pages,Dense,"SQ1, SQ2, SQ3",0.048651507139079855,0.6201341152191162,0.07882196647284966,0.26286327838897705,0
What is the organization’s purpose/vision/mission?,What is the organization's vision statement? | What is the organization's mission statement? | What are the core values of the organization?,"Reliance Foundation prioritises education as a key driver of social and economic progress in India. | Reliance Foundation's ultimate goal is to create a more equitable and inclusive society where every young person can thrive and succeed. | To fulfil this vision, Reliance Foundation takes a multi-faceted approach to enhance the impact of primary to tertiary education.","Anganwadi workers, members of women's Self Help Groups (SHGs) and children participated in these events organised in collaboration with the Integrated Child Development Services, the State Rural Livelihood Mission, the Agricultural Technology Management Agency, the Department of Horticulture, district revenue inspectors, and other agencies. ## Education

Reliance Foundation prioritises education as a key driver of social and economic progress in India. Reliance believes that everyone should have access to quality education, regardless of financial, geographical, or cultural barriers. Though the Company's educational initiatives, Reliance strives to make a positive impact on grooming young minds and youth and empowering them to overcome challenges and unlock their full potential to contribute to creating a better tomorrow for themselves, their communities and the country. Reliance Foundation's ultimate goal is to create a more equitable and inclusive society where every young person can thrive and succeed. To fulfil this vision, Reliance Foundation takes a multi-faceted approach to enhance the impact of primary to tertiary education by:

- Building world-class educational institutions as a model for transforming and improving the education system in India
- Investing in the development of India's youth and future leaders by equipping them with the necessary skills and knowledge to tackle the Country's challenges while promoting equal access to education for all. Prostising quality education, Reliance Foundation manages 14 schools across India that house over 14,500 students annually with a dedicated team of 916 educators and staff. These schools strive to create an environment that cultivates a passion for lifelong learning and academic excellence among the children while promoting individual growth. Offering a curriculum based on CBSE, Gujarat State Board, and Maharashtra State Board, the schools cover education from Kindergarten to Class 12. The schools employ a dynamic curriculum that is flexible and continually evolving, utilising contemporary pedagogy to enhance students' intellectual and creative abilities. Students have excelled in sports and co-curricular activities, and won awards in various competitions. Overall Tr international awards, 26 national awards, and 177 awards at zonal, state, and district levels have been received in the academic year 2022-23. ## 55,000+

STUDENT'S AND CHILDREN
FROM CSR SITES SUPPORTED TO
CONTINUE EQUICATION AND BOOST
LEARNING",108,ril_pdf_pages_semantic_p108_c1,"BM25, TF-IDF","SQ1, SQ2",0.03707121619564077,0.6115133762359619,0.059740760772610334,2.3321858506998296,1
What is the organization’s purpose/vision/mission?,What is the organization's vision statement? | What is the organization's mission statement? | What are the core values of the organization?,"We consider stakeholders as partners in our success and remain committed to maximising stakeholders' value, be it Customers, Local Communities, Employees, Suppliers \& Distributors, Trade Unions, NGOs, Investors \& Shareholders and Government \& Regulatory Authorities. | This approach to value creation emanates from RIL's belief that sound governance system, based on relationship and trust, is integral to creating enduring value for all. | At RIL, Corporate Governance is all about maintaining a valuable relationship and trust with all the stakeholders. | We have a defined policy framework for ethical conduct of businesses.","We consider stakeholders as partners in our success and remain committed to maximising stakeholders' value, be it Customers, Local Communities, Employees, Suppliers \& Distributors, Trade Unions, NGOs, Investors \& Shareholders and Government \& Regulatory Authorities. This approach to value creation emanates from RIL's belief that sound governance system, based on relationship and trust, is integral to creating enduring value for all. We have a defined policy framework for ethical conduct of businesses. We believe that any business conduct can be ethical only when it rests on the six core values viz. Customer Value, Ownership
our customers have benefited from high quality products delivered at extremely competitive prices. The essence of Corporate Governance lies in promoting and maintaining integrity, transparency and accountability in the management's higher echelons. The demands of Corporate Governance require professionals to raise their competence and capability levels to meet the expectations in managing the enterprise and its resources effectively with the highest standards of ethics. It has thus become crucial to foster and sustain a culture that integrates all components of good governance by carefully balancing the inter relationship among the Board of Directors, Board Committee, Finance, Compliance \& Assurance teams, Auditors and the Senior Management. Our employee satisfaction is reflected in the stability of senior management, ability to attract talent across various levels and substantially higher productivity. Above all, we feel honoured to be integral to India's social development. Details of several such initiatives are available in the Report on Corporate Social Responsibility. ## At RIL, Corporate Governance is

all about maintaining a valuable relationship and trust with all the stakeholders. We consider stakeholders as partners in our success and remain committed to maximising stakeholders' value, be it Customers, Local Communities, Employees, Suppliers \& Distributors, Trade Unions, NGOs, Investors \& Shareholders and Government \& Regulatory Authorities. This approach to value creation emanates from RIL's belief that sound governance system, based on relationship and trust, is integral to creating enduring value for all. We have a defined policy framework for ethical conduct of businesses. We believe that any business conduct can be ethical only when it rests on the six core values viz. Customer Value, Ownership
Mindset, Respect, Integrity, One Team and Excellence. At RIL, we believe that as we move closer towards our aspirations of being a global corporation, our Corporate Governance standards must be globally benchmarked.",115,ril_pdf_pages,Dense,"SQ1, SQ2, SQ3",0.0472027972027972,0.600782036781311,0.07556138984806887,0.22535860538482666,0
What is the organization’s purpose/vision/mission?,What is the organization's vision statement? | What is the organization's mission statement? | What are the core values of the organization?,"Our objectives are to obtain reasonable assurance about whether the Consolidated Financial Statements as a whole are free from material misstatement, whether due to fraud or error, and to issue an auditor's report that includes our opinion. | As part of an audit in accordance with SAs, we exercise professional judgment and maintain professional skepticism throughout the audit. | We are also responsible for expressing our opinion on whether the Parent has adequate internal financial controls system in place and the operating effectiveness of such controls.","entities to continue as a going concern, disclosing, as applicable, matters related to going concern and using the going concern basis of accounting unless the respective Board of Directors either intends to liquidate their respective entities or to cease operations, or has no realistic alternative but to do so. The respective Board of Directors of the companies included in the Group and of its associates and joint ventures are also responsible for overseeing the financial reporting process of the Group and of its associates and joint ventures. ## Auditor's Responsibility for the Audit of the Consolidated Financial Statements

Our objectives are to obtain reasonable assurance about whether the Consolidated Financial Statements as a whole are free from material misstatement, whether due to fraud or error, and to issue an auditor's report that includes our opinion. Reasonable assurance is a high level of assurance, but is not a guarantee that an audit conducted in accordance with SAs will always detect a material misstatement when it exists. Misstatements can arise from fraud or error and are considered material if, individually or in the aggregate, they could reasonably be expected to influence the economic decisions of users taken on the basis of these Consolidated Financial Statements. As part of an audit in accordance with SAs, we exercise professional judgment and maintain professional skepticism throughout the audit. We also:

- Identify and assess the risks of material misstatement of the Consolidated Financial Statements, whether due to fraud or error, design and perform audit procedures responsive to those risks, and obtain audit evidence that is sufficient and appropriate to provide a basis for our opinion. The risk of not detecting a material misstatement resulting from fraud is higher than for one resulting from error, as fraud may involve collusion, forgery, intentional omissions, misrepresentations, or the override of internal control. - Obtain an understanding of internal financial control relevant to the audit in order to design audit procedures that are appropriate in the circumstances. Under Section 143(3)(i) of the Act, we are also responsible for expressing our opinion on whether the Parent has adequate internal financial controls system in place and the operating effectiveness of such controls.
- Evaluate the appropriateness of accounting policies used and the reasonableness of accounting estimates and related disclosures made by the management.",204,ril_pdf_pages,Dense,"SQ1, SQ2, SQ3",0.041957026713124276,0.5974079370498657,0.06702248748655795,0.19275939464569092,0
