User Query,Extracted Sentences,Chunk Context,Page,Document,Methods,Fused Score,Semantic Similarity,Final Score,Original Score,Context Score
What is the organization’s purpose/vision/mission?,"- To be the most admired and successful retail company in India that enhances the quality of life of every Indian.
- Provide millions of customers with unlimited choice, outstanding value proposition, superior quality and unmatched experience across the full spectrum of products and services.
- Serve the entire spectrum of Indian society i.e. from households, kiranas and merchants, to small and medium enterprises and institutions.
- Reach the length and breadth of the country through our physical and digital distribution platforms.
- Be the partner of choice and enable win-win opportunities for producers, small and medium enterprises, brand companies and global suppliers.
- Generate direct and indirect employment opportunities with skill transformation and talent development on an unprecedented scale.","## VISION

To be the most admired and successful retail company in India that enhances the quality of life of every Indian.

## MISSION

- Provide millions of customers with unlimited choice, outstanding value proposition, superior quality and unmatched experience across the full spectrum of products and services. - Serve the entire spectrum of Indian society i.e. from households, kiranas and merchants, to small and medium enterprises and institutions.
- Reach the length and breadth of the country through our physical and digital distribution platforms.
- Be the partner of choice and enable win-win opportunities for producers, small and medium enterprises, brand companies and global suppliers. - Generate direct and indirect employment opportunities with skill transformation and talent development on an unprecedented scale. ## COMPETITIVE MOAT

Largest consumer
touchpoints through an integrated network of Stores, Digital and New Commerce platforms. Best in class technology, adoption driving operational efficiencies. $\mathrm{AI} / \mathrm{ML}$ driven decision-making models help in improving customer experience. Reliable and efficient supply chain network spread across the length and breadth of the country. Deep understanding of evolving consumer taste and preferences. Wide supplier network involving MSMEs, regional, national and international suppliers and manufacturers providing high quality products of best value that enhances customer proposition. Diverse retail concepts serving greater than $90 \%$ daily needs of Indian households. A nurturing, inclusive and high-growth work environment that enables its employees to serve customers and communities better. Partner of choice for international brands with a portfolio of global brands straddling across premium, bridge to luxury, luxury and Indian designer wear. Straddling the value chain to offer best value to all stakeholders.

## Reliance Retail's operating model straddles across the retail value chain to unlock significant value for all the stakeholders. | Trusted Partners | Analytics | Vendor Development |
| :--: | :--: | :--: |
| Helping merchants thrive across the consumption baskets of electronics, fashion, grocery and pharmacy with supply of products at competitive prices, tech solutions and ancillary revenues. | Leveraging customer insights and design expertise to build strong brands and deliver exceptional customer experience. | Creating an inclusive ecosystem by nurturing a network of producers, MSMEs, local manufacturers, and regional/national brands. |

! [img-81.jpeg](img-81.jpeg)",27,ril_pdf_pages_semantic_p27_c0,"BM25, TF-IDF",0.027106227106227107,0.6884778738021851,0.0457682647111215,5.322863970157734,2
What is the organization’s purpose/vision/mission?,"Our mission is to maximise stakeholders' value by finding, producing and marketing hydrocarbons and to provide sustainable growth while catering to the needs of customers, partners, employees and the local communities in which we do business. | We will conduct our business in a manner that protects the environment as well as the health and safety of our employees, contractors and the local communities in which we do business.","## VISION

To be a major contributor to India's Gas based economy supplying $\sim 30 \%$ of India's production.

## MISSION Our mission is to maximise stakeholders' value by finding, producing and marketing hydrocarbons and to provide sustainable growth while catering to the needs of customers, partners, employees and the local communities in which we do business. We will conduct our business in a manner that protects the environment as well as the health and safety of our employees, contractors and the local communities in which we do business.
! [img-166.jpeg](img-166.jpeg)

E\&P LIFE CYCLE AND PORTFOLIO
! [img-167.jpeg](img-167.jpeg)

## PORTFOLIO

| Block | Country | Partner | RIL Stake | TV Average <br> (a/year) | Status |
| :--: | :--: | :--: | :--: | :--: | :--: |
| Conventional |  |  |  |  |  | | KG-0WN-98/3 | India | bp-33.33\% | 66.67\% | 2,90,230 | R Cluster Field Producing from December 2020 |
|  |  |  |  |  | Satellite Cluster: Producing from April 2021 |
|  |  |  |  |  | MJ Field: Development activities underway |
| NEC-OSN-97/2 | India | bp-33.33\% | 66.67\% | 2,05,520 | FDP submitted; under review with Go |
| KG-UDWHP-2018/1 | India | bp-40.00\% | 60.00\% | 3,74,093 | Exploration activities ongoing | | Unconventional |  |  |  |  |  |
| SPEEast-CBM-2001/1 | India | - | 100.00\% | 1,22,317 | Development ongoing |
| SPEWest-CBM-2001/1 | India | - | 100.00\% | 1,23,552 | Producing |

## PERFORMANCE UPDATE

Revenues and EBITDA were up '20.3\% and 149.0\% respectively. This was mainly due to higher price realisation along with increase in the gas production as compared to FY 2021-22.

## INDUSTRY OVERVIEW

2022 was another volatile year for global oil markets on account of unprecedented challenges. At the start of the year, strong oil demand growth was expected as the economy continued its recovery from the global pandemic. However, Russia-Ukraine conflict introduced huge geopolitical uncertainties and caused energy prices to soar. Global oil demand in CY 2022 grew over 2 million tz/d from 2021 but remained below pre-pandemic levels. The Brent crude oil price averaged $\$ 96.2 / \mathrm{t} /",60,ril_pdf_pages_semantic_p60_c0,"BM25, TF-IDF",0.032018442622950824,0.6624613404273987,0.05322942304134858,7.439640533985632,2
What is the organization’s purpose/vision/mission?,Our aim is to achieve Net Carbon Zero by 2035 through decarbonisation and New Energy. | To build one of the world's leading New Energy and New Materials business with the aim of bridging the green energy divide in India and globally.,"We Energise

## New Energy

## Together for a greener future led by our NEW ENERGY business. Our aim is to achieve Net Carbon Zero by 2035 through decarbonisation and New Energy. We are actively investing in and collaborating with partners to build a scalable and enabling energy ecosystem. Vision and Mission
To build one of the world's leading New Energy and New Materials business with the aim of bridging the green energy divide in India and globally.

## 6,700

CRORE
INVESTMENTS / ACQUISITIONS MADE

## Building core competencies and sustainable advantage

- Full integration across the New Energy value chain
- Optimum large-scale facilities that maximise benefits supported by Artificial Intelligence, Machine Learning and Robotics
- Collective knowledge gained from various strategic partnerships across different verticals
- Leveraging internal project execution capabilities and partner skills to set up New Energy projects at record pace
- Modular approach to dovetail and integrate new technologies
- Significant captive demand for Green Energy across different businesses of Reliance

Improving the efficiency, performance and life cycle of our assets and operations to optimise total system and economics.

## Full integration across

the New Energy value chain
(Photon 6 Electrons (Molecules)
! [img-175.jpeg](img-175.jpeg)

Integrated PV manufacturing from sand to PV modules including ecosystem of ancillary units
! [img-176.jpeg](img-176.jpeg)

Reliance is awarded with Integrated Solar Manufacturing (PolySilicon Wafer - Cell - Module) for 10GW / year capacity under Solar PLI Scheme and 5GWh / year capacity for manufacturing of batteries under Advanced Chemistry Cell (ACC) PLI Scheme. Successfully engineered and commissioned first pilot Hydrogen Refuelling Station (HRS) at Jammagar. It is built on vendor agnostic approach integrated with latest safety technologies and energy efficient design

Commenced work related to the development of Renewable Energy Park on land allocated by Govt. of Gujarat

Completed acquisition / investment in Sensehawk, Lithium Werks and Caelux",64,ril_pdf_pages_semantic_p64_c0,"BM25, TF-IDF",0.03057889822595705,0.6350284218788147,0.04999736770917944,5.726153389917793,2
What is the organization’s purpose/vision/mission?,"Jio Studios' vision is to power stories for India and Bharat, that not only entertain but also have purpose, to partner with storytellers in every Indian language and take these stories mainstream. Its mission to 'Make in India and Show the World' is vast and inclusive.","## STIMINGS

Jio Studios, the media and content arm of RIL, is a leading content studio that produces movies and web originals in Hindi and all other major Indian languages. Achieving market leadership within five years of its inception, Jio Studios has demonstrated scale, commercial success as well as garnered critical acclaim with 16 films and 8 web series sweeping over 100 awards in India and internationally. Jio Studios takes its stories to viewers via theatres, as well as broadcast television and digital OTT platforms and has been instrumental in powering the entertainment launch of Jio Cinema post IPL. The 'Jiefication' moment of the content industry occurred when the studio for the first time unveiled its spectacular content slate in April 2023, the single largest slate ever produced by an Indian studio in any given year. It has lined up ready to release over

100+ stories across genres of films and original web series in multiple languages including Hindi, Marathi, Bengali, Gujarati, South and Bhojpuri, capturing every emotion and genre of storytelling - Action, Drama, Thriller, Comedy, Romance, Biopics, Horror, Musicals et al. In a largely fragmented industry, the depth and width of this marquee offering promises to be a game changer in the world of Indian entertainment, delivering high quality content that is both entertaining and thought provoking. This has been achieved through meticulous collaboration with some of the best creative minds in the country. Jio Studios' vision is to power stories for India and Bharat, that not only entertain but also have purpose, to partner with storytellers in every Indian language and take these stories mainstream. Its mission to 'Make in India and Show the World' is vast and inclusive. ## Theatrical Releases

! [img-134.jpeg](img-134.jpeg)

## As the Media \& Entertainment sector is expected to grow at a CAGR of 10.5\% to reach ₹2.83 trillion by 2025, Jio Studios aspires to lead from the front as a gamechanger in the content creation value chain with respect to scalability, technology, and creative excellence to put Indian stories on the global map. Winning Laurels
Vikram Vedha
IIFA — Best Leading Actor, Male

## Bhediya

Zee Cine Awards 2023

- Most Streamed Album of the Year
- Performer of the year 2023, Actor

Daxvi
OTTplay App Awards
(Best Web Original Film
— Jury Award) Mi Vasantrao
National Awards — Best Singer

Dekhta Ja India
Films
! [img-135.jpeg](img-135.jpeg)

Web originals
!",46,ril_pdf_pages_semantic_p46_c0,"BM25, TF-IDF",0.031818181818181815,0.630088210105896,0.05186644304882396,8.086948964171626,3
What is the organization’s purpose/vision/mission?,3o's mission with SG is to speed up India's transformation into a Digital Society. 3o's TrueSG has three unique differentiators: | The Company is on track to complete pan-India SG rollout by December 2023 with an earmarked investment of $\mathbf{1 2}$ lakh core.,"Reliance has taken additional steps to promote the segment by dedicating significant space to organic staples in stores, and raising awareness about the benefits of organic produce. The Company's organic staples segment has grown by $2 x$ Y-o-Y. The share of organic commodities in the same period has increased from $0.6 \%$ in volume to $13 \%$ in 2023. The average monthly volume of organic staples has almost tripled to 692 metric tonnes. ## 2X GROWTH

IN ORGANIC STAPLES SEGMENT

## Digital Services

Reliance 3o is focused on bringing unparalleled digital experience and technology solutions to all Indians. 30 has 439.3 million subscribers including over 9 million premises connected with wireline services. The subscriber base has grown by 29.2 million in FY 2022-23. 3o is also the 14 FTTx provider in India. High customer engagement and superior services are reflected in average data usage of almost 280 GB per month and over 5 hours of daily Set Top Box (STB) usage. With the planned launch of FIWA services 3o now targets to connect 100 million premises. Furthering its commitment to enable SG for all, 3o has extended coverage of its TrueSG services to over 2,300 cities/ towns across India as of March 2023 with < 60 K SG sites across 700 MHz and 3500 MHz bands. This service will empower people and businesses across India with infinite growth opportunities in manufacturing, education, healthcare, agriculture, media & entertainment, and gaming. The Company is on track to complete pan-India SG rollout by December 2023 with an earmarked investment of $\mathbf{1 2}$ lakh core.
! [img-229.jpeg](img-229.jpeg)

3o's mission with SG is to speed up India's transformation into a Digital Society. 3o's TrueSG has three unique differentiators:

- Stand-alone SG Architecture: 3o's advanced SG network would have zero dependency on $4 G$, with powerful functionalities like low latency, massive machine-to-machine communication, Edge computing, and network slicing.
- Best SG Spectrum Footprint: 3o has the largest and the most appropriate mix of wireless spectrum for SG across $700 \mathrm{MHz}, 3500 \mathrm{MHz}$, and 26 GHz bands, giving 3o True SG a distinct competitive advantage. 3o is the only operator with the $700 \mathrm{MHz}$ low-band spectrum to ensure deep indoor coverage. - Carrier Aggregation (CA): 3o is able to seamlessly combine SG frequencies into a single robust ""data highway"" with CA. It will offer an unparalleled combination of coverage, capacity, quality, and affordability.",100,ril_pdf_pages_semantic_p100_c1,"BM25, TF-IDF",0.019534972365161045,0.6213026642799377,0.03167210274227056,2.96104838157289,1
What is the organization’s purpose/vision/mission?,Reliance is driven by its mission to create a greener future for India and the world through the responsible production of sustainable products that create holistic value for its stakeholders. | Reliance is focused on growing businesses of the future and committed to investing in enhancing its manufactured capital to support this goal and remain ahead of the competition.,"## Manufacturing

efficiencies for a sustainable future and a self-reliant India

! [img-226.jpeg](img-226.jpeg)

## National Topics

Raw Material Security
Security and Asset Management

! [img-227.jpeg](img-227.jpeg)

## Reliance is driven by its

mission to create a greener future for India and the world through the responsible production of sustainable products that create holistic value for its stakeholders. The Company makes strategic investments in deploying advanced technologies and environmentally conscious manufacturing processes that optimise the efficiency of its existing and new operations. Reliance's innovation leadership, backed by robust Research and Development capabilities, gives the Company an edge to bring quality products and services to customers sustainably while protecting the environment.

## Management Approach

Reliance has been steadily enhancing its manufactured capital base by strategically investing in diverse areas. As one of India's largest conglomerates, Reliance has diversified operations spanning multiple industry segments powered by a strong manufactured capital base. The Company has continued to make all-round progress across its business, leveraging its manufactured capital. Reliance is focused on growing businesses of the future and committed to investing in enhancing its manufactured capital to support this goal and remain ahead of the competition. The Company invests in assets, acquisitions and partnerships to enter new growth areas and strengthen its existing offerings. Reliance's Oil to Chemical (O2C) segment currently operates the largest and most complex single-site refinery in the world at Jamnagar with a 14 MMBPD crude refining capacity. The O2C growth engine has a vertically integrated portfolio across the value chain
with the lowest cost positions and is counted amongst the global top ten rankings for key products. In line with the Company's target of achieving Net Carbon Zero by 2035, Reliance is investing in its New Energy business, the Company's newest growth engine. During FY 2022-23, the Company invested significantly in the New Energy business to create a manufacturing ecosystem which will be fully integrated with a secure and self-sufficient supply chain. Reliance Retail invests in strengthening its manufactured capital in line with its purpose to serve millions of customers every day by providing them wider choices, outstanding value proposition, superior quality, and unmatched delivery experience. Reliance Retail has been ranked as one of world's biggest and India's largest organised retailers. The business offers a diversified product portfolio including groceries, fashion, and electronics, amongst others. It currently operates 18,040 stores spread across 65.6 million sq ft .",99,ril_pdf_pages_semantic_p99_c0,"BM25, TF-IDF",0.02877846790890269,0.6082282066345215,0.0462823438348237,5.678962096424467,2
What is the organization’s purpose/vision/mission?,"For Reliance, the mission to grow business has always gone hand in hand with nurturing societal evolution and strengthening the nation's resilience. | Reliance has identified strengthening its Community Engagement Capital as one of its ten tenets of institutional leadership capacity building. | The Company believes that serving the community that supports and sustains the business is its 'Corporate Moral Responsibility', going beyond the legal definition of Corporate Social Responsibility.","## Social and Relationship Capital

Creating shared prosperity: nurturing self-reliant and sustainable communities

## HIGHLIGHTS OF FY 2022-23

! [img-239.jpeg](img-239.jpeg)

## Integrated and aligned with

national and global standards
UN SDGs
! [img-240.jpeg](img-240.jpeg)

## 20

Principle 4
Principle 8
e-INDOS
e-INDOS
e-INDOS
e-INDOS
Material Topics
Community Development
Customer Satisfaction
Sustainable Supply
Chain Management
! [img-241.jpeg](img-241.jpeg) For Reliance, the mission to grow business has always gone hand in hand with nurturing societal evolution and strengthening the nation's resilience. Reliance has identified strengthening its Community Engagement Capital as one of its ten tenets of institutional leadership capacity building. Guided by its philosophy, 'We Care,' Reliance integrates its commitment to empowering communities in every venture it undertakes. The Company believes that serving the community that supports and sustains the business is its 'Corporate Moral Responsibility', going beyond the legal definition of Corporate Social Responsibility.' The Company is recognised as a 'National Institution' for its social and development initiatives that aim to ensure that no Indian is left behind on the path of progress. The strong trust based relationships the Company shares with community members, partners, suppliers, customers and others have strengthened Reliance's ability to pursue untapped opportunities and persevere against all odds. 249 MILLION
REGISTERED RETAIL
CUSTOMER BASE
439.3 MILLION

30 SUBSCRIBERS

## 10,500+

CUSTOMERS FOR CHEMICALS AND MATERIALS ACROSS INDIA

REAS MORE ABOUT THE INITIATIVES OF RELIANCE FOURDATION IN THE COMPANY'S COR REPORT

## 20

that meet customers' ever-changing needs across its business units. The Company enjoys a consistently high customer retention rate and attracts new customers due to its focus on delivering a superior experience and products. Regular customer satisfaction surveys garner valuable feedback to continually scale the impact of the Company's endeavours to deepen customer-centricity. Reliance focuses on generating shared prosperity across the value chain to promote equitable and inclusive development of the larger ecosystem. A detailed Code of Conduct and its stringent implementation ensures that value chain partners and other stakeholders are aligned with the Company's principles of ethics, integrity and transparency. Regular engagement and feedback mechanisms enable Reliance to track vendor and partner satisfaction levels and respond to their changing needs efficiently. As Reliance looks to usher in a new era of sustainable growth for India and the Company, it will continue to create opportunities for its network of partners and suppliers to prosper and enhance value creation for their stakeholders in turn.
! [img-242.jpeg](img-242.jpeg)",106,ril_pdf_pages_semantic_p106_c0,"BM25, TF-IDF",0.01998409226486379,0.6036814451217651,0.032048117962763446,2.954950099008708,1
What is the organization’s purpose/vision/mission?,"Reliance Foundation prioritises education as a key driver of social and economic progress in India. | Reliance Foundation's ultimate goal is to create a more equitable and inclusive society where every young person can thrive and succeed. | To fulfil this vision, Reliance Foundation takes a multi-faceted approach to enhance the impact of primary to tertiary education by:","Anganwadi workers, members of women's Self Help Groups (SHGs) and children participated in these events organised in collaboration with the Integrated Child Development Services, the State Rural Livelihood Mission, the Agricultural Technology Management Agency, the Department of Horticulture, district revenue inspectors, and other agencies. ## Education

Reliance Foundation prioritises education as a key driver of social and economic progress in India. Reliance believes that everyone should have access to quality education, regardless of financial, geographical, or cultural barriers. Though the Company's educational initiatives, Reliance strives to make a positive impact on grooming young minds and youth and empowering them to overcome challenges and unlock their full potential to contribute to creating a better tomorrow for themselves, their communities and the country. Reliance Foundation's ultimate goal is to create a more equitable and inclusive society where every young person can thrive and succeed. To fulfil this vision, Reliance Foundation takes a multi-faceted approach to enhance the impact of primary to tertiary education by:

- Building world-class educational institutions as a model for transforming and improving the education system in India
- Investing in the development of India's youth and future leaders by equipping them with the necessary skills and knowledge to tackle the Country's challenges while promoting equal access to education for all. Prostising quality education, Reliance Foundation manages 14 schools across India that house over 14,500 students annually with a dedicated team of 916 educators and staff. These schools strive to create an environment that cultivates a passion for lifelong learning and academic excellence among the children while promoting individual growth. Offering a curriculum based on CBSE, Gujarat State Board, and Maharashtra State Board, the schools cover education from Kindergarten to Class 12. The schools employ a dynamic curriculum that is flexible and continually evolving, utilising contemporary pedagogy to enhance students' intellectual and creative abilities. Students have excelled in sports and co-curricular activities, and won awards in various competitions.",108,ril_pdf_pages_semantic_p108_c1,"BM25, TF-IDF",0.028958333333333336,0.6031500101089478,0.04642455237607162,5.874515240222653,2
What is the organization’s purpose/vision/mission?,"Friendicoes envisions providing shelter and in-house clinic for the strays. In line with this vision, RF seeks to achieve following objectives: Rescuing \& rehabilitating large and small stray animals in distress; Rehoming abandoned pets \& un-owned strays through adoption homes; Animal welfare education and awareness; Lifetime care facility for animals that cannot be rehomed nor find their place on the streets; Providing treatment to large animals - cows, calves, donkeys, mules, horses and ponies (working equines) \& abandoned cattle with the help of mobile equine clinic; Managing stray dogs \& cat population through animal birth control program via sterilization while also vaccinating them against rabies to make streets safe for public.","The programme also contributed to the emergence of new leaders in the communities. ## 9. Programmes for Rescued Animals run by Friendicoes SECA (Society for Eradication of Cruelty to Animals) Impact Assessment Agency - Thinkthrough Consulting Private Limited

1. Background

Reliance Foundation (RF) is dedicated to providing comprehensive animal care and welfare programmes through grant support. Friendicoes, a society for eradication of cruelty to animals provide their services across Delhi NCR and Gurugram, encompassing a range of facilities and initiatives. The organization operates hospitals, animal shelters, mobile clinics, re-homing and adoption facilities, as well as offering specialized veterinary assistance for distressed street animals. Through these resources, Friendicoes SECA aims to ensure the well-being and protection of animals in need. Their commitment to animal welfare is demonstrated through their multifaceted approach,
which includes medical care, sheltering, community outreach, and facilitating the adoption process of animals. $54 \%$ of the grant money was utilized for animal feeding and $46 \%$ for animal medical care. ## 2. Objective

Friendicoes envisions providing shelter and in-house clinic for the strays. In line with this vision, RF seeks to achieve following objectives:

- Rescuing \& rehabilitating large and small stray animals in distress;
- Rehoming abandoned pets \& un-owned strays through adoption homes;
- Animal welfare education and awareness;
- Lifetime care facility for animals that cannot be rehomed nor find their place on the streets;
- Providing treatment to large animals - cows, calves, donkeys, mules, horses and ponies (working equines) \& abandoned cattle with the help of mobile equine clinic;
- Managing stray dogs \& cat population through animal birth control program via sterilization while also vaccinating them against rabies to make streets safe for public. 3. Key Findings
3.1 Direct benefits

- 36,716 animals were rescued, including dogs, cats \& large animals;
- 8,339 animal surgeries were performed at Delhi \& Gurugram Centers;
- 48,104 animals were rehabilitated \& released back to their areas after treatment;
- 430 animals were successfully adopted. 3.2 Indirect benefits
- 40,000 street animals are catered annually for disease diagnosis, indirectly benefiting the local public by creating safe public spaces free from the attacks of street animals.
- 3,000 families who are dependent on animals for livelihood were supported in the programme. ## 10. Promoting Wildlife Conservation

Impact Assessment Agency - Thinkthrough Consulting Private Limited

## 1.",148,ril_pdf_pages_semantic_p148_c1,"BM25, TF-IDF",0.030017921146953404,0.5918026566505432,0.04778260662884695,7.020372762052376,2
What is the organization’s purpose/vision/mission?,"At Network18, Corporate Social Responsibility (CSR) is embedded in its long-term business strategy. Network18's community initiatives help elevate the quality of life of millions, especially the disadvantaged sections of society. | The latest season of Network18's largest initiative, Mission Paani, pivoted to Mission Swacchita Aur Paani.","BUSINESS PERFORMANCE

Digital News

Networks18's digital news portfolio, consisting of Moneycontrol and News18.com (across 13 languages), continued to be India's 112 online publisher attaining leadership in the non-English segment. 'Firstpost Vantage', a digital-first show, helped the brand gain - firm subscribers on YouTube, while CNN News18's YouTube channel was 111 amongst all the English news channels. MoneyControl Pro continued to see growth in pay subscriber base, driven by its cutting-edge tools, research and exclusive content. ## Entertainment Business

TV Entertainment
colors
t

## Hindi General Entertainment

Colors increased its market share across prime time and full day to strengthen its 40 position in the genre, driven by a programming mix of fiction shows and popular reality shows. FTA channel, Colors Rishtey, witnessed a decrease in viewership after its exit from DD FreeDish platform in April 2022.
! [img-138.jpeg](img-138.jpeg)

Hindi Movies
Colors Cmeplex, the pay movie channel increased its market share during the year, driven by more than 20 World Television Premieres. FTA movie channels, Colors Cineplex Superhit and Colors Cineplex Bollywood, helped the network maintain a strong position in the free-to-air genre.

## Music and Youth

MTV continued to be a strong brand in the Youth category and MTV Beats maintained its position amongst the top music channels in India.

## 2

 colors
INFINITV

## English Entertainment

Viacom18 continues to be the undisputed leader in the English genre, with a combined viewership share of $95 \%$ \%.

## nicwelodeon

## Kids Entertainment

Inda's leading portfolio of Kids' entertainment channels commanded a $30 \%+$ market share with Nichelodoen being the 111 channel for over 9 years.

## colors colors colors

## Regional Entertainment

In the regional entertainment bouquet, Colors Kannada maintained a strong 42 position through the year and Colors Marathi exited the year as the 42 channel. Other channels in the portfolio include Colors Bangla, Colors Oriya, Colors Gujarat, Colors Tamil, Colors Super (Kannada), and the movie channels - Colors Kannada Cinema, Gujarati Cinema and Bangla Cinema. Infotainment channel, History TV18, continued to be amongst the top 2 channels in the genre in urban markets.

## CSR INITIATIVES

At Network18, Corporate Social Responsibility (CSR) is embedded in its long-term business strategy. Network18's community initiatives help elevate the quality of life of millions, especially the disadvantaged sections of society. ## Mission Swacchta Aur Paani The latest season of Network18's largest initiative, Mission Paani, pivoted to Mission Swacchita Aur Paani.",47,ril_pdf_pages_semantic_p47_c0,"BM25, TF-IDF",0.028814262023217248,0.5873537659645081,0.045738427336042005,5.138165491738465,1
